,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,director,cast,country,date_added,rating,duration,listed_in,description
0,ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,51,['documentation'],['US'],1.0,,,,0.601,,,,United States,"February 9, 2021",TV-MA,1 Season,TV Shows,"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back."""
1,tm82169,Rocky,MOVIE,1976,PG,119,"['drama', 'sport']",['US'],,tt0075148,8.1,587499.0,99.713,7.783,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Thayer David, Joe Spinell, Jimmy Gambina, Bill Baldwin",United States,"August 1, 2019",PG,120 min,"Action & Adventure, Classic Movies, Dramas","Sylvester Stallone shot to fame as Rocky Balboa, an unknown fighter who's given a shot at fighting world champ Apollo Creed as a publicity stunt."
2,tm17823,Grease,MOVIE,1978,PG,110,"['comedy', 'romance']",['US'],,tt0077631,7.2,283206.0,33.16,7.406,Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway, Barry Pearl, Michael Tucci, Kelly Ward, Didi Conn, Jamie Donnelly, Dinah Manoff, Eve Arden, Dody Goodman, Sid Caesar, Joan Blondell, Frankie Avalon",United States,"November 1, 2019",PG,110 min,"Classic Movies, Comedies, Music & Musicals",John Travolta and Olivia Newton-John star in this hit musical comedy about a greaser and the good girl he falls for – much to his friends' chagrin.
3,tm69975,Rocky II,MOVIE,1979,PG,119,"['drama', 'sport']",['US'],,tt0079817,7.3,215929.0,74.191,7.2,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Tony Burton, Joe Spinell, Leonard Gaines, John Pleshette, Sylvia Meals",United States,"August 1, 2019",PG,119 min,"Dramas, Sports Movies","Featuring a rousing climax, this engaging sequel finds boxer Rocky Balboa returning to the ring for a rematch against reigning champ Apollo Creed."
4,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['fantasy', 'comedy']",['GB'],,tt0071853,8.2,547146.0,20.964,7.804,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth, Carol Cleveland, Neil Innes",United Kingdom,"January 2, 2019",PG,92 min,"Action & Adventure, Classic Movies, Comedies",The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail.
5,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,75623.0,24.773,8.258,,"John Cleese, Graham Chapman, Terry Jones, Eric Idle, Michael Palin, Terry Gilliam",United Kingdom,"October 2, 2018",TV-14,4 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows","The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing."
6,tm16479,White Christmas,MOVIE,1954,,120,"['comedy', 'music', 'romance']",['US'],,tt0047673,7.5,46580.0,11.598,7.2,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris",United States,"November 15, 2020",TV-G,120 min,"Children & Family Movies, Classic Movies, Comedies","Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place."
7,tm135083,Cairo Station,MOVIE,1958,,77,"['drama', 'comedy', 'crime']",['EG'],,tt0051390,7.5,4876.0,7.372,7.4,Youssef Chahine,"Farid Shawqy, Hind Rostom, Youssef Chahine, Hassan el Baroudi, Abdel Aziz Khalil, Naima Wasfy, Said Khalil, Abdel Ghani Nagdi",Egypt,"June 18, 2020",TV-14,73 min,"Classic Movies, Dramas, International Movies",A Cairo newsstand vendor's fantasies morph into a dangerous fixation with a lemonade seller as a serial killer begins terrorizing the city.
8,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],,tt0079807,8.1,5141.0,7.266,7.432,Jeff Margolis,Richard Pryor,United States,"December 1, 2016",TV-MA,79 min,Stand-Up Comedy,"Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target – himself."
9,tm16812,Bandie,MOVIE,1978,,141,"['drama', 'romance', 'action']",['IN'],,tt1219315,4.8,37.0,1.862,6.0,Alo Sarkar,"Uttam Kumar, Sulakshana Pandit, Utpal Dutt, Bindu, Amjad Khan, Helen, Indrani Mukherjee, Padma Khanna, Iftekhar",India,"November 1, 2017",TV-PG,141 min,"Action & Adventure, Dramas, International Movies","Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her."
