Round,Round Name,Home Team,Away Team,UTC Time,Finished,Started,Cancelled,Awarded,Score,Match Status,,,,
1,1,Empoli,Hellas Verona,2023-08-19T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0_1,Full-Time,,,,
1,1,Frosinone,Napoli,2023-08-19T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time,,,,
1,1,Genoa,Fiorentina,2023-08-19T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_4,Full-Time,,,,
1,1,Inter,Monza,2023-08-19T18:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
1,1,Roma,Salernitana,2023-08-20T16:30:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
1,1,Sassuolo,Atalanta,2023-08-20T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
1,1,Lecce,Lazio,2023-08-20T18:45:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
1,1,Udinese,Juventus,2023-08-20T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time,,,,
1,1,Torino,Cagliari,2023-08-21T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
1,1,Bologna,Milan,2023-08-21T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
2,2,Frosinone,Atalanta,2023-08-26T16:30:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
2,2,Monza,Empoli,2023-08-26T16:30:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
2,2,Milan,Torino,2023-08-26T18:45:00Z,TRUE,TRUE,FALSE,FALSE,4_1,Full-Time,,,,
2,2,Hellas Verona,Roma,2023-08-26T18:45:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
2,2,Juventus,Bologna,2023-08-27T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
2,2,Fiorentina,Lecce,2023-08-27T16:35:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
2,2,Lazio,Genoa,2023-08-27T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
2,2,Napoli,Sassuolo,2023-08-27T18:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
2,2,Salernitana,Udinese,2023-08-28T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
2,2,Cagliari,Inter,2023-08-28T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
3,3,Sassuolo,Hellas Verona,2023-09-01T16:30:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time,,,,
3,3,Roma,Milan,2023-09-01T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
3,3,Bologna,Cagliari,2023-09-02T16:30:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
3,3,Udinese,Frosinone,2023-09-02T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
3,3,Atalanta,Monza,2023-09-02T18:45:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
3,3,Napoli,Lazio,2023-09-02T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
3,3,Inter,Fiorentina,2023-09-03T16:30:00Z,TRUE,TRUE,FALSE,FALSE,4_0,Full-Time,,,,
3,3,Torino,Genoa,2023-09-03T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
3,3,Empoli,Juventus,2023-09-03T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
3,3,Lecce,Salernitana,2023-09-03T18:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
4,4,Juventus,Lazio,2023-09-16T13:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time,,,,
4,4,Inter,Milan,2023-09-16T16:00:00Z,TRUE,TRUE,FALSE,FALSE,5_1,Full-Time,,,,
4,4,Genoa,Napoli,2023-09-16T18:45:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
4,4,Cagliari,Udinese,2023-09-17T10:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
4,4,Frosinone,Sassuolo,2023-09-17T13:00:00Z,TRUE,TRUE,FALSE,FALSE,4_2,Full-Time,,,,
4,4,Monza,Lecce,2023-09-17T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
4,4,Fiorentina,Atalanta,2023-09-17T16:00:00Z,TRUE,TRUE,FALSE,FALSE,3_2,Full-Time,,,,
4,4,Roma,Empoli,2023-09-17T18:45:00Z,TRUE,TRUE,FALSE,FALSE,7_0,Full-Time,,,,
4,4,Salernitana,Torino,2023-09-18T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time,,,,
4,4,Hellas Verona,Bologna,2023-09-18T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
5,5,Salernitana,Frosinone,2023-09-22T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
5,5,Lecce,Genoa,2023-09-22T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
5,5,Milan,Hellas Verona,2023-09-23T13:25:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
5,5,Sassuolo,Juventus,2023-09-23T16:00:00Z,TRUE,TRUE,FALSE,FALSE,4_2,Full-Time,,,,
5,5,Lazio,Monza,2023-09-23T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
5,5,Empoli,Inter,2023-09-24T10:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
5,5,Atalanta,Cagliari,2023-09-24T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
5,5,Udinese,Fiorentina,2023-09-24T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
5,5,Bologna,Napoli,2023-09-24T16:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
5,5,Torino,Roma,2023-09-24T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
6,6,Juventus,Lecce,2023-09-26T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
6,6,Cagliari,Milan,2023-09-27T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time,,,,
6,6,Empoli,Salernitana,2023-09-27T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
6,6,Hellas Verona,Atalanta,2023-09-27T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
6,6,Inter,Sassuolo,2023-09-27T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
6,6,Lazio,Torino,2023-09-27T18:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
6,6,Napoli,Udinese,2023-09-27T18:45:00Z,TRUE,TRUE,FALSE,FALSE,4_1,Full-Time,,,,
6,6,Frosinone,Fiorentina,2023-09-28T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
6,6,Monza,Bologna,2023-09-28T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
6,6,Genoa,Roma,2023-09-28T18:45:00Z,TRUE,TRUE,FALSE,FALSE,4_1,Full-Time,,,,
7,7,Lecce,Napoli,2023-09-30T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 4,Full-Time,,,,
7,7,Milan,Lazio,2023-09-30T16:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
7,7,Salernitana,Inter,2023-09-30T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 4,Full-Time,,,,
7,7,Bologna,Empoli,2023-10-01T10:30:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
7,7,Udinese,Genoa,2023-10-01T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
7,7,Atalanta,Juventus,2023-10-01T16:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
7,7,Roma,Frosinone,2023-10-01T18:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
7,7,Sassuolo,Monza,2023-10-02T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
7,7,Torino,Hellas Verona,2023-10-02T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
7,7,Fiorentina,Cagliari,2023-10-02T18:45:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
8,8,Empoli,Udinese,2023-10-06T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
8,8,Lecce,Sassuolo,2023-10-06T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
8,8,Inter,Bologna,2023-10-07T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
8,8,Juventus,Torino,2023-10-07T16:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
8,8,Genoa,Milan,2023-10-07T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
8,8,Monza,Salernitana,2023-10-08T10:30:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
8,8,Frosinone,Hellas Verona,2023-10-08T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
8,8,Lazio,Atalanta,2023-10-08T13:00:00Z,TRUE,TRUE,FALSE,FALSE,3_2,Full-Time,,,,
8,8,Cagliari,Roma,2023-10-08T16:00:00Z,TRUE,TRUE,FALSE,FALSE,1_4,Full-Time,,,,
8,8,Napoli,Fiorentina,2023-10-08T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time,,,,
9,9,Hellas Verona,Napoli,2023-10-21T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time,,,,
9,9,Torino,Inter,2023-10-21T16:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time,,,,
9,9,Sassuolo,Lazio,2023-10-21T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
9,9,Roma,Monza,2023-10-22T10:30:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
9,9,Bologna,Frosinone,2023-10-22T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
9,9,Salernitana,Cagliari,2023-10-22T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
9,9,Atalanta,Genoa,2023-10-22T16:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
9,9,Milan,Juventus,2023-10-22T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
9,9,Udinese,Lecce,2023-10-23T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
9,9,Fiorentina,Empoli,2023-10-23T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
10,10,Genoa,Salernitana,2023-10-27T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
10,10,Sassuolo,Bologna,2023-10-28T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
10,10,Lecce,Torino,2023-10-28T16:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
10,10,Juventus,Hellas Verona,2023-10-28T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
10,10,Cagliari,Frosinone,2023-10-29T11:30:00Z,TRUE,TRUE,FALSE,FALSE,4_3,Full-Time,,,,
10,10,Monza,Udinese,2023-10-29T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
10,10,Inter,Roma,2023-10-29T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
10,10,Napoli,Milan,2023-10-29T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
10,10,Empoli,Atalanta,2023-10-30T17:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time,,,,
10,10,Lazio,Fiorentina,2023-10-30T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
11,11,Bologna,Lazio,2023-11-03T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
11,11,Salernitana,Napoli,2023-11-04T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
11,11,Atalanta,Inter,2023-11-04T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
11,11,Milan,Udinese,2023-11-04T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
11,11,Hellas Verona,Monza,2023-11-05T11:30:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time,,,,
11,11,Cagliari,Genoa,2023-11-05T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
11,11,Roma,Lecce,2023-11-05T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
11,11,Fiorentina,Juventus,2023-11-05T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
11,11,Frosinone,Empoli,2023-11-06T17:30:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
11,11,Torino,Sassuolo,2023-11-06T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
12,12,Sassuolo,Salernitana,2023-11-10T17:30:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
12,12,Genoa,Hellas Verona,2023-11-10T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
