idx,name,played,wins,draws,losses,scoresStr,goalConDiff,pts
1,Inter,19,15,3,1,45-11,34,48
2,Milan,19,10,5,4,38-32,6,35
3,Juventus,19,8,7,4,28-20,8,31
4,Napoli,19,7,7,5,31-21,10,28
5,Atalanta,19,8,4,7,30-26,4,28
6,Bologna,19,6,9,4,21-20,1,27
7,Lazio,19,8,3,8,26-25,1,27
8,Fiorentina,19,7,4,8,24-24,0,25
9,Roma,19,6,5,8,27-27,0,23
10,Udinese,19,5,8,6,16-24,-8,23
11,Monza,19,5,6,8,16-25,-9,21
12,Torino,19,5,5,9,18-27,-9,20
13,Genoa,19,4,7,8,18-23,-5,19
14,Empoli,19,4,4,11,14-31,-17,16
15,Hellas Verona,19,3,5,11,15-25,-10,14
16,Lecce,19,2,8,9,15-27,-12,14
17,Cagliari,19,2,5,12,14-36,-22,11
18,Frosinone,19,1,7,11,16-37,-21,10
19,Sassuolo,19,2,4,13,20-41,-21,10
20,Salernitana,19,1,6,12,15-43,-28,9
