idx,name,played,wins,draws,losses,scoresStr,goalConDiff,pts
1,Inter,19,14,4,1,44-11,33,46
2,Atalanta,19,13,2,4,42-16,26,41
3,Bologna,19,12,5,2,33-12,21,41
4,Milan,19,12,4,3,38-17,21,40
5,Roma,19,12,4,3,38-19,19,40
6,Juventus,19,11,7,1,26-11,15,40
7,Fiorentina,19,10,5,4,37-22,15,35
8,Lazio,19,10,4,5,23-14,9,34
9,Torino,19,8,9,2,18-9,9,33
10,Genoa,19,8,6,5,27-22,5,30
11,Napoli,19,6,7,6,24-27,-3,25
12,Cagliari,19,6,7,6,28-32,-4,25
13,Frosinone,19,7,4,8,28-32,-4,25
14,Monza,19,6,6,7,23-26,-3,24
15,Hellas Verona,19,6,6,7,23-26,-3,24
16,Lecce,19,6,6,7,17-27,-10,24
17,Empoli,19,5,5,9,15-23,-8,20
18,Sassuolo,19,5,5,9,23-34,-11,20
19,Udinese,19,1,11,7,21-29,-8,14
20,Salernitana,19,1,5,13,17-38,-21,8
