Rank,Team,Accurate Long Balls per Match,Successful Long Balls (%),Matches,Country
1,Fiorentina,33.3,53.4,38,ITA
2,Hellas Verona,29.8,45.9,38,ITA
3,Inter,29.4,61.6,38,ITA
4,SSC Napoli,29.1,57.1,38,ITA
5,Monza,29.1,53.7,38,ITA
6,Juventus,26.7,54.8,38,ITA
7,Cagliari,25.6,43.0,38,ITA
8,Lazio,24.7,52.0,38,ITA
9,Lecce,24.6,44.6,38,ITA
10,Roma,23.9,50.3,38,ITA
11,Bologna,23.6,50.7,38,ITA
12,Sassuolo,23.2,42.4,38,ITA
13,Atalanta,23.1,45.5,38,ITA
14,Torino,22.7,44.6,38,ITA
15,Genoa,22.4,42.2,38,ITA
16,AC Milan,21.3,52.4,38,ITA
17,Udinese,21.2,45.1,38,ITA
18,Empoli,20.7,38.6,38,ITA
19,Salernitana,20.1,39.4,38,ITA
20,Frosinone,18.0,36.9,38,ITA
