Rank,Team,Accurate Passes per Match,Pass Success (%),Matches,Country
1,SSC Napoli,485.2,87.0,38,ITA
2,Inter,479.4,87.8,38,ITA
3,Bologna,478.6,86.5,38,ITA
4,AC Milan,439.1,87.0,38,ITA
5,Lazio,435.8,85.0,38,ITA
6,Roma,425.0,85.1,38,ITA
7,Monza,414.9,85.7,38,ITA
8,Fiorentina,400.0,83.4,38,ITA
9,Atalanta,393.2,82.1,38,ITA
10,Juventus,363.5,83.9,38,ITA
11,Torino,358.5,82.4,38,ITA
12,Frosinone,335.9,79.8,38,ITA
13,Salernitana,297.1,78.4,38,ITA
14,Genoa,294.9,78.3,38,ITA
15,Sassuolo,290.8,78.5,38,ITA
16,Lecce,283.9,78.4,38,ITA
17,Empoli,277.9,77.8,38,ITA
18,Cagliari,256.1,75.7,38,ITA
19,Hellas Verona,255.3,74.3,38,ITA
20,Udinese,242.1,77.3,38,ITA
