Rank,Team,Big Chances,Goals,Matches,Country
1,Inter,121.0,89.0,38,ITA
2,Atalanta,100.0,72.0,38,ITA
3,AC Milan,98.0,76.0,38,ITA
4,SSC Napoli,94.0,55.0,38,ITA
5,Juventus,86.0,54.0,38,ITA
6,Roma,85.0,65.0,38,ITA
7,Fiorentina,81.0,61.0,38,ITA
8,Bologna,77.0,54.0,38,ITA
9,Lazio,71.0,49.0,38,ITA
10,Frosinone,71.0,44.0,38,ITA
11,Cagliari,67.0,42.0,38,ITA
12,Udinese,63.0,37.0,38,ITA
13,Monza,61.0,39.0,38,ITA
14,Lecce,61.0,32.0,38,ITA
15,Hellas Verona,57.0,38.0,38,ITA
16,Torino,57.0,36.0,38,ITA
17,Genoa,55.0,45.0,38,ITA
18,Sassuolo,52.0,43.0,38,ITA
19,Empoli,50.0,29.0,38,ITA
20,Salernitana,41.0,32.0,38,ITA
