Rank,Team,Corners Taken,Matches,Country
1,SSC Napoli,240.0,38,ITA
2,Inter,228.0,38,ITA
3,Frosinone,213.0,38,ITA
4,Atalanta,210.0,38,ITA
5,Sassuolo,202.0,38,ITA
6,Fiorentina,199.0,38,ITA
7,Lazio,197.0,38,ITA
8,Juventus,193.0,38,ITA
9,AC Milan,192.0,38,ITA
10,Empoli,176.0,38,ITA
10,Torino,176.0,38,ITA
12,Cagliari,175.0,38,ITA
13,Lecce,172.0,38,ITA
14,Monza,170.0,38,ITA
15,Roma,167.0,38,ITA
16,Bologna,165.0,38,ITA
17,Udinese,157.0,38,ITA
18,Salernitana,148.0,38,ITA
19,Hellas Verona,143.0,38,ITA
20,Genoa,142.0,38,ITA
