Rank,Team,Clearances per Match,Total Clearances,Matches,Country
1,Udinese,24.3,925.0,38,ITA
2,Empoli,20.8,792.0,38,ITA
3,Genoa,20.3,770.0,38,ITA
4,Salernitana,20.0,761.0,38,ITA
5,Cagliari,19.8,754.0,38,ITA
6,Hellas Verona,19.8,751.0,38,ITA
7,Frosinone,19.7,748.0,38,ITA
8,Sassuolo,18.9,717.0,38,ITA
9,Lecce,18.5,704.0,38,ITA
10,Juventus,17.9,682.0,38,ITA
11,Bologna,16.7,634.0,38,ITA
12,Monza,15.8,602.0,38,ITA
13,Lazio,15.7,596.0,38,ITA
14,Roma,15.3,583.0,38,ITA
15,Atalanta,15.2,576.0,38,ITA
16,Torino,14.6,555.0,38,ITA
17,Inter,13.7,520.0,38,ITA
18,AC Milan,13.2,503.0,38,ITA
19,Fiorentina,12.8,486.0,38,ITA
19,SSC Napoli,12.8,486.0,38,ITA
