Rank,Team,Expected Goals,Goals,Matches,Country
1,Inter,79.2,89.0,38,ITA
2,AC Milan,67.0,76.0,38,ITA
3,SSC Napoli,62.4,55.0,38,ITA
4,Atalanta,58.7,72.0,38,ITA
5,Juventus,55.9,54.0,38,ITA
6,Fiorentina,52.9,61.0,38,ITA
7,Roma,52.3,65.0,38,ITA
8,Bologna,48.7,54.0,38,ITA
9,Lazio,47.4,49.0,38,ITA
10,Frosinone,46.0,44.0,38,ITA
11,Lecce,44.0,32.0,38,ITA
12,Cagliari,43.5,42.0,38,ITA
13,Sassuolo,40.6,43.0,38,ITA
14,Udinese,40.5,37.0,38,ITA
15,Monza,40.2,39.0,38,ITA
16,Hellas Verona,38.5,38.0,38,ITA
17,Torino,38.4,36.0,38,ITA
18,Empoli,36.8,29.0,38,ITA
19,Genoa,36.3,45.0,38,ITA
20,Salernitana,30.7,32.0,38,ITA
