Rank,Team,Interceptions per Match,Total Interceptions,Matches,Country
1,Atalanta,8.9,340.0,38,ITA
2,Genoa,8.7,332.0,38,ITA
3,Torino,8.7,329.0,38,ITA
4,Udinese,8.6,327.0,38,ITA
5,Lecce,8.1,308.0,38,ITA
6,Hellas Verona,7.9,302.0,38,ITA
7,Lazio,7.8,295.0,38,ITA
8,Inter,7.4,280.0,38,ITA
9,Monza,7.3,279.0,38,ITA
9,Salernitana,7.3,279.0,38,ITA
11,Sassuolo,7.0,267.0,38,ITA
12,Cagliari,7.0,265.0,38,ITA
13,Empoli,6.9,263.0,38,ITA
14,Bologna,6.8,258.0,38,ITA
15,Juventus,6.7,253.0,38,ITA
16,AC Milan,6.6,252.0,38,ITA
17,Roma,6.4,242.0,38,ITA
18,Frosinone,6.3,241.0,38,ITA
18,SSC Napoli,6.3,241.0,38,ITA
20,Fiorentina,6.2,236.0,38,ITA
