Rank,Team,Penalties Conceded,Penalty Goals Conceded,Matches,Country
1,Sassuolo,11.0,8.0,38,ITA
2,Salernitana,10.0,10.0,38,ITA
3,Udinese,9.0,9.0,38,ITA
4,Fiorentina,9.0,8.0,38,ITA
5,Monza,9.0,7.0,38,ITA
6,Atalanta,9.0,6.0,38,ITA
7,AC Milan,8.0,8.0,38,ITA
8,Empoli,8.0,6.0,38,ITA
9,Frosinone,8.0,5.0,38,ITA
10,Torino,7.0,7.0,38,ITA
11,Bologna,7.0,3.0,38,ITA
12,Lecce,6.0,5.0,38,ITA
13,Cagliari,5.0,4.0,38,ITA
14,Roma,5.0,3.0,38,ITA
15,Genoa,4.0,3.0,38,ITA
16,Inter,4.0,2.0,38,ITA
16,SSC Napoli,4.0,2.0,38,ITA
18,Juventus,3.0,2.0,38,ITA
18,Lazio,3.0,2.0,38,ITA
20,Hellas Verona,2.0,2.0,38,ITA
