Rank,Team,Penalties Won,Conversion Rate (%),Matches,Country
1,Inter,14.0,92.9,38,ITA
2,Roma,12.0,91.7,38,ITA
3,Frosinone,10.0,80.0,38,ITA
4,SSC Napoli,10.0,60.0,38,ITA
5,Sassuolo,8.0,87.5,38,ITA
6,AC Milan,8.0,75.0,38,ITA
7,Fiorentina,8.0,50.0,38,ITA
8,Hellas Verona,7.0,42.9,38,ITA
9,Genoa,6.0,83.3,38,ITA
10,Cagliari,6.0,66.7,38,ITA
11,Atalanta,5.0,100.0,38,ITA
11,Empoli,5.0,100.0,38,ITA
13,Bologna,5.0,80.0,38,ITA
13,Monza,5.0,80.0,38,ITA
15,Juventus,5.0,60.0,38,ITA
15,Lecce,5.0,60.0,38,ITA
17,Lazio,4.0,100.0,38,ITA
18,Udinese,4.0,75.0,38,ITA
19,Salernitana,2.0,100.0,38,ITA
19,Torino,2.0,100.0,38,ITA
