Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
1,Amir Rrahmani,Napoli,6.1,61.3,2602,30,KVX
2,Alessandro Bastoni,Internazionale,5.6,64.4,2283,28,ITA
3,Patric,Lazio,5.5,56.9,1610,20,ESP
4,Lucas Martinez Quarta,Fiorentina,5.5,45.8,2292,29,ARG
5,Kristjan Asllani,Internazionale,5.4,71.9,771,23,ALB
6,Hakan Calhanoglu,Internazionale,5.2,76.3,2576,32,TUR
7,Manuel Locatelli,Juventus,5.2,62.7,3011,36,ITA
8,Pablo Mari,Monza,5.2,62.2,2616,34,ESP
9,Mario Rui,Napoli,5.2,51.1,1205,21,POR
10,Luca Ranieri,Fiorentina,5.1,52.0,2067,26,ITA
11,Yacine Adli,Milan,5.0,73.8,1412,24,FRA
12,Danilo,Juventus,4.9,55.4,2451,29,BRA
13,Marin Pongracic,Lecce,4.8,56.0,3220,36,CRO
14,Leandro Paredes,Roma,4.5,67.2,2644,34,ARG
15,Mario Gila,Lazio,4.2,63.0,1813,21,ESP
16,Arthur,Fiorentina,4.1,68.9,1993,33,BRA
17,Armando Izzo,Monza,4.1,63.9,1653,23,ITA
18,Alessandro Florenzi,Milan,4.0,55.0,1730,31,ITA
19,Marten de Roon,Atalanta,4.0,52.8,2599,30,NED
20,Jhon Lucumi,Bologna,3.9,71.3,2214,29,COL
21,Gleison Bremer,Juventus,3.9,53.2,3234,36,BRA
22,Nikola Milenkovic,Fiorentina,3.8,52.2,2506,34,SRB
23,Gian Marco Ferrari,Sassuolo,3.8,47.0,2268,31,ITA
24,Nikola Moro,Bologna,3.7,70.8,835,23,CRO
25,Francesco Acerbi,Internazionale,3.7,64.7,2386,29,ITA
26,Juan Jesus,Napoli,3.7,58.8,2117,24,BRA
27,Giangiacomo Magnani,Verona,3.7,50.8,2441,33,ITA
28,Alfred Duncan,Fiorentina,3.6,58.1,1893,30,GHA
29,Suat Serdar,Verona,3.5,57.7,1661,25,GER
30,Marco Davide Faraoni,Fiorentina,3.5,56.5,995,19,ITA
31,Luca Caldirola,Monza,3.5,54.6,2139,29,ITA
32,Sebastian Walukiewicz,Empoli,3.5,51.6,2054,27,POL
33,Alexis Sánchez,Internazionale,3.4,84.8,751,23,CHI
34,Sam Beukema,Bologna,3.4,50.8,2549,30,NED
35,Federico Baschirotto,Lecce,3.4,46.8,3295,37,ITA
