Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
1,Kristjan Asllani,Internazionale,76.6,93.0,771,23,ALB
2,Yacine Adli,Milan,70.2,88.8,1412,24,FRA
3,Jhon Lucumi,Bologna,70.0,93.6,2214,29,COL
4,Amir Rrahmani,Napoli,69.9,90.2,2602,30,KVX
5,Hakan Calhanoglu,Internazionale,69.4,92.4,2576,32,TUR
6,Maxime Lopez,Fiorentina,68.7,90.2,936,21,FRA
7,Juan Jesus,Napoli,65.3,90.8,2117,24,BRA
8,Fikayo Tomori,Milan,64.8,91.3,2125,26,ENG
9,Leo Østigard,Napoli,64.8,88.1,1621,25,NOR
10,Sam Beukema,Bologna,64.6,90.1,2549,30,NED
11,Alessandro Bastoni,Internazionale,63.0,89.8,2283,28,ITA
12,Leandro Paredes,Roma,62.9,90.9,2644,34,ARG
13,Benjamin Pavard,Internazionale,61.8,91.6,1677,23,FRA
14,Diego Llorente,Roma,61.8,91.4,2173,29,ESP
15,Riccardo Calafiori,Bologna,61.7,89.8,2338,30,ITA
16,Arthur,Fiorentina,61.0,92.1,1993,33,BRA
17,Armando Izzo,Monza,60.8,91.2,1653,23,ITA
18,Francesco Acerbi,Internazionale,60.6,91.1,2386,29,ITA
19,Malick Thiaw,Milan,60.0,91.6,1620,21,GER
20,Alessio Romagnoli,Lazio,59.8,91.5,2409,29,ITA
21,Evan N'Dicka,Roma,59.2,91.1,2170,25,CIV
22,Remo Freuler,Bologna,58.1,91.1,2632,32,SUI
23,Patric,Lazio,57.9,88.7,1610,20,ESP
24,Nicolo Rovella,Lazio,57.6,89.0,1322,23,ITA
25,Stanislav Lobotka,Napoli,56.8,91.7,3293,38,SVK
26,Nicolo Barella,Internazionale,56.8,86.4,2860,37,ITA
27,Mario Gila,Lazio,56.6,90.2,1813,21,ESP
28,Simon Kjær,Milan,56.4,88.4,1171,20,DEN
29,Danilo D'Ambrosio,Monza,56.0,90.1,1534,24,ITA
30,Mario Rui,Napoli,55.6,82.7,1205,21,POR
31,Danilo,Juventus,55.4,87.1,2451,29,BRA
32,Stefan Posch,Bologna,54.9,82.5,2418,31,AUT
33,Ismael Bennacer,Milan,54.7,90.0,1151,20,ALG
34,Michel Aebischer,Bologna,54.6,91.9,2234,36,SUI
35,Giovanni Di Lorenzo,Napoli,54.6,87.1,3235,36,ITA
36,Gianluca Mancini,Roma,54.4,87.8,2872,36,ITA
37,Nicolo Casale,Lazio,54.2,91.8,1557,20,ITA
38,Pablo Mari,Monza,54.0,91.3,2616,34,ESP
39,Lucas Martinez Quarta,Fiorentina,53.3,82.3,2292,29,ARG
40,Stefan de Vrij,Internazionale,53.1,92.4,1578,25,NED
41,Matteo Pessina,Monza,52.8,89.0,3228,37,ITA
42,Luca Caldirola,Monza,52.0,91.1,2139,29,ITA
43,Danilo Cataldi,Lazio,52.0,87.9,1360,28,ITA
44,Enzo Barrenechea,Frosinone,51.8,85.5,2816,36,ARG
45,Lewis Ferguson,Bologna,51.4,88.9,2718,31,SCO
46,Andre-Frank Zambo Anguissa,Napoli,51.1,88.0,2792,34,CMR
47,Roberto Gagliardini,Monza,50.6,90.6,2366,33,ITA
48,Manuel Locatelli,Juventus,50.4,86.1,3011,36,ITA
49,Theo Hernández,Milan,50.2,87.7,2794,32,FRA
50,Nikola Moro,Bologna,49.8,83.5,835,23,CRO
51,Mathias Olivera,Napoli,49.7,87.6,1572,23,URU
52,Marten de Roon,Atalanta,49.5,85.1,2599,30,NED
53,Tijjani Reijnders,Milan,49.2,91.7,2830,36,NED
54,Luca Ranieri,Fiorentina,49.1,84.8,2067,26,ITA
55,Matias Vecino,Lazio,48.9,83.9,1135,31,URU
56,Luis Alberto,Lazio,48.8,83.7,2323,33,ESP
57,Bryan Cristante,Roma,48.6,83.1,3292,37,ITA
58,Andrea Carboni,Monza,48.3,86.9,1490,21,ITA
59,Victor Kristiansen,Bologna,48.3,86.1,2312,32,DEN
60,Nikola Milenkovic,Fiorentina,48.1,84.8,2506,34,SRB
61,Alessandro Florenzi,Milan,47.7,87.5,1730,31,ITA
62,Adam Masina,Torino,47.3,86.6,1083,20,MAR
