Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
1,Rafael Leao,Milan,18.0,9.0,2523,34,POR
2,Matteo Politano,Napoli,14.0,7.0,2384,37,ITA
3,Federico Dimarco,Internazionale,14.0,6.0,2105,30,ITA
4,Federico Chiesa,Juventus,12.0,2.0,2207,33,ITA
5,Charles De Ketelaere,Atalanta,11.0,8.0,2042,35,BEL
6,Felipe Anderson,Lazio,11.0,6.0,2782,38,BRA
6,Khvicha Kvaratskhelia,Napoli,11.0,6.0,2750,34,GEO
8,Joshua Zirkzee,Bologna,11.0,4.0,2771,34,NED
9,Riccardo Orsolini,Bologna,11.0,2.0,1792,33,ITA
10,Paulo Dybala,Roma,10.0,9.0,1973,28,ARG
11,Olivier Giroud,Milan,10.0,8.0,2372,35,FRA
12,Ademola Lookman,Atalanta,10.0,7.0,1899,31,NGA
12,Raoul Bellanova,Torino,10.0,7.0,3063,37,ITA
14,Filip Kostic,Juventus,10.0,4.0,1831,29,SRB
15,Alessandro Bastoni,Internazionale,10.0,3.0,2283,28,ITA
15,Florian Thauvin,Udinese,10.0,3.0,1713,29,FRA
17,Luis Alberto,Lazio,9.0,7.0,2323,33,ESP
18,Aleksey Miranchuk,Atalanta,9.0,5.0,1170,27,RUS
18,Teun Koopmeiners,Atalanta,9.0,5.0,2633,34,NED
20,Nicolas Viola,Cagliari,9.0,2.0,1202,26,ITA
21,Cristiano Biraghi,Fiorentina,8.0,5.0,2358,29,ITA
22,Antonino Gallo,Lecce,8.0,3.0,2500,35,ITA
22,Giacomo Raspadori,Napoli,8.0,3.0,1572,37,ITA
22,Matias Soulé,Frosinone,8.0,3.0,3136,36,ARG
25,Ivan Ilic,Torino,8.0,2.0,2099,31,SRB
25,Rémi Oudin,Lecce,8.0,2.0,1826,31,FRA
27,Christian Pulisic,Milan,7.0,8.0,2620,36,USA
28,Antonio Candreva,Salernitana,7.0,6.0,2757,34,ITA
28,Mario Pasalic,Atalanta,7.0,6.0,2048,34,CRO
30,Alexis Sánchez,Internazionale,7.0,5.0,751,23,CHI
31,Andrea Colpani,Monza,7.0,4.0,2683,38,ITA
32,Lautaro Martinez,Internazionale,7.0,3.0,2668,33,ARG
33,Henrikh Mkhitaryan,Internazionale,6.0,8.0,2803,36,ARM
34,Marcus Thuram,Internazionale,6.0,7.0,2707,35,FRA
35,Gianluca Scamacca,Atalanta,6.0,6.0,1459,29,ITA
36,Albert Gudmundsson,Genoa,6.0,4.0,3022,35,ISL
36,Denzel Dumfries,Internazionale,6.0,4.0,1640,31,NED
36,Theo Hernández,Milan,6.0,4.0,2794,32,FRA
39,Adrien Rabiot,Juventus,6.0,3.0,2651,31,FRA
39,Carlos Augusto,Internazionale,6.0,3.0,1703,37,BRA
39,Sandi Lovric,Udinese,6.0,3.0,1988,29,SVN
42,Andre-Frank Zambo Anguissa,Napoli,6.0,2.0,2792,34,CMR
42,Darko Lazovic,Verona,6.0,2.0,1942,32,SRB
42,Lazar Samardzic,Udinese,6.0,2.0,2380,34,SRB
45,Arkadiusz Milik,Juventus,6.0,1.0,902,32,POL
45,Patrick Ciurria,Monza,6.0,1.0,1602,22,ITA
47,Francesco Gelli,Frosinone,6.0,0.0,1558,27,ITA
48,Weston McKennie,Juventus,5.0,7.0,2599,34,USA
49,Giovanni Di Lorenzo,Napoli,5.0,6.0,3235,36,ITA
50,Nadir Zortea,Frosinone,5.0,5.0,1403,19,ITA
50,Tomas Suslov,Verona,5.0,5.0,2094,32,SVK
50,Zito Luvumbo,Cagliari,5.0,5.0,1947,30,ANG
53,Armand Laurienté,Sassuolo,5.0,4.0,2926,37,FRA
53,Bryan Cristante,Roma,5.0,4.0,3292,37,ITA
