Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
1,Dusan Vlahovic,Juventus,19.0,14.6,2317,33,SRB
2,Victor Osimhen,Napoli,15.0,16.7,1990,25,NGA
3,Khvicha Kvaratskhelia,Napoli,14.0,8.6,2750,34,GEO
4,Lautaro Martinez,Internazionale,13.0,22.2,2668,33,ARG
5,Ciro Immobile,Lazio,12.0,14.3,1656,31,ITA
6,Nikola Krstovic,Lecce,12.0,7.6,2390,35,MNE
7,Olivier Giroud,Milan,11.0,19.5,2372,35,FRA
8,Marcus Thuram,Internazionale,11.0,16.9,2707,35,FRA
9,Lorenzo Lucca,Udinese,11.0,13.1,2600,37,ITA
10,Kaio Jorge,Frosinone,11.0,11.1,805,20,BRA
11,Romelu Lukaku,Roma,10.0,20.0,2644,32,BEL
12,Nicolás González,Fiorentina,10.0,13.8,1913,29,ARG
13,Walid Cheddira,Frosinone,10.0,11.7,2130,36,MAR
14,Antonio Sanabria,Torino,10.0,9.3,2133,35,PAR
15,Aleksey Miranchuk,Atalanta,10.0,8.1,1170,27,RUS
16,Duvan Zapata,Torino,9.0,12.5,3005,37,COL
17,Federico Chiesa,Juventus,9.0,12.0,2207,33,ITA
18,Riccardo Orsolini,Bologna,8.0,17.2,1792,33,ITA
19,Ademola Lookman,Atalanta,8.0,16.4,1899,31,NGA
20,Mario Pasalic,Atalanta,8.0,15.0,2048,34,CRO
21,Andrea Belotti,Fiorentina,8.0,12.5,1624,29,ITA
22,Roberto Piccoli,Lecce,8.0,8.6,1397,37,ITA
23,Davide Frattesi,Internazionale,7.0,18.8,934,32,ITA
24,Rafael Leao,Milan,7.0,12.9,2523,34,POR
25,Cyril Ngonge,Napoli,7.0,11.9,1743,32,BEL
26,Michael Folorunsho,Verona,7.0,10.6,2793,34,ITA
27,Jonathan Ikoné,Fiorentina,7.0,7.7,1685,28,FRA
28,Valentin Castellanos,Lazio,7.0,7.4,1676,35,ARG
29,Nicolo Barella,Internazionale,7.0,5.0,2860,37,ITA
30,Dan Ndoye,Bologna,7.0,2.4,1775,32,SUI
31,Albert Gudmundsson,Genoa,6.0,24.6,3022,35,ISL
32,Teun Koopmeiners,Atalanta,6.0,22.2,2633,34,NED
33,Gianluca Scamacca,Atalanta,6.0,20.0,1459,29,ITA
34,Denzel Dumfries,Internazionale,6.0,16.7,1640,31,NED
35,Matias Soulé,Frosinone,6.0,13.3,3136,36,ARG
36,Federico Gatti,Juventus,6.0,11.4,2640,32,ITA
37,Dany Mota,Monza,6.0,10.5,2059,34,POR
38,Lewis Ferguson,Bologna,6.0,10.0,2718,31,SCO
38,Matteo Cancellieri,Empoli,6.0,10.0,1784,36,ITA
40,Alessandro Deiola,Cagliari,6.0,4.0,1608,27,ITA
40,Lameck Banda,Lecce,6.0,4.0,1358,21,ZAM
42,Roberto Gagliardini,Monza,6.0,2.8,2366,33,ITA
43,Sandi Lovric,Udinese,6.0,2.3,1988,29,SVN
44,Luka Jovic,Milan,5.0,27.3,867,23,SRB
