Rank,Player,Team,Successful Dribbles per 90,Dribble Success Rate (%),Minutes,Matches,Country
1,Cristian Volpato,Sassuolo,3.6,54.3,632,22,ITA
2,Khvicha Kvaratskhelia,Napoli,3.3,50.8,2750,34,GEO
3,Matias Soulé,Frosinone,2.9,50.2,3136,36,ARG
4,Lameck Banda,Lecce,2.8,45.7,1358,21,ZAM
5,Rafael Leao,Milan,2.7,55.8,2523,34,POR
6,Gaetano Oristanio,Cagliari,2.6,58.2,1102,25,ITA
7,Festy Ebosele,Udinese,2.6,57.0,1705,31,IRL
8,Mattia Zaccagni,Lazio,2.5,59.3,1971,28,ITA
9,Jesper Lindstrøm,Napoli,2.4,44.0,417,22,DEN
10,Kenan Yildiz,Juventus,2.2,65.7,945,27,TUR
11,Isaac Success,Udinese,2.1,58.8,872,27,NGA
12,Kacper Urbanski,Bologna,2.0,62.5,921,22,POL
13,Valentin Carboni,Monza,1.9,57.1,1158,31,ARG
14,Armand Laurienté,Sassuolo,1.9,53.8,2926,37,FRA
15,Cyril Ngonge,Napoli,1.9,48.1,1743,32,BEL
16,Matteo Cancellieri,Empoli,1.9,44.6,1784,36,ITA
17,Moise Kean,Juventus,1.9,43.8,650,19,ITA
18,Alexis Saelemaekers,Bologna,1.9,40.8,1892,30,BEL
19,Samuel Chukwueze,Milan,1.9,38.2,1012,24,NGA
20,Charles De Ketelaere,Atalanta,1.8,53.3,2042,35,BEL
21,Ademola Lookman,Atalanta,1.8,51.3,1899,31,NGA
22,Lazar Samardzic,Udinese,1.8,49.0,2380,34,SRB
23,Florian Thauvin,Udinese,1.8,43.2,1713,29,FRA
24,Emil Holm,Atalanta,1.7,60.0,948,22,SWE
25,Fabio Miretti,Juventus,1.7,53.8,1104,25,ITA
26,Riccardo Sottil,Fiorentina,1.7,52.5,1108,22,ITA
27,Dan Ndoye,Bologna,1.7,44.2,1775,32,SUI
28,Joshua Zirkzee,Bologna,1.7,41.9,2771,34,NED
29,Tomas Suslov,Verona,1.6,57.6,2094,32,SVK
30,Luca Pellegrini,Lazio,1.6,53.8,781,19,ITA
31,Pedro Rodriguez,Lazio,1.6,50.0,798,33,ESP
32,Alessio Zerbin,Monza,1.6,46.9,829,20,ITA
33,Christian Pulisic,Milan,1.6,46.5,2620,36,USA
34,Pontus Almqvist,Lecce,1.6,46.3,2115,30,SWE
35,Riccardo Orsolini,Bologna,1.6,43.7,1792,33,ITA
36,Nicolás González,Fiorentina,1.6,42.0,1913,29,ARG
37,Fabiano Parisi,Fiorentina,1.5,68.6,1452,21,ITA
38,Jens-Lys Cajuste,Napoli,1.5,63.0,1007,26,SWE
39,Jacopo Fazzini,Empoli,1.5,54.1,1226,31,ITA
40,Nicola Zalewski,Roma,1.5,53.3,966,22,POL
41,Yacine Adli,Milan,1.4,73.3,1412,24,FRA
42,Alexis Sánchez,Internazionale,1.4,60.0,751,23,CHI
43,Leonardo Spinazzola,Roma,1.4,51.3,1312,24,ITA
44,Nadir Zortea,Frosinone,1.4,46.8,1403,19,ITA
45,Noah Okafor,Milan,1.4,45.2,869,28,SUI
46,Felipe Anderson,Lazio,1.4,44.3,2782,38,BRA
47,Zito Luvumbo,Cagliari,1.4,42.9,1947,30,ANG
48,Demba Seck,Frosinone,1.4,42.3,718,20,SEN
49,Federico Chiesa,Juventus,1.4,42.2,2207,33,ITA
50,Joan Gonzalez,Lecce,1.3,67.9,1283,29,ESP
51,Ismael Bennacer,Milan,1.3,63.0,1151,20,ALG
52,Ruben Loftus-Cheek,Milan,1.3,60.0,2081,29,ENG
53,Raoul Bellanova,Torino,1.3,55.1,3063,37,ITA
54,Paulo Azzi,Cagliari,1.3,54.2,936,25,BRA
55,Yunus Musah,Milan,1.3,52.4,1468,30,USA
56,Albert Gudmundsson,Genoa,1.3,50.6,3022,35,ISL
57,Chukwubuikem Ikwuemesi,Salernitana,1.3,50.0,1058,25,NGA
57,Nicola Sansone,Lecce,1.3,50.0,750,25,ITA
59,Gustav Isaksen,Lazio,1.3,39.5,1069,28,DEN
60,Paulo Dybala,Roma,1.3,39.4,1973,28,ARG
61,Aleksey Miranchuk,Atalanta,1.3,38.6,1170,27,RUS
62,Daniel Boloca,Sassuolo,1.2,80.0,2023,30,ROU
63,Giacomo Bonaventura,Fiorentina,1.2,65.2,2285,31,ITA
64,Hassane Kamara,Udinese,1.2,57.7,2238,35,CIV
65,Nedim Bajrami,Sassuolo,1.2,56.7,1312,28,ALB
66,Theo Hernández,Milan,1.2,53.6,2794,32,FRA
67,Gabriel Strefezza,Lecce,1.2,50.0,1118,19,BRA
68,Nicolas Viola,Cagliari,1.2,47.1,1202,26,ITA
69,Pasquale Mazzocchi,Napoli,1.2,45.1,1704,28,ITA
70,Matteo Politano,Napoli,1.2,44.3,2384,37,ITA
71,Martin Payero,Udinese,1.2,42.1,1801,29,ARG
72,Marcus Thuram,Internazionale,1.1,75.0,2707,35,FRA
73,Tijjani Reijnders,Milan,1.1,67.3,2830,36,NED
74,Nahitan Nández,Cagliari,1.1,62.2,2351,33,URU
75,Jordan Zemura,Udinese,1.1,61.9,1033,27,ZIM
76,Nikola Krstovic,Lecce,1.1,52.7,2390,35,MNE
77,Jonathan Ikoné,Fiorentina,1.1,51.2,1685,28,FRA
78,Liberato Cacace,Empoli,1.1,46.9,1907,31,NZL
79,Stephan El Shaarawy,Roma,1.1,44.9,1741,33,ITA
80,Gianluca Gaetano,Cagliari,1.1,37.9,905,20,ITA
81,Duvan Zapata,Torino,1.1,37.6,3005,37,COL
82,Tommaso Baldanzi,Roma,1.1,36.6,1259,27,ITA
83,Kingsley Ehizibue,Udinese,1.0,64.7,955,23,NED
84,Nikola Vlasic,Torino,1.0,63.6,2614,33,CRO
85,Luis Alberto,Lazio,1.0,61.0,2323,33,ESP
86,Adrien Rabiot,Juventus,1.0,57.1,2651,31,FRA
87,Suat Serdar,Verona,1.0,56.3,1661,25,GER
88,Alfred Duncan,Fiorentina,1.0,55.6,1893,30,GHA
89,Giovanni Fabbian,Bologna,1.0,52.2,1053,27,ITA
90,Michael Kayode,Fiorentina,1.0,51.2,2063,26,ITA
91,Andrea Cambiaso,Juventus,1.0,49.1,2387,34,ITA
92,Nicolo Cambiaghi,Empoli,1.0,41.4,2562,37,ITA
93,Eldor Shomurodov,Cagliari,1.0,38.5,933,22,UZB
94,Mohamed Kaba,Lecce,0.9,63.6,1382,23,FRA
95,Valentino Lazaro,Torino,0.9,62.5,1989,35,AUT
96,Giorgos Kyriakopoulos,Monza,0.9,62.1,1716,28,GRE
97,Joao Ferreira,Udinese,0.9,60.0,1812,35,POR
98,Gianluca Scamacca,Atalanta,0.9,57.7,1459,29,ITA
99,Filippo Terracciano,Verona,0.9,56.5,1368,21,ITA
100,Nicolo Barella,Internazionale,0.9,54.7,2860,37,ITA
101,Lorenzo Pellegrini,Roma,0.9,54.3,1866,29,ITA
102,Marco Brescianini,Frosinone,0.9,53.7,2321,36,ITA
103,Patrick Dorgu,Lecce,0.9,48.4,1563,32,DEN
104,Hamza Rafia,Lecce,0.9,46.2,1211,28,TUN
105,Andrea Colpani,Monza,0.9,41.2,2683,38,ITA
106,Warren Bondo,Monza,0.8,76.5,1471,25,FRA
107,Matias Vecino,Lazio,0.8,71.4,1135,31,URU
108,Daichi Kamada,Lazio,0.8,66.7,1543,29,JPN
109,Ondrej Duda,Verona,0.8,61.8,2463,32,SVK
110,Matteo Ruggeri,Atalanta,0.8,56.8,2466,34,ITA
111,Sandi Lovric,Udinese,0.8,54.8,1988,29,SVN
112,Ivan Ilic,Torino,0.8,54.5,2099,31,SRB
113,Grigoris Kastanos,Salernitana,0.8,54.2,1486,26,CYP
114,Denzel Dumfries,Internazionale,0.8,53.8,1640,31,NED
115,Reinier,Frosinone,0.8,52.9,1064,22,BRA
116,Lorenzo Colombo,Monza,0.8,52.2,1366,25,ITA
117,Giacomo Raspadori,Napoli,0.8,50.0,1572,37,ITA
118,M'Bala Nzola,Fiorentina,0.8,48.3,1545,33,ANG
119,Caleb Ekuban,Genoa,0.8,47.6,1123,29,GHA
120,Andre-Frank Zambo Anguissa,Napoli,0.8,44.6,2792,34,CMR
121,Davide Zappacosta,Atalanta,0.8,42.5,1875,31,ITA
122,Roberto Pereyra,Udinese,0.8,42.1,1862,27,ARG
123,Giuseppe Pezzella,Empoli,0.8,41.7,1088,19,ITA
124,Francesco Gelli,Frosinone,0.8,39.4,1558,27,ITA
124,Roberto Piccoli,Lecce,0.8,39.4,1397,37,ITA
126,Samuel Iling-Junior,Juventus,0.8,33.3,800,24,ENG
126,Samuele Mulattieri,Sassuolo,0.8,33.3,441,27,ITA
128,Uros Racic,Sassuolo,0.7,85.7,813,22,SRB
129,Antoine Makoumbou,Cagliari,0.7,70.0,2707,32,CGO
130,Ylber Ramadani,Lecce,0.7,62.2,2976,34,ALB
131,Matheus Henrique,Sassuolo,0.7,58.8,2501,31,BRA
131,Nicolo Rovella,Lazio,0.7,58.8,1322,23,ITA
133,Juan Cabal,Verona,0.7,57.1,1497,22,COL
134,Éderson,Atalanta,0.7,55.0,2873,36,BRA
135,Bartosz Bereszynski,Empoli,0.7,54.2,1766,24,POL
136,Luka Jovic,Milan,0.7,53.8,867,23,SRB
137,Razvan Marin,Empoli,0.7,51.7,1818,30,ROU
138,Piotr Zielinski,Napoli,0.7,50.0,1938,28,POL
139,Antonino Gallo,Lecce,0.7,48.7,2500,35,ITA
140,Victor Osimhen,Napoli,0.7,45.7,1990,25,NGA
141,Domagoj Bradaric,Salernitana,0.7,45.5,2753,34,CRO
142,Dusan Vlahovic,Juventus,0.7,43.9,2317,33,SRB
143,Dany Mota,Monza,0.7,36.4,2059,34,POR
144,Davide Frattesi,Internazionale,0.7,35.0,934,32,ITA
145,Michael Folorunsho,Verona,0.7,34.4,2793,34,ITA
146,Loum Tchaouna,Salernitana,0.7,34.0,2099,33,FRA
147,Christian Kouamé,Fiorentina,0.7,33.3,1084,23,CIV
148,Mathias Olivera,Napoli,0.6,68.8,1572,23,URU
149,Carlos Augusto,Internazionale,0.6,66.7,1703,37,BRA
150,Marcus Holmgren Pedersen,Sassuolo,0.6,61.1,1605,28,NOR
151,Michel Aebischer,Bologna,0.6,60.9,2234,36,SUI
152,Milan Badelj,Genoa,0.6,56.7,2555,33,CRO
153,Tommaso Augello,Cagliari,0.6,55.6,2429,32,ITA
154,Ibrahim Sulemana,Cagliari,0.6,52.9,1342,21,GHA
