Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
1,Jaka Bijol,Udinese,5.9,137.0,2083,24,SVN
2,Sebastian Walukiewicz,Empoli,5.3,120.0,2054,27,POL
3,Ardian Ismajli,Empoli,5.2,119.0,2046,26,ALB
4,Alberto Dossena,Cagliari,5.1,168.0,2979,35,ITA
5,Thomas Kristensen,Udinese,4.8,112.0,2097,26,DEN
6,Diego Coppola,Verona,4.8,88.0,1636,24,ITA
7,Simone Romagnoli,Frosinone,4.7,143.0,2716,33,ITA
8,Pawel Dawidowicz,Verona,4.7,113.0,2143,28,POL
9,Memeh Caleb Okoli,Frosinone,4.6,149.0,2915,34,ITA
10,Alessandro Buongiorno,Torino,4.6,130.0,2530,29,ITA
11,Radu Dragusin,Genoa,4.6,87.0,1710,19,ROU
12,Mateusz Wieteska,Cagliari,4.5,48.0,958,19,POL
13,Martin Erlic,Sassuolo,4.4,127.0,2624,32,CRO
14,Mattia Bani,Genoa,4.3,111.0,2309,27,ITA
15,Giangiacomo Magnani,Verona,4.2,115.0,2441,33,ITA
16,Nehuén Pérez,Udinese,4.1,147.0,3238,36,ARG
17,Alessio Romagnoli,Lazio,4.1,110.0,2409,29,ITA
18,Lorenzo Pirola,Salernitana,4.1,90.0,1991,27,ITA
19,Sebastiano Luperto,Empoli,4.0,151.0,3407,38,ITA
20,Gleison Bremer,Juventus,4.0,144.0,3234,36,BRA
21,Federico Baschirotto,Lecce,3.9,142.0,3295,37,ITA
22,Ruan Tressoldi,Sassuolo,3.9,65.0,1515,26,BRA
23,Joao Ferreira,Udinese,3.8,76.0,1812,35,POR
24,Ilario Monterisi,Frosinone,3.8,62.0,1467,24,ITA
25,Norbert Gyömbér,Salernitana,3.8,74.0,1762,22,SVK
26,Pablo Mari,Monza,3.7,107.0,2616,34,ESP
27,Marin Pongracic,Lecce,3.6,128.0,3220,36,CRO
28,Leo Østigard,Napoli,3.6,64.0,1621,25,NOR
29,Sam Beukema,Bologna,3.5,99.0,2549,30,NED
30,Johan Vásquez,Genoa,3.4,107.0,2851,37,MEX
31,Danilo,Juventus,3.4,92.0,2451,29,BRA
32,Nicolo Casale,Lazio,3.4,59.0,1557,20,ITA
33,Simon Kjær,Milan,3.4,44.0,1171,20,DEN
34,Nikola Milenkovic,Fiorentina,3.2,89.0,2506,34,SRB
35,Diego Llorente,Roma,3.2,77.0,2173,29,ESP
36,Isak Hien,Atalanta,3.2,63.0,1794,26,SWE
37,Andrea Carboni,Monza,3.2,53.0,1490,21,ITA
38,Mario Gila,Lazio,3.2,64.0,1813,21,ESP
39,Berat Djimsiti,Atalanta,3.1,98.0,2831,37,ALB
40,Matteo Lovato,Torino,3.1,51.0,1490,26,ITA
41,Malick Thiaw,Milan,3.1,55.0,1620,21,GER
42,Evan N'Dicka,Roma,3.0,72.0,2170,25,CIV
43,Kingsley Ehizibue,Udinese,3.0,32.0,955,23,NED
44,Gian Marco Ferrari,Sassuolo,2.9,73.0,2268,31,ITA
45,Amir Rrahmani,Napoli,2.9,85.0,2602,30,KVX
46,Francesco Acerbi,Internazionale,2.9,76.0,2386,29,ITA
47,Koni De Winter,Genoa,2.9,77.0,2378,29,BEL
48,Adam Masina,Torino,2.9,35.0,1083,20,MAR
49,Alessandro Vogliacco,Genoa,2.9,38.0,1171,20,ITA
50,Federico Gatti,Juventus,2.8,82.0,2640,32,ITA
51,Riccardo Calafiori,Bologna,2.8,74.0,2338,30,ITA
52,Fikayo Tomori,Milan,2.8,65.0,2125,26,ENG
53,Stefan de Vrij,Internazionale,2.8,49.0,1578,25,NED
54,Charalambos Lykogiannis,Bologna,2.8,28.0,899,22,GRE
55,Juan Cabal,Verona,2.8,46.0,1497,22,COL
56,Luca Ranieri,Fiorentina,2.7,63.0,2067,26,ITA
57,Lucas Martinez Quarta,Fiorentina,2.6,65.0,2292,29,ARG
58,Marcus Holmgren Pedersen,Sassuolo,2.6,46.0,1605,28,NOR
59,Juan Jesus,Napoli,2.6,61.0,2117,24,BRA
60,Marco Davide Faraoni,Fiorentina,2.6,29.0,995,19,ITA
61,Valentin Gendrey,Lecce,2.5,85.0,3050,37,FRA
62,Jhon Lucumi,Bologna,2.5,62.0,2214,29,COL
62,Luca Mazzitelli,Frosinone,2.5,62.0,2221,29,ITA
64,Armando Izzo,Monza,2.5,46.0,1653,23,ITA
65,Tommaso Augello,Cagliari,2.4,65.0,2429,32,ITA
65,Stefan Posch,Bologna,2.4,65.0,2418,31,AUT
67,Bartosz Bereszynski,Empoli,2.4,47.0,1766,24,POL
68,Uros Racic,Sassuolo,2.4,22.0,813,22,SRB
69,Carlos Augusto,Internazionale,2.3,43.0,1703,37,BRA
70,Gianluca Mancini,Roma,2.3,74.0,2872,36,ITA
71,Giorgio Scalvini,Atalanta,2.3,66.0,2553,33,ITA
72,Rasmus Kristensen,Roma,2.3,44.0,1743,29,DEN
73,Benjamin Pavard,Internazionale,2.3,42.0,1677,23,FRA
73,Patric,Lazio,2.3,42.0,1610,20,ESP
75,Gabriele Zappa,Cagliari,2.2,62.0,2559,38,ITA
76,Giuseppe Pezzella,Empoli,2.2,27.0,1088,19,ITA
77,Hassane Kamara,Udinese,2.1,52.0,2238,35,CIV
78,Weston McKennie,Juventus,2.1,61.0,2599,34,USA
79,Patrick Dorgu,Lecce,2.1,37.0,1563,32,DEN
80,Alexis Blin,Lecce,2.1,38.0,1632,31,FRA
81,Luca Caldirola,Monza,2.1,50.0,2139,29,ITA
82,Jackson Tchatchoua,Verona,2.1,40.0,1725,26,CMR
83,Elseid Hysaj,Lazio,2.1,28.0,1194,22,ALB
84,Emil Holm,Atalanta,2.1,22.0,948,22,SWE
85,Liberato Cacace,Empoli,2.0,43.0,1907,31,NZL
86,Josh Doig,Sassuolo,2.0,49.0,2183,28,SCO
87,Pasquale Mazzocchi,Napoli,2.0,37.0,1704,28,ITA
88,Pol Lirola,Frosinone,2.0,35.0,1538,25,ESP
89,Samuel Iling-Junior,Juventus,2.0,18.0,800,24,ENG
90,Manuel Locatelli,Juventus,1.9,63.0,3011,36,ITA
91,Antonino Gallo,Lecce,1.9,53.0,2500,35,ITA
92,Ricardo Rodriguez,Torino,1.9,58.0,2783,35,SUI
93,Sead Kolasinac,Atalanta,1.9,46.0,2182,30,BIH
94,Alessandro Deiola,Cagliari,1.9,34.0,1608,27,ITA
95,Enzo Barrenechea,Frosinone,1.8,57.0,2816,36,ARG
96,Matteo Darmian,Internazionale,1.8,47.0,2413,33,ITA
97,Milan Badelj,Genoa,1.8,50.0,2555,33,CRO
98,Giulio Maggiore,Salernitana,1.8,36.0,1807,27,ITA
99,Jeremy Toljan,Sassuolo,1.8,42.0,2085,25,GER
100,Danilo D'Ambrosio,Monza,1.8,31.0,1534,24,ITA
101,Jean-Daniel Akpa-Akpro,Monza,1.8,14.0,700,19,CIV
102,Luca Pellegrini,Lazio,1.8,16.0,781,19,ITA
103,Adam Marusic,Lazio,1.7,58.0,3106,37,MNE
104,Samuele Birindelli,Monza,1.7,39.0,2013,35,ITA
105,Marten de Roon,Atalanta,1.7,49.0,2599,30,NED
106,Davide Calabria,Milan,1.7,42.0,2191,29,ITA
