Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
1,Rafael Leao,Milan,8.1,9.0,2523,34,POR
2,Federico Dimarco,Internazionale,7.5,6.0,2105,30,ITA
3,Albert Gudmundsson,Genoa,6.5,4.0,3022,35,ISL
4,Matteo Politano,Napoli,6.0,7.0,2384,37,ITA
5,Hakan Calhanoglu,Internazionale,5.8,3.0,2576,32,TUR
6,Federico Chiesa,Juventus,5.6,2.0,2207,33,ITA
7,Giovanni Di Lorenzo,Napoli,5.4,6.0,3235,36,ITA
7,Khvicha Kvaratskhelia,Napoli,5.4,6.0,2750,34,GEO
9,Teun Koopmeiners,Atalanta,5.4,5.0,2633,34,NED
10,Giacomo Bonaventura,Fiorentina,5.4,3.0,2285,31,ITA
11,Matias Soulé,Frosinone,5.3,3.0,3136,36,ARG
12,Lazar Samardzic,Udinese,5.0,2.0,2380,34,SRB
13,Ademola Lookman,Atalanta,4.8,7.0,1899,31,NGA
13,Luis Alberto,Lazio,4.8,7.0,2323,33,ESP
15,Felipe Anderson,Lazio,4.7,6.0,2782,38,BRA
16,Andrea Colpani,Monza,4.6,4.0,2683,38,ITA
16,Theo Hernández,Milan,4.6,4.0,2794,32,FRA
18,Ivan Ilic,Torino,4.6,2.0,2099,31,SRB
19,Christian Pulisic,Milan,4.5,8.0,2620,36,USA
20,Raoul Bellanova,Torino,4.5,7.0,3063,37,ITA
21,Aleksey Miranchuk,Atalanta,4.5,5.0,1170,27,RUS
22,Nicolo Barella,Internazionale,4.5,3.0,2860,37,ITA
23,Henrikh Mkhitaryan,Internazionale,4.3,8.0,2803,36,ARM
24,Cristiano Biraghi,Fiorentina,4.3,5.0,2358,29,ITA
25,Charles De Ketelaere,Atalanta,4.1,8.0,2042,35,BEL
26,Antonio Candreva,Salernitana,4.1,6.0,2757,34,ITA
27,Filip Kostic,Juventus,4.1,4.0,1831,29,SRB
28,Florian Thauvin,Udinese,4.1,3.0,1713,29,FRA
28,Tijjani Reijnders,Milan,4.1,3.0,2830,36,NED
30,Paulo Dybala,Roma,4.0,9.0,1973,28,ARG
31,Adrien Rabiot,Juventus,4.0,3.0,2651,31,FRA
32,Rémi Oudin,Lecce,4.0,2.0,1826,31,FRA
33,Armand Laurienté,Sassuolo,3.9,4.0,2926,37,FRA
