Rank,Player,Team,Expected Assists per 90,Actual Assists per 90,Minutes,Matches,Country
1,Aleksey Miranchuk,Atalanta,0.35,0.4,1170,27,RUS
2,Alexis Sánchez,Internazionale,0.34,0.6,751,23,CHI
3,Federico Dimarco,Internazionale,0.32,0.3,2105,30,ITA
4,Rafael Leao,Milan,0.29,0.3,2523,34,POR
5,Marko Arnautovic,Internazionale,0.24,0.3,779,27,AUT
5,Samuel Chukwueze,Milan,0.24,0.3,1012,24,NGA
7,Nicolas Viola,Cagliari,0.24,0.1,1202,26,ITA
8,Ademola Lookman,Atalanta,0.23,0.3,1899,31,NGA
8,Matteo Politano,Napoli,0.23,0.3,2384,37,ITA
10,Federico Chiesa,Juventus,0.23,0.1,2207,33,ITA
11,Florian Thauvin,Udinese,0.22,0.2,1713,29,FRA
12,Giacomo Bonaventura,Fiorentina,0.21,0.1,2285,31,ITA
12,Leonardo Spinazzola,Roma,0.21,0.1,1312,24,ITA
14,Davide Frattesi,Internazionale,0.2,0.3,934,32,ITA
15,Filip Kostic,Juventus,0.2,0.2,1831,29,SRB
16,Hakan Calhanoglu,Internazionale,0.2,0.1,2576,32,TUR
16,Ivan Ilic,Torino,0.2,0.1,2099,31,SRB
16,Rémi Oudin,Lecce,0.2,0.1,1826,31,FRA
16,Riccardo Orsolini,Bologna,0.2,0.1,1792,33,ITA
20,Cristian Volpato,Sassuolo,0.2,0.0,632,22,ITA
20,Jesper Lindstrøm,Napoli,0.2,0.0,417,22,DEN
22,Luis Alberto,Lazio,0.19,0.3,2323,33,ESP
23,Riccardo Sottil,Fiorentina,0.19,0.2,1108,22,ITA
23,Teun Koopmeiners,Atalanta,0.19,0.2,2633,34,NED
25,Albert Gudmundsson,Genoa,0.19,0.1,3022,35,ISL
25,Lazar Samardzic,Udinese,0.19,0.1,2380,34,SRB
27,Charles De Ketelaere,Atalanta,0.18,0.4,2042,35,BEL
27,Paulo Dybala,Roma,0.18,0.4,1973,28,ARG
29,Alessandro Florenzi,Milan,0.18,0.2,1730,31,ITA
29,Denzel Dumfries,Internazionale,0.18,0.2,1640,31,NED
29,Khvicha Kvaratskhelia,Napoli,0.18,0.2,2750,34,GEO
32,Antonin Barak,Fiorentina,0.17,0.3,802,21,CZE
33,Cristiano Biraghi,Fiorentina,0.17,0.2,2358,29,ITA
33,Giacomo Raspadori,Napoli,0.17,0.2,1572,37,ITA
33,Samuel Iling-Junior,Juventus,0.17,0.2,800,24,ENG
36,Alexis Saelemaekers,Bologna,0.17,0.1,1892,30,BEL
36,Gustav Isaksen,Lazio,0.17,0.1,1069,28,DEN
36,Kevin Strootman,Genoa,0.17,0.1,1209,27,NED
36,Pedro Rodriguez,Lazio,0.17,0.1,798,33,ESP
40,Christian Pulisic,Milan,0.16,0.3,2620,36,USA
41,Alessio Zerbin,Monza,0.16,0.1,829,20,ITA
41,Darko Lazovic,Verona,0.16,0.1,1942,32,SRB
43,Mario Pasalic,Atalanta,0.15,0.3,2048,34,CRO
43,Nadir Zortea,Frosinone,0.15,0.3,1403,19,ITA
45,Felipe Anderson,Lazio,0.15,0.2,2782,38,BRA
45,Giovanni Di Lorenzo,Napoli,0.15,0.2,3235,36,ITA
47,Andrea Colpani,Monza,0.15,0.1,2683,38,ITA
