Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
1,Lautaro Martinez,Internazionale,17.6,24.0,2668,33,ARG
2,Dusan Vlahovic,Juventus,16.7,16.0,2317,33,SRB
3,Victor Osimhen,Napoli,15.4,15.0,1990,25,NGA
4,Marcus Thuram,Internazionale,14.4,13.0,2707,35,FRA
5,Olivier Giroud,Milan,14.2,15.0,2372,35,FRA
6,Nikola Krstovic,Lecce,11.6,7.0,2390,35,MNE
7,Duvan Zapata,Torino,11.3,13.0,3005,37,COL
8,Khvicha Kvaratskhelia,Napoli,11.2,11.0,2750,34,GEO
9,Paulo Dybala,Roma,10.6,13.0,1973,28,ARG
10,Matias Soulé,Frosinone,10.5,11.0,3136,36,ARG
11,Nicolás González,Fiorentina,10.4,12.0,1913,29,ARG
12,Hakan Calhanoglu,Internazionale,10.2,13.0,2576,32,TUR
13,Rafael Leao,Milan,10.1,9.0,2523,34,POR
14,Albert Gudmundsson,Genoa,9.9,14.0,3022,35,ISL
15,Romelu Lukaku,Roma,9.8,13.0,2644,32,BEL
16,Ciro Immobile,Lazio,9.8,7.0,1656,31,ITA
17,Antonio Sanabria,Torino,9.5,5.0,2133,35,PAR
18,Ademola Lookman,Atalanta,9.3,11.0,1899,31,NGA
19,Joshua Zirkzee,Bologna,9.0,11.0,2771,34,NED
20,Walid Cheddira,Frosinone,9.0,7.0,2130,36,MAR
21,Andrea Pinamonti,Sassuolo,8.9,11.0,3100,38,ITA
22,Christian Pulisic,Milan,8.0,12.0,2620,36,USA
23,Lorenzo Lucca,Udinese,7.8,8.0,2600,37,ITA
24,Riccardo Orsolini,Bologna,7.6,10.0,1792,33,ITA
25,Milan Djuric,Monza,7.5,9.0,2464,37,BIH
26,Charles De Ketelaere,Atalanta,7.3,10.0,2042,35,BEL
27,Mario Pasalic,Atalanta,7.3,6.0,2048,34,CRO
28,Valentin Castellanos,Lazio,7.3,4.0,1676,35,ARG
29,Matteo Politano,Napoli,7.2,8.0,2384,37,ITA
30,Davide Frattesi,Internazionale,7.1,6.0,934,32,ITA
31,Teun Koopmeiners,Atalanta,6.6,12.0,2633,34,NED
32,Gianluca Scamacca,Atalanta,6.5,12.0,1459,29,ITA
33,Domenico Berardi,Sassuolo,6.5,9.0,1438,17,ITA
