Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
1,Lautaro Martinez,Internazionale,18.3,24.0,2668,33,ARG
2,Victor Osimhen,Napoli,18.2,15.0,1990,25,NGA
3,Olivier Giroud,Milan,16.2,15.0,2372,35,FRA
4,Dusan Vlahovic,Juventus,15.2,16.0,2317,33,SRB
5,Duvan Zapata,Torino,12.7,13.0,3005,37,COL
6,Albert Gudmundsson,Genoa,12.6,14.0,3022,35,ISL
7,Nicolás González,Fiorentina,12.6,12.0,1913,29,ARG
8,Hakan Calhanoglu,Internazionale,12.0,13.0,2576,32,TUR
9,Khvicha Kvaratskhelia,Napoli,11.6,11.0,2750,34,GEO
9,Matias Soulé,Frosinone,11.6,11.0,3136,36,ARG
11,Paulo Dybala,Roma,11.4,13.0,1973,28,ARG
12,Marcus Thuram,Internazionale,10.7,13.0,2707,35,FRA
12,Romelu Lukaku,Roma,10.7,13.0,2644,32,BEL
14,Ciro Immobile,Lazio,10.5,7.0,1656,31,ITA
15,Christian Pulisic,Milan,9.3,12.0,2620,36,USA
15,Gianluca Scamacca,Atalanta,9.3,12.0,1459,29,ITA
17,Riccardo Orsolini,Bologna,8.9,10.0,1792,33,ITA
18,Joshua Zirkzee,Bologna,8.8,11.0,2771,34,NED
19,Walid Cheddira,Frosinone,8.7,7.0,2130,36,MAR
20,Rafael Leao,Milan,8.4,9.0,2523,34,POR
21,Domenico Berardi,Sassuolo,8.3,9.0,1438,17,ITA
22,Mario Pasalic,Atalanta,8.3,6.0,2048,34,CRO
23,Andrea Pinamonti,Sassuolo,8.0,11.0,3100,38,ITA
24,Ademola Lookman,Atalanta,7.8,11.0,1899,31,NGA
25,Aleksey Miranchuk,Atalanta,7.8,3.0,1170,27,RUS
26,Lorenzo Lucca,Udinese,7.7,8.0,2600,37,ITA
26,Matteo Politano,Napoli,7.7,8.0,2384,37,ITA
28,Charles De Ketelaere,Atalanta,7.6,10.0,2042,35,BEL
29,Milan Djuric,Monza,7.5,9.0,2464,37,BIH
30,Matteo Pessina,Monza,7.5,6.0,3228,37,ITA
31,Federico Chiesa,Juventus,7.3,9.0,2207,33,ITA
32,Lewis Ferguson,Bologna,7.2,6.0,2718,31,SCO
33,Armand Laurienté,Sassuolo,7.1,5.0,2926,37,FRA
34,Mateo Retegui,Genoa,7.0,7.0,2225,29,ITA
35,Davide Frattesi,Internazionale,6.9,6.0,934,32,ITA
36,Andrea Belotti,Fiorentina,6.7,6.0,1624,29,ITA
37,Nikola Krstovic,Lecce,6.6,7.0,2390,35,MNE
38,Antonio Sanabria,Torino,6.4,5.0,2133,35,PAR
39,Teun Koopmeiners,Atalanta,6.3,12.0,2633,34,NED
40,Giacomo Bonaventura,Fiorentina,6.2,8.0,2285,31,ITA
41,Luka Jovic,Milan,6.2,6.0,867,23,SRB
42,Giacomo Raspadori,Napoli,6.2,5.0,1572,37,ITA
43,Andrea Colpani,Monza,6.1,8.0,2683,38,ITA
44,Noah Okafor,Milan,6.1,6.0,869,28,SUI
45,Florian Thauvin,Udinese,6.1,5.0,1713,29,FRA
45,Luis Alberto,Lazio,6.1,5.0,2323,33,ESP
47,M'Baye Niang,Empoli,6.0,6.0,706,14,SEN
48,Lorenzo Pellegrini,Roma,5.7,8.0,1866,29,ITA
49,Cyril Ngonge,Napoli,5.5,7.0,1743,32,BEL
50,Lazar Samardzic,Udinese,5.3,6.0,2380,34,SRB
51,Valentin Castellanos,Lazio,5.2,4.0,1676,35,ARG
52,Nicolo Barella,Internazionale,5.0,2.0,2860,37,ITA
53,Antonio Candreva,Salernitana,4.9,6.0,2757,34,ITA
54,Francesco Caputo,Empoli,4.9,3.0,1274,20,ITA
55,Kaio Jorge,Frosinone,4.7,3.0,805,20,BRA
56,Mattia Zaccagni,Lazio,4.6,6.0,1971,28,ITA
57,Leonardo Pavoletti,Cagliari,4.6,4.0,620,19,ITA
57,Zito Luvumbo,Cagliari,4.6,4.0,1947,30,ANG
59,Lucas Beltran,Fiorentina,4.5,6.0,1694,32,ARG
60,Gianluca Gaetano,Cagliari,4.5,5.0,905,20,ITA
60,Marko Arnautovic,Internazionale,4.5,5.0,779,27,AUT
60,Nicolas Viola,Cagliari,4.5,5.0,1202,26,ITA
60,Roberto Piccoli,Lecce,4.5,5.0,1397,37,ITA
64,Boulaye Dia,Salernitana,4.5,4.0,1143,17,SEN
65,Rolando Mandragora,Fiorentina,4.5,3.0,1584,33,ITA
66,Felipe Anderson,Lazio,4.4,5.0,2782,38,BRA
67,M'Bala Nzola,Fiorentina,4.4,3.0,1545,33,ANG
68,Michael Folorunsho,Verona,4.3,5.0,2793,34,ITA
69,Houssem Aouar,Roma,4.3,4.0,756,16,ALG
70,Tijjani Noslin,Verona,4.1,5.0,1346,17,NED
71,Matteo Cancellieri,Empoli,4.1,4.0,1784,36,ITA
72,Federico Dimarco,Internazionale,3.9,5.0,2105,30,ITA
73,Jonathan Ikoné,Fiorentina,3.9,3.0,1685,28,FRA
73,Tomas Suslov,Verona,3.9,3.0,2094,32,SVK
75,Theo Hernández,Milan,3.8,5.0,2794,32,FRA
76,Matias Vecino,Lazio,3.7,6.0,1135,31,URU
76,Ruben Loftus-Cheek,Milan,3.7,6.0,2081,29,ENG
78,Adrien Rabiot,Juventus,3.7,5.0,2651,31,FRA
79,Loum Tchaouna,Salernitana,3.7,4.0,2099,33,FRA
80,Lameck Banda,Lecce,3.7,2.0,1358,21,ZAM
81,Roberto Pereyra,Udinese,3.6,4.0,1862,27,ARG
82,Abdou Harroui,Frosinone,3.6,3.0,1025,18,NED
82,Simy,Salernitana,3.6,3.0,680,15,NGA
84,Marco Brescianini,Frosinone,3.4,4.0,2321,36,ITA
85,Darko Lazovic,Verona,3.4,3.0,1942,32,SRB
85,Sardar Azmoun,Roma,3.4,3.0,571,23,IRN
87,Éderson,Atalanta,3.3,6.0,2873,36,BRA
88,Denzel Dumfries,Internazionale,3.3,4.0,1640,31,NED
89,Gianluca Lapadula,Cagliari,3.3,3.0,1206,23,PER
90,Hassane Kamara,Udinese,3.3,1.0,2238,35,CIV
91,Kristian Thorstvedt,Sassuolo,3.2,6.0,2413,34,NOR
92,Ivan Ilic,Torino,3.2,3.0,2099,31,SRB
92,Leandro Paredes,Roma,3.2,3.0,2644,34,ARG
94,Matheus Henrique,Sassuolo,3.2,2.0,2501,31,BRA
94,Pontus Almqvist,Lecce,3.2,2.0,2115,30,SWE
96,Dan Ndoye,Bologna,3.2,1.0,1775,32,SUI
96,Giovanni Simeone,Napoli,3.2,1.0,787,28,ARG
98,Giovanni Fabbian,Bologna,3.1,5.0,1053,27,ITA
99,Federico Gatti,Juventus,3.1,4.0,2640,32,ITA
99,Fikayo Tomori,Milan,3.1,4.0,2125,26,ENG
101,Riccardo Sottil,Fiorentina,3.1,2.0,1108,22,ITA
102,Luca Mazzitelli,Frosinone,3.0,5.0,2221,29,ITA
103,Samuel Chukwueze,Milan,3.0,1.0,1012,24,NGA
104,Alexis Saelemaekers,Bologna,2.9,4.0,1892,30,BEL
104,Arkadiusz Milik,Juventus,2.9,4.0,902,32,POL
106,Bryan Cristante,Roma,2.9,3.0,3292,37,ITA
106,Thomas Henry,Verona,2.9,3.0,320,18,FRA
108,Ondrej Duda,Verona,2.9,1.0,2463,32,SVK
109,Amir Rrahmani,Napoli,2.8,3.0,2602,30,KVX
110,Andrea Cambiaso,Juventus,2.8,2.0,2387,34,ITA
110,Morten Thorsby,Genoa,2.8,2.0,1143,24,NOR
112,Nicolo Cambiaghi,Empoli,2.8,1.0,2562,37,ITA
113,Dany Mota,Monza,2.7,4.0,2059,34,POR
114,Grigoris Kastanos,Salernitana,2.7,3.0,1486,26,CYP
114,Nikola Vlasic,Torino,2.7,3.0,2614,33,CRO
116,Nahitan Nández,Cagliari,2.7,2.0,2351,33,URU
117,Alessandro Florenzi,Milan,2.7,1.0,1730,31,ITA
118,Gustav Isaksen,Lazio,2.6,3.0,1069,28,DEN
119,Alexis Sánchez,Internazionale,2.6,2.0,751,23,CHI
119,Antonin Barak,Fiorentina,2.6,2.0,802,21,CZE
121,Emil Holm,Atalanta,2.6,1.0,948,22,SWE
122,Caleb Ekuban,Genoa,2.5,4.0,1123,29,GHA
122,Daniel Maldini,Monza,2.5,4.0,588,18,ITA
122,Ruslan Malinovsky,Genoa,2.5,4.0,1547,28,UKR
125,Alessandro Buongiorno,Torino,2.5,3.0,2530,29,ITA
125,Piotr Zielinski,Napoli,2.5,3.0,1938,28,POL
125,Stephan El Shaarawy,Roma,2.5,3.0,1741,33,ITA
128,Nicola Sansone,Lecce,2.5,2.0,750,25,ITA
128,Tommaso Baldanzi,Roma,2.5,2.0,1259,27,ITA
130,Alberto Cerri,Empoli,2.5,1.0,553,12,ITA
130,Emmanuel Quartsin Gyasi,Empoli,2.5,1.0,1873,33,GHA
130,Roberto Gagliardini,Monza,2.5,1.0,2366,33,ITA
133,Luis Muriel,Atalanta,2.4,2.0,395,18,COL
134,Matteo Prati,Cagliari,2.4,1.0,1972,26,ITA
134,Sandi Lovric,Udinese,2.4,1.0,1988,29,SVN
136,Lorenzo Colombo,Monza,2.3,4.0,1366,25,ITA
137,Eldor Shomurodov,Cagliari,2.2,3.0,933,22,UZB
137,Federico Bonazzoli,Verona,2.2,3.0,1014,24,ITA
139,Patrick Dorgu,Lecce,2.2,2.0,1563,32,DEN
140,Giulio Maggiore,Salernitana,2.1,4.0,1807,27,ITA
141,Alfred Duncan,Fiorentina,2.1,2.0,1893,30,GHA
141,Karol Swiderski,Verona,2.1,2.0,496,15,POL
143,Andrea Petagna,Cagliari,2.1,1.0,996,18,ITA
144,Arthur,Fiorentina,2.0,2.0,1993,33,BRA
144,Cristiano Biraghi,Fiorentina,2.0,2.0,2358,29,ITA
144,Walace,Udinese,2.0,2.0,3243,37,BRA
147,Lucas Martinez Quarta,Fiorentina,1.9,5.0,2292,29,ARG
148,Szymon Zurkowski,Empoli,1.9,4.0,871,13,POL
149,Matteo Gabbia,Milan,1.9,2.0,1276,18,ITA
150,Johan Vásquez,Genoa,1.9,1.0,2851,37,MEX
151,Tijjani Reijnders,Milan,1.8,3.0,2830,36,NED
152,Christian Kouamé,Fiorentina,1.8,2.0,1084,23,CIV
152,Davide Zappacosta,Atalanta,1.8,2.0,1875,31,ITA
152,El Bilal Touré,Atalanta,1.8,2.0,386,11,MLI
152,Eljif Elmas,Napoli,1.8,2.0,331,11,MKD
152,Martin Payero,Udinese,1.8,2.0,1801,29,ARG
152,Nedim Bajrami,Sassuolo,1.8,2.0,1312,28,ALB
152,Patric,Lazio,1.8,2.0,1610,20,ESP
159,Alessandro Deiola,Cagliari,1.8,1.0,1608,27,ITA
159,Chukwubuikem Ikwuemesi,Salernitana,1.8,1.0,1058,25,NGA
159,Viktor Kovalenko,Empoli,1.8,1.0,606,17,UKR
162,Alberto Dossena,Cagliari,1.7,2.0,2979,35,ITA
162,Daichi Kamada,Lazio,1.7,2.0,1543,29,JPN
162,Henrikh Mkhitaryan,Internazionale,1.7,2.0,2803,36,ARM
162,Riccardo Calafiori,Bologna,1.7,2.0,2338,30,ITA
166,Giorgio Scalvini,Atalanta,1.7,1.0,2553,33,ITA
166,Giovanni Di Lorenzo,Napoli,1.7,1.0,3235,36,ITA
166,Hamza Rafia,Lecce,1.7,1.0,1211,28,TUN
166,Samuel Iling-Junior,Juventus,1.7,1.0,800,24,ENG
170,George Puscas,Genoa,1.7,0.0,185,8,ROU
171,Gleison Bremer,Juventus,1.6,3.0,3234,36,BRA
172,Yann Aurel Bisseck,Internazionale,1.6,2.0,898,16,GER
173,Razvan Marin,Empoli,1.6,0.0,1818,30,ROU
174,Jens Odgaard,Bologna,1.5,2.0,431,10,DEN
174,Valentin Carboni,Monza,1.5,2.0,1158,31,ARG
176,Agustin Martegani,Salernitana,1.5,1.0,725,18,ARG
176,Andrea Carboni,Monza,1.5,1.0,1490,21,ITA
176,Gian Marco Ferrari,Sassuolo,1.5,1.0,2268,31,ITA
176,Jovane Cabral,Salernitana,1.5,1.0,680,12,CPV
180,Benjamin Pavard,Internazionale,1.5,0.0,1677,23,FRA
180,Demba Seck,Frosinone,1.5,0.0,718,20,SEN
180,Edoardo Bove,Roma,1.5,0.0,1777,31,ITA
180,Weston McKennie,Juventus,1.5,0.0,2599,34,USA
184,Mattia Bani,Genoa,1.4,2.0,2309,27,ITA
184,Vitor Oliveira,Genoa,1.4,2.0,281,9,POR
186,Pietro Pellegri,Torino,1.4,1.0,745,24,ITA
186,Sead Kolasinac,Atalanta,1.4,1.0,2182,30,BIH
188,Gianluca Mancini,Roma,1.3,4.0,2872,36,ITA
189,Gaetano Oristanio,Cagliari,1.3,2.0,1102,25,ITA
189,Kenan Yildiz,Juventus,1.3,2.0,945,27,TUR
189,Oussama El Azzouzi,Bologna,1.3,2.0,536,18,MAR
189,Pol Lirola,Frosinone,1.3,2.0,1538,25,ESP
193,Alessandro Bastoni,Internazionale,1.3,1.0,2283,28,ITA
193,Gabriel Strefezza,Lecce,1.3,1.0,1118,19,BRA
193,Junior Sambia,Salernitana,1.3,1.0,1031,18,FRA
193,Martin Erlic,Sassuolo,1.3,1.0,2624,32,CRO
193,Pedro Rodriguez,Lazio,1.3,1.0,798,33,ESP
193,Stefan Posch,Bologna,1.3,1.0,2418,31,AUT
199,Andre-Frank Zambo Anguissa,Napoli,1.3,0.0,2792,34,CMR
199,Liberato Cacace,Empoli,1.3,0.0,1907,31,NZL
199,Stefano Sabelli,Genoa,1.3,0.0,2448,32,ITA
202,Charalambos Lykogiannis,Bologna,1.2,2.0,899,22,GRE
202,Diego Coppola,Verona,1.2,2.0,1636,24,ITA
202,Morten Frendrup,Genoa,1.2,2.0,3146,37,DEN
202,Radu Dragusin,Genoa,1.2,2.0,1710,19,ROU
202,Reinier,Frosinone,1.2,2.0,1064,22,BRA
207,Gregoire Defrel,Sassuolo,1.2,1.0,751,20,MTQ
207,Jordan Zemura,Udinese,1.2,1.0,1033,27,ZIM
209,Valentino Lazaro,Torino,1.2,0.0,1989,35,AUT
210,Rémi Oudin,Lecce,1.1,3.0,1826,31,FRA
211,Ismael Bennacer,Milan,1.1,2.0,1151,20,ALG
211,Yerry Mina,Cagliari,1.1,2.0,1259,18,COL
213,Cristian Volpato,Sassuolo,1.1,1.0,632,22,ITA
213,Lautaro Gianetti,Udinese,1.1,1.0,630,7,ARG
213,Michael Kayode,Fiorentina,1.1,1.0,2063,26,ITA
213,Santiago Castro,Bologna,1.1,1.0,238,8,ARG
213,Stefan de Vrij,Internazionale,1.1,1.0,1578,25,NED
218,Antonino Gallo,Lecce,1.1,0.0,2500,35,ITA
218,Jeremy Toljan,Sassuolo,1.1,0.0,2085,25,GER
220,Francesco Acerbi,Internazionale,1.0,3.0,2386,29,ITA
221,Daniele Rugani,Juventus,1.0,2.0,1189,17,ITA
221,Ilario Monterisi,Frosinone,1.0,2.0,1467,24,ITA
221,Matteo Darmian,Internazionale,1.0,2.0,2413,33,ITA
221,Nadir Zortea,Frosinone,1.0,2.0,1403,19,ITA
225,Adam Marusic,Lazio,1.0,1.0,3106,37,MNE
225,Antoine Makoumbou,Cagliari,1.0,1.0,2707,32,CGO
225,Arijon Ibrahimovic,Frosinone,1.0,1.0,470,16,GER
225,Christian Kabasele,Udinese,1.0,1.0,861,13,BEL
225,Davide Calabria,Milan,1.0,1.0,2191,29,ITA
225,Sam Beukema,Bologna,1.0,1.0,2549,30,NED
231,Patrick Ciurria,Monza,1.0,0.0,1602,22,ITA
231,Samuele Birindelli,Monza,1.0,0.0,2013,35,ITA
233,Matteo Guendouzi,Lazio,0.9,2.0,2370,33,FRA
234,Isaac Success,Udinese,0.9,1.0,872,27,NGA
234,Jan-Carlo Simic,Milan,0.9,1.0,143,4,SRB
234,Junior Messias,Genoa,0.9,1.0,1056,18,BRA
234,Marvin Cuni,Frosinone,0.9,1.0,522,22,ALB
234,Mattia Viti,Sassuolo,0.9,1.0,985,15,ITA
234,Milan Badelj,Genoa,0.9,1.0,2555,33,CRO
234,Sebastiano Luperto,Empoli,0.9,1.0,3407,38,ITA
234,Tammy Abraham,Roma,0.9,1.0,240,8,ENG
234,Uros Racic,Sassuolo,0.9,1.0,813,22,SRB
234,Zanos Savva,Torino,0.9,1.0,26,2,CYP
244,Jesper Karlsson,Bologna,0.9,0.0,345,7,SWE
244,Koni De Winter,Genoa,0.9,0.0,2378,29,BEL
244,Nicolo Rovella,Lazio,0.9,0.0,1322,23,ITA
244,Stanislav Lobotka,Napoli,0.9,0.0,3293,38,SVK
244,Tyronne Ebuehi,Empoli,0.9,0.0,1096,15,NGA
249,Nemanja Radonjic,Torino,0.8,3.0,373,10,SRB
250,Ibrahim Sulemana,Cagliari,0.8,2.0,1342,21,GHA
250,Oier Zarraga,Udinese,0.8,2.0,395,15,ESP
252,Danilo,Juventus,0.8,1.0,2451,29,BRA
252,Jakub Jankto,Cagliari,0.8,1.0,878,18,CZE
252,Joan Gonzalez,Lecce,0.8,1.0,1283,29,ESP
252,Mirko Maric,Monza,0.8,1.0,279,10,CRO
252,Nikola Moro,Bologna,0.8,1.0,835,23,CRO
252,Remo Freuler,Bologna,0.8,1.0,2632,32,SUI
252,Samuele Ricci,Torino,0.8,1.0,2400,32,ITA
259,Alessio Romagnoli,Lazio,0.8,0.0,2409,29,ITA
259,Armando Izzo,Monza,0.8,0.0,1653,23,ITA
259,David Okereke,Torino,0.8,0.0,249,9,NGA
259,Domagoj Bradaric,Salernitana,0.8,0.0,2753,34,CRO
259,Federico Baschirotto,Lecce,0.8,0.0,3295,37,ITA
259,Jean-Daniel Akpa-Akpro,Monza,0.8,0.0,700,19,CIV
259,Kacper Urbanski,Bologna,0.8,0.0,921,22,POL
259,Manuel Lazzari,Lazio,0.8,0.0,1675,24,ITA
259,Michel Aebischer,Bologna,0.8,0.0,2234,36,SUI
259,Mohamed Kaba,Lecce,0.8,0.0,1382,23,FRA
259,Paulo Azzi,Cagliari,0.8,0.0,936,25,BRA
259,Youssef Maleh,Empoli,0.8,0.0,2610,34,MAR
271,Luca Ranieri,Fiorentina,0.7,2.0,2067,26,ITA
272,Fabio Miretti,Juventus,0.7,1.0,1104,25,ITA
272,Juan Jesus,Napoli,0.7,1.0,2117,24,BRA
272,Leo Østigard,Napoli,0.7,1.0,1621,25,NOR
272,Lorenzo Pirola,Salernitana,0.7,1.0,1991,27,ITA
272,Tommaso Augello,Cagliari,0.7,1.0,2429,32,ITA
272,Warren Bondo,Monza,0.7,1.0,1471,25,FRA
278,Adam Obert,Cagliari,0.7,0.0,940,17,SVK
278,Alberto Grassi,Empoli,0.7,0.0,1823,27,ITA
278,Danilo D'Ambrosio,Monza,0.7,0.0,1534,24,ITA
278,Festy Ebosele,Udinese,0.7,0.0,1705,31,IRL
278,Malick Thiaw,Milan,0.7,0.0,1620,21,GER
278,Mateusz Legowski,Salernitana,0.7,0.0,1132,29,POL
278,Samuele Mulattieri,Sassuolo,0.7,0.0,441,27,ITA
278,Yunus Musah,Milan,0.7,0.0,1468,30,USA
286,Valentin Gendrey,Lecce,0.6,2.0,3050,37,FRA
287,Daniel Boloca,Sassuolo,0.6,1.0,2023,30,ROU
287,Gabriele Zappa,Cagliari,0.6,1.0,2559,38,ITA
287,Luca Pellegrini,Lazio,0.6,1.0,781,19,ITA
287,Mathias Olivera,Napoli,0.6,1.0,1572,23,URU
287,Simone Bastoni,Empoli,0.6,1.0,748,16,ITA
287,Ylber Ramadani,Lecce,0.6,1.0,2976,34,ALB
293,Alessio Zerbin,Monza,0.6,0.0,829,20,ITA
293,Edoardo Goldaniga,Cagliari,0.6,0.0,1013,13,ITA
293,Evan N'Dicka,Roma,0.6,0.0,2170,25,CIV
293,Francesco Gelli,Frosinone,0.6,0.0,1558,27,ITA
293,Giangiacomo Magnani,Verona,0.6,0.0,2441,33,ITA
293,Marco Mancosu,Cagliari,0.6,0.0,156,6,ITA
293,Suat Serdar,Verona,0.6,0.0,1661,25,GER
293,Tommaso Pobega,Milan,0.6,0.0,314,11,ITA
301,Dean Huijsen,Roma,0.5,2.0,515,14,ESP
301,Lorenzo De Silvestri,Bologna,0.5,2.0,672,15,ITA
303,Alex Sandro,Juventus,0.5,1.0,716,16,BRA
303,Chaka Traorè,Milan,0.5,1.0,18,2,CIV
303,Danilo Cataldi,Lazio,0.5,1.0,1360,28,ITA
303,Diego Llorente,Roma,0.5,1.0,2173,29,ESP
303,Gaetano Castrovilli,Fiorentina,0.5,1.0,370,6,ITA
303,Manuel Locatelli,Juventus,0.5,1.0,3011,36,ITA
303,Shon Weissman,Salernitana,0.5,1.0,493,11,ISR
310,Alexis Blin,Lecce,0.5,0.0,1632,31,FRA
310,Bruno Amione,Verona,0.5,0.0,580,10,ARG
310,Filippo Ranocchia,Empoli,0.5,0.0,477,9,ITA
310,Giuseppe Pezzella,Empoli,0.5,0.0,1088,19,ITA
310,Hamed Traorè,Napoli,0.5,0.0,383,9,CIV
310,Marin Pongracic,Lecce,0.5,0.0,3220,36,CRO
310,Matteo Ruggeri,Atalanta,0.5,0.0,2466,34,ITA
310,Michel Ndary Adopo,Atalanta,0.5,0.0,101,10,FRA
310,Nehuén Pérez,Udinese,0.5,0.0,3238,36,ARG
310,Pantelis Hatzidiakos,Cagliari,0.5,0.0,863,13,GRE
310,Ruan Tressoldi,Sassuolo,0.5,0.0,1515,26,BRA
310,Stefan Mitrovic,Verona,0.5,0.0,388,10,SRB
322,Federico Di Francesco,Lecce,0.4,1.0,14,2,ITA
322,Federico Fazio,Salernitana,0.4,1.0,1354,17,ARG
322,Jaime Báez,Frosinone,0.4,1.0,502,11,URU
322,Keinan Davis,Udinese,0.4,1.0,180,8,ENG
322,Kingstone Mutandwa,Cagliari,0.4,1.0,34,5,ZAM
322,Kristjan Asllani,Internazionale,0.4,1.0,771,23,ALB
322,Luca Caldirola,Monza,0.4,1.0,2139,29,ITA
322,Raoul Bellanova,Torino,0.4,1.0,3063,37,ITA
322,Renato Sanches,Roma,0.4,1.0,142,7,POR
322,Samuel Vignato,Monza,0.4,1.0,339,10,ITA
322,Yacine Adli,Milan,0.4,1.0,1412,24,FRA
333,Angelino,Roma,0.4,0.0,1148,16,ESP
333,Brenner da Silva,Udinese,0.4,0.0,185,8,BRA
333,Carlos Alcaraz,Juventus,0.4,0.0,377,10,ARG
333,Carlos Augusto,Internazionale,0.4,0.0,1703,37,BRA
333,Emanuele Valeri,Frosinone,0.4,0.0,1178,16,ITA
333,Giorgos Kyriakopoulos,Monza,0.4,0.0,1716,28,GRE
333,Lassana Coulibaly,Salernitana,0.4,0.0,2086,28,MLI
333,Marco Davide Faraoni,Fiorentina,0.4,0.0,995,19,ITA
333,Matias Vina,Sassuolo,0.4,0.0,1019,15,URU
333,Sebastian Walukiewicz,Empoli,0.4,0.0,2054,27,POL
333,Stiven Shpendi,Empoli,0.4,0.0,407,12,ALB
344,Josip Brekalo,Fiorentina,0.3,1.0,654,11,CRO
344,Leonardo Spinazzola,Roma,0.3,1.0,1312,24,ITA
344,Perr Schuurs,Torino,0.3,1.0,771,9,NED
344,Rasmus Kristensen,Roma,0.3,1.0,1743,29,DEN
344,Simone Romagnoli,Frosinone,0.3,1.0,2716,33,ITA
344,Tajon Buchanan,Internazionale,0.3,1.0,151,10,CAN
350,Gvidas Gineitis,Torino,0.3,0.0,532,14,LTU
350,Isak Hien,Atalanta,0.3,0.0,1794,26,SWE
350,Jesper Lindstrøm,Napoli,0.3,0.0,417,22,DEN
350,Luca Lipani,Sassuolo,0.3,0.0,387,8,ITA
350,Memeh Caleb Okoli,Frosinone,0.3,0.0,2915,34,ITA
350,Mergim Vojvoda,Torino,0.3,0.0,1372,28,KVX
350,Moise Kean,Juventus,0.3,0.0,650,19,ITA
350,Nicolo Fagioli,Juventus,0.3,0.0,440,8,ITA
350,Nikola Milenkovic,Fiorentina,0.3,0.0,2506,34,SRB
350,Pasquale Mazzocchi,Napoli,0.3,0.0,1704,28,ITA
350,Riccardo Marchizza,Frosinone,0.3,0.0,1149,13,ITA
361,Jacopo Fazzini,Empoli,0.2,1.0,1226,31,ITA
361,Mitchel Bakker,Atalanta,0.2,1.0,372,14,NED
361,Niccolo Pierozzi,Salernitana,0.2,1.0,873,12,ITA
361,Ricardo Rodriguez,Torino,0.2,1.0,2783,35,SUI
365,Adam Masina,Torino,0.2,0.0,1083,20,MAR
365,Bartosz Bereszynski,Empoli,0.2,0.0,1766,24,POL
365,Elayis Tavsan,Verona,0.2,0.0,47,3,NED
365,Elseid Hysaj,Lazio,0.2,0.0,1194,22,ALB
