Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
1,Victor Osimhen,Napoli,0.7,0.68,1990,25,NGA
2,Davide Frattesi,Internazionale,0.69,0.58,934,32,ITA
3,Dusan Vlahovic,Juventus,0.65,0.62,2317,33,SRB
4,Kaio Jorge,Frosinone,0.61,0.34,805,20,BRA
5,Lautaro Martinez,Internazionale,0.6,0.81,2668,33,ARG
6,Marko Arnautovic,Internazionale,0.58,0.58,779,27,AUT
7,Olivier Giroud,Milan,0.54,0.57,2372,35,FRA
8,Ciro Immobile,Lazio,0.53,0.38,1656,31,ITA
9,Sardar Azmoun,Roma,0.52,0.47,571,23,IRN
10,Luka Jovic,Milan,0.51,0.62,867,23,SRB
11,Arkadiusz Milik,Juventus,0.51,0.4,902,32,POL
12,Nicolás González,Fiorentina,0.49,0.56,1913,29,ARG
13,Paulo Dybala,Roma,0.48,0.59,1973,28,ARG
14,Marcus Thuram,Internazionale,0.48,0.43,2707,35,FRA
15,Ademola Lookman,Atalanta,0.44,0.52,1899,31,NGA
16,Nikola Krstovic,Lecce,0.44,0.26,2390,35,MNE
17,Roberto Piccoli,Lecce,0.42,0.32,1397,37,ITA
18,Aleksey Miranchuk,Atalanta,0.41,0.23,1170,27,RUS
19,Gianluca Scamacca,Atalanta,0.4,0.74,1459,29,ITA
20,Noah Okafor,Milan,0.4,0.62,869,28,SUI
21,Antonio Sanabria,Torino,0.4,0.21,2133,35,PAR
22,Alexis Sánchez,Internazionale,0.39,0.24,751,23,CHI
23,Valentin Castellanos,Lazio,0.39,0.21,1676,35,ARG
24,Leonardo Pavoletti,Cagliari,0.38,0.58,620,19,ITA
25,Riccardo Orsolini,Bologna,0.38,0.5,1792,33,ITA
26,Walid Cheddira,Frosinone,0.38,0.3,2130,36,MAR
27,Giovanni Simeone,Napoli,0.38,0.11,787,28,ARG
28,Gianluca Lapadula,Cagliari,0.37,0.22,1206,23,PER
29,Giovanni Fabbian,Bologna,0.36,0.43,1053,27,ITA
30,Khvicha Kvaratskhelia,Napoli,0.36,0.36,2750,34,GEO
31,Rafael Leao,Milan,0.36,0.32,2523,34,POR
32,Hakan Calhanoglu,Internazionale,0.35,0.45,2576,32,TUR
33,Nicola Sansone,Lecce,0.35,0.24,750,25,ITA
34,Duvan Zapata,Torino,0.34,0.39,3005,37,COL
35,Andrea Belotti,Fiorentina,0.34,0.33,1624,29,ITA
36,Eldor Shomurodov,Cagliari,0.34,0.29,933,22,UZB
36,Giacomo Raspadori,Napoli,0.34,0.29,1572,37,ITA
38,Romelu Lukaku,Roma,0.33,0.44,2644,32,BEL
39,Samuele Mulattieri,Sassuolo,0.33,0.0,441,27,ITA
40,Charles De Ketelaere,Atalanta,0.32,0.44,2042,35,BEL
41,Mario Pasalic,Atalanta,0.32,0.26,2048,34,CRO
42,Moise Kean,Juventus,0.32,0.0,650,19,ITA
43,Matias Soulé,Frosinone,0.3,0.32,3136,36,ARG
44,Matias Vecino,Lazio,0.29,0.48,1135,31,URU
45,Albert Gudmundsson,Genoa,0.29,0.42,3022,35,ISL
46,Joshua Zirkzee,Bologna,0.29,0.36,2771,34,NED
47,Christian Pulisic,Milan,0.28,0.41,2620,36,USA
48,Milan Djuric,Monza,0.28,0.33,2464,37,BIH
49,Isaac Success,Udinese,0.28,0.1,872,27,NGA
50,Cyril Ngonge,Napoli,0.27,0.36,1743,32,BEL
51,Matteo Politano,Napoli,0.27,0.3,2384,37,ITA
52,Lorenzo Lucca,Udinese,0.27,0.28,2600,37,ITA
53,Federico Bonazzoli,Verona,0.27,0.27,1014,24,ITA
54,Federico Chiesa,Juventus,0.26,0.37,2207,33,ITA
54,Nicolas Viola,Cagliari,0.26,0.37,1202,26,ITA
