Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
1,Chukwubuikem Ikwuemesi,Salernitana,3.0,2.0,1058,25,NGA
2,Gaetano Oristanio,Cagliari,3.0,1.0,1102,25,ITA
3,Isaac Success,Udinese,2.8,4.0,872,27,NGA
3,Leonardo Pavoletti,Cagliari,2.8,4.0,620,19,ITA
5,Alessio Zerbin,Monza,2.7,0.0,829,20,ITA
6,Jens-Lys Cajuste,Napoli,2.6,7.0,1007,26,SWE
7,Nicolo Rovella,Lazio,2.6,6.0,1322,23,ITA
8,Matias Vecino,Lazio,2.5,8.0,1135,31,URU
9,Alessandro Buongiorno,Torino,2.5,7.0,2530,29,ITA
10,Karol Linetty,Torino,2.4,12.0,1860,28,POL
11,Hamza Rafia,Lecce,2.3,4.0,1211,28,TUN
12,Daichi Kamada,Lazio,2.3,3.0,1543,29,JPN
13,Demba Seck,Frosinone,2.3,1.0,718,20,SEN
14,Suat Serdar,Verona,2.2,7.0,1661,25,GER
15,Martin Payero,Udinese,2.2,6.0,1801,29,ARG
16,Luca Pellegrini,Lazio,2.2,5.0,781,19,ITA
17,Arkadiusz Milik,Juventus,2.2,2.0,902,32,POL
17,M'Bala Nzola,Fiorentina,2.2,2.0,1545,33,ANG
17,Morten Thorsby,Genoa,2.2,2.0,1143,24,NOR
20,Marvin Cuni,Frosinone,2.2,0.0,522,22,ALB
21,Bryan Cristante,Roma,2.1,8.0,3292,37,ITA
22,Lameck Banda,Lecce,2.1,5.0,1358,21,ZAM
23,Cristian Volpato,Sassuolo,2.1,1.0,632,22,ITA
24,Ondrej Duda,Verona,2.0,10.0,2463,32,SVK
25,Nahitan Nández,Cagliari,2.0,7.0,2351,33,URU
26,Youssef Maleh,Empoli,1.9,11.0,2610,34,MAR
27,Emmanuel Quartsin Gyasi,Empoli,1.9,9.0,1873,33,GHA
27,Warren Bondo,Monza,1.9,9.0,1471,25,FRA
29,Giulio Maggiore,Salernitana,1.9,7.0,1807,27,ITA
30,Jean-Daniel Akpa-Akpro,Monza,1.9,5.0,700,19,CIV
30,Roberto Piccoli,Lecce,1.9,5.0,1397,37,ITA
32,Nicola Sansone,Lecce,1.9,4.0,750,25,ITA
33,Mateusz Legowski,Salernitana,1.9,3.0,1132,29,POL
33,Pietro Pellegri,Torino,1.9,3.0,745,24,ITA
35,Diego Coppola,Verona,1.8,9.0,1636,24,ITA
36,Matteo Cancellieri,Empoli,1.8,7.0,1784,36,ITA
36,Ruslan Malinovsky,Genoa,1.8,7.0,1547,28,UKR
38,Lorenzo Lucca,Udinese,1.8,6.0,2600,37,ITA
39,Teun Koopmeiners,Atalanta,1.8,5.0,2633,34,NED
40,Luca Mazzitelli,Frosinone,1.8,4.0,2221,29,ITA
40,Milan Djuric,Monza,1.8,4.0,2464,37,BIH
