Rank,Player,Team,Goals per 90,Total Goals,Minutes,Matches,Country
1,Lautaro Martinez,Internazionale,0.81,24.0,2668,33,ARG
2,Gianluca Scamacca,Atalanta,0.74,12.0,1459,29,ITA
3,Victor Osimhen,Napoli,0.68,15.0,1990,25,NGA
4,Dusan Vlahovic,Juventus,0.62,16.0,2317,33,SRB
5,Luka Jovic,Milan,0.62,6.0,867,23,SRB
5,Noah Okafor,Milan,0.62,6.0,869,28,SUI
7,Paulo Dybala,Roma,0.59,13.0,1973,28,ARG
8,Davide Frattesi,Internazionale,0.58,6.0,934,32,ITA
9,Marko Arnautovic,Internazionale,0.58,5.0,779,27,AUT
10,Leonardo Pavoletti,Cagliari,0.58,4.0,620,19,ITA
11,Olivier Giroud,Milan,0.57,15.0,2372,35,FRA
12,Nicolás González,Fiorentina,0.56,12.0,1913,29,ARG
13,Ademola Lookman,Atalanta,0.52,11.0,1899,31,NGA
14,Riccardo Orsolini,Bologna,0.5,10.0,1792,33,ITA
15,Gianluca Gaetano,Cagliari,0.5,5.0,905,20,ITA
16,Matias Vecino,Lazio,0.48,6.0,1135,31,URU
17,Sardar Azmoun,Roma,0.47,3.0,571,23,IRN
18,Hakan Calhanoglu,Internazionale,0.45,13.0,2576,32,TUR
19,Romelu Lukaku,Roma,0.44,13.0,2644,32,BEL
20,Charles De Ketelaere,Atalanta,0.44,10.0,2042,35,BEL
21,Marcus Thuram,Internazionale,0.43,13.0,2707,35,FRA
22,Giovanni Fabbian,Bologna,0.43,5.0,1053,27,ITA
23,Albert Gudmundsson,Genoa,0.42,14.0,3022,35,ISL
24,Christian Pulisic,Milan,0.41,12.0,2620,36,USA
24,Teun Koopmeiners,Atalanta,0.41,12.0,2633,34,NED
26,Arkadiusz Milik,Juventus,0.4,4.0,902,32,POL
27,Duvan Zapata,Torino,0.39,13.0,3005,37,COL
28,Lorenzo Pellegrini,Roma,0.39,8.0,1866,29,ITA
29,Ciro Immobile,Lazio,0.38,7.0,1656,31,ITA
30,Federico Chiesa,Juventus,0.37,9.0,2207,33,ITA
31,Nicolas Viola,Cagliari,0.37,5.0,1202,26,ITA
32,Joshua Zirkzee,Bologna,0.36,11.0,2771,34,NED
32,Khvicha Kvaratskhelia,Napoli,0.36,11.0,2750,34,GEO
34,Cyril Ngonge,Napoli,0.36,7.0,1743,32,BEL
35,Kaio Jorge,Frosinone,0.34,3.0,805,20,BRA
36,Milan Djuric,Monza,0.33,9.0,2464,37,BIH
37,Andrea Belotti,Fiorentina,0.33,6.0,1624,29,ITA
38,Andrea Pinamonti,Sassuolo,0.32,11.0,3100,38,ITA
38,Matias Soulé,Frosinone,0.32,11.0,3136,36,ARG
40,Rafael Leao,Milan,0.32,9.0,2523,34,POR
41,Giacomo Bonaventura,Fiorentina,0.32,8.0,2285,31,ITA
42,Lucas Beltran,Fiorentina,0.32,6.0,1694,32,ARG
43,Roberto Piccoli,Lecce,0.32,5.0,1397,37,ITA
44,Caleb Ekuban,Genoa,0.32,4.0,1123,29,GHA
45,Matteo Politano,Napoli,0.3,8.0,2384,37,ITA
46,Walid Cheddira,Frosinone,0.3,7.0,2130,36,MAR
47,Giacomo Raspadori,Napoli,0.29,5.0,1572,37,ITA
48,Eldor Shomurodov,Cagliari,0.29,3.0,933,22,UZB
49,Lorenzo Lucca,Udinese,0.28,8.0,2600,37,ITA
50,Mateo Retegui,Genoa,0.28,7.0,2225,29,ITA
51,Andrea Colpani,Monza,0.27,8.0,2683,38,ITA
52,Mattia Zaccagni,Lazio,0.27,6.0,1971,28,ITA
53,Federico Bonazzoli,Verona,0.27,3.0,1014,24,ITA
54,Nikola Krstovic,Lecce,0.26,7.0,2390,35,MNE
55,Mario Pasalic,Atalanta,0.26,6.0,2048,34,CRO
55,Ruben Loftus-Cheek,Milan,0.26,6.0,2081,29,ENG
57,Florian Thauvin,Udinese,0.26,5.0,1713,29,FRA
58,Lorenzo Colombo,Monza,0.26,4.0,1366,25,ITA
59,Gustav Isaksen,Lazio,0.25,3.0,1069,28,DEN
60,Alexis Sánchez,Internazionale,0.24,2.0,751,23,CHI
60,Nicola Sansone,Lecce,0.24,2.0,750,25,ITA
62,Lazar Samardzic,Udinese,0.23,6.0,2380,34,SRB
63,Ruslan Malinovsky,Genoa,0.23,4.0,1547,28,UKR
64,Aleksey Miranchuk,Atalanta,0.23,3.0,1170,27,RUS
65,Kristian Thorstvedt,Sassuolo,0.22,6.0,2413,34,NOR
66,Denzel Dumfries,Internazionale,0.22,4.0,1640,31,NED
67,Gianluca Lapadula,Cagliari,0.22,3.0,1206,23,PER
68,Antonin Barak,Fiorentina,0.22,2.0,802,21,CZE
69,Antonio Sanabria,Torino,0.21,5.0,2133,35,PAR
69,Federico Dimarco,Internazionale,0.21,5.0,2105,30,ITA
71,Valentin Castellanos,Lazio,0.21,4.0,1676,35,ARG
72,Francesco Caputo,Empoli,0.21,3.0,1274,20,ITA
73,Antonio Candreva,Salernitana,0.2,6.0,2757,34,ITA
73,Lewis Ferguson,Bologna,0.2,6.0,2718,31,SCO
75,Luca Mazzitelli,Frosinone,0.2,5.0,2221,29,ITA
75,Lucas Martinez Quarta,Fiorentina,0.2,5.0,2292,29,ARG
77,Giulio Maggiore,Salernitana,0.2,4.0,1807,27,ITA
77,Matteo Cancellieri,Empoli,0.2,4.0,1784,36,ITA
79,Charalambos Lykogiannis,Bologna,0.2,2.0,899,22,GRE
80,Éderson,Atalanta,0.19,6.0,2873,36,BRA
81,Luis Alberto,Lazio,0.19,5.0,2323,33,ESP
82,Alexis Saelemaekers,Bologna,0.19,4.0,1892,30,BEL
82,Roberto Pereyra,Udinese,0.19,4.0,1862,27,ARG
84,Kenan Yildiz,Juventus,0.19,2.0,945,27,TUR
85,Zito Luvumbo,Cagliari,0.18,4.0,1947,30,ANG
86,Grigoris Kastanos,Salernitana,0.18,3.0,1486,26,CYP
87,Matteo Pessina,Monza,0.17,6.0,3228,37,ITA
88,Adrien Rabiot,Juventus,0.17,5.0,2651,31,FRA
89,Dany Mota,Monza,0.17,4.0,2059,34,POR
89,Fikayo Tomori,Milan,0.17,4.0,2125,26,ENG
89,Loum Tchaouna,Salernitana,0.17,4.0,2099,33,FRA
92,M'Bala Nzola,Fiorentina,0.17,3.0,1545,33,ANG
92,Rolando Mandragora,Fiorentina,0.17,3.0,1584,33,ITA
94,Christian Kouamé,Fiorentina,0.17,2.0,1084,23,CIV
94,Reinier,Frosinone,0.17,2.0,1064,22,BRA
96,Marvin Cuni,Frosinone,0.17,1.0,522,22,ALB
97,Felipe Anderson,Lazio,0.16,5.0,2782,38,BRA
97,Michael Folorunsho,Verona,0.16,5.0,2793,34,ITA
97,Theo Hernández,Milan,0.16,5.0,2794,32,FRA
100,Marco Brescianini,Frosinone,0.16,4.0,2321,36,ITA
