Rank,Player,Team,Interceptions per 90,Total Interceptions,Minutes,Matches,Country
1,Alessandro Buongiorno,Torino,2.5,69.0,2530,29,ITA
2,Alessandro Vogliacco,Genoa,2.3,30.0,1171,20,ITA
3,Giorgio Scalvini,Atalanta,2.1,59.0,2553,33,ITA
4,Adrien Tamèze,Torino,2.0,47.0,2154,29,FRA
5,Alberto Grassi,Empoli,2.0,41.0,1823,27,ITA
6,Riccardo Calafiori,Bologna,1.9,50.0,2338,30,ITA
7,Matteo Lovato,Torino,1.9,31.0,1490,26,ITA
8,Berat Djimsiti,Atalanta,1.8,57.0,2831,37,ALB
9,Milan Badelj,Genoa,1.8,50.0,2555,33,CRO
10,Giangiacomo Magnani,Verona,1.7,45.0,2441,33,ITA
11,Benjamin Pavard,Internazionale,1.7,32.0,1677,23,FRA
12,Juan Cabal,Verona,1.6,26.0,1497,22,COL
13,Nicolo Rovella,Lazio,1.6,23.0,1322,23,ITA
14,Morten Frendrup,Genoa,1.5,51.0,3146,37,DEN
15,Armando Izzo,Monza,1.5,27.0,1653,23,ITA
15,Diego Coppola,Verona,1.5,27.0,1636,24,ITA
17,Paulo Azzi,Cagliari,1.5,16.0,936,25,BRA
18,Jean-Daniel Akpa-Akpro,Monza,1.5,12.0,700,19,CIV
19,Marin Pongracic,Lecce,1.4,51.0,3220,36,CRO
20,Alberto Dossena,Cagliari,1.4,45.0,2979,35,ITA
20,Johan Vásquez,Genoa,1.4,45.0,2851,37,MEX
22,Marten de Roon,Atalanta,1.4,40.0,2599,30,NED
23,Danilo,Juventus,1.4,37.0,2451,29,BRA
24,Joao Ferreira,Udinese,1.4,29.0,1812,35,POR
25,Ruan Tressoldi,Sassuolo,1.4,24.0,1515,26,BRA
25,Stefan de Vrij,Internazionale,1.4,24.0,1578,25,NED
27,Nehuén Pérez,Udinese,1.3,45.0,3238,36,ARG
28,Ylber Ramadani,Lecce,1.3,44.0,2976,34,ALB
29,Éderson,Atalanta,1.3,41.0,2873,36,BRA
30,Pablo Mari,Monza,1.3,37.0,2616,34,ESP
31,Luca Ranieri,Fiorentina,1.3,29.0,2067,26,ITA
32,Filippo Terracciano,Verona,1.3,20.0,1368,21,ITA
32,Yacine Adli,Milan,1.3,20.0,1412,24,FRA
34,Elseid Hysaj,Lazio,1.3,17.0,1194,22,ALB
35,Mateusz Wieteska,Cagliari,1.3,14.0,958,19,POL
36,Kristjan Asllani,Internazionale,1.3,11.0,771,23,ALB
37,Walace,Udinese,1.2,43.0,3243,37,BRA
38,Remo Freuler,Bologna,1.2,36.0,2632,32,SUI
39,Francesco Acerbi,Internazionale,1.2,32.0,2386,29,ITA
40,Roberto Gagliardini,Monza,1.2,31.0,2366,33,ITA
41,Lucas Martinez Quarta,Fiorentina,1.2,30.0,2292,29,ARG
42,Luca Caldirola,Monza,1.2,29.0,2139,29,ITA
42,Thomas Kristensen,Udinese,1.2,29.0,2097,26,DEN
44,Giulio Maggiore,Salernitana,1.2,24.0,1807,27,ITA
45,Jackson Tchatchoua,Verona,1.2,23.0,1725,26,CMR
45,Norbert Gyömbér,Salernitana,1.2,23.0,1762,22,SVK
47,Alexis Blin,Lecce,1.2,22.0,1632,31,FRA
48,Gleison Bremer,Juventus,1.1,40.0,3234,36,BRA
49,Gianluca Mancini,Roma,1.1,36.0,2872,36,ITA
50,Alessio Romagnoli,Lazio,1.1,29.0,2409,29,ITA
51,Fikayo Tomori,Milan,1.1,26.0,2125,26,ENG
52,Lorenzo Pirola,Salernitana,1.1,25.0,1991,27,ITA
53,Karol Linetty,Torino,1.1,23.0,1860,28,POL
54,Bartosz Bereszynski,Empoli,1.1,21.0,1766,24,POL
54,Isak Hien,Atalanta,1.1,21.0,1794,26,SWE
54,Radu Dragusin,Genoa,1.1,21.0,1710,19,ROU
57,Mathias Olivera,Napoli,1.1,20.0,1572,23,URU
57,Suat Serdar,Verona,1.1,20.0,1661,25,GER
59,Pol Lirola,Frosinone,1.1,19.0,1538,25,ESP
60,Danilo Cataldi,Lazio,1.1,17.0,1360,28,ITA
60,Fabiano Parisi,Fiorentina,1.1,17.0,1452,21,ITA
62,Mario Rui,Napoli,1.1,15.0,1205,21,POR
63,Simon Kjær,Milan,1.1,14.0,1171,20,DEN
64,Adam Masina,Torino,1.1,13.0,1083,20,MAR
64,Jordan Zemura,Udinese,1.1,13.0,1033,27,ZIM
66,Valentin Gendrey,Lecce,1.0,35.0,3050,37,FRA
67,Domagoj Bradaric,Salernitana,1.0,32.0,2753,34,CRO
68,Leandro Paredes,Roma,1.0,29.0,2644,34,ARG
68,Simone Romagnoli,Frosinone,1.0,29.0,2716,33,ITA
70,Martin Erlic,Sassuolo,1.0,28.0,2624,32,CRO
71,Nikola Milenkovic,Fiorentina,1.0,27.0,2506,34,SRB
71,Samuele Ricci,Torino,1.0,27.0,2400,32,ITA
73,Hassane Kamara,Udinese,1.0,26.0,2238,35,CIV
73,Ondrej Duda,Verona,1.0,26.0,2463,32,SVK
75,Gian Marco Ferrari,Sassuolo,1.0,25.0,2268,31,ITA
76,Davide Calabria,Milan,1.0,24.0,2191,29,ITA
76,Pawel Dawidowicz,Verona,1.0,24.0,2143,28,POL
78,Ardian Ismajli,Empoli,1.0,23.0,2046,26,ALB
78,Jaka Bijol,Udinese,1.0,23.0,2083,24,SVN
78,Juan Jesus,Napoli,1.0,23.0,2117,24,BRA
81,Mattia Zaccagni,Lazio,1.0,21.0,1971,28,ITA
81,Sandi Lovric,Udinese,1.0,21.0,1988,29,SVN
83,Alessandro Florenzi,Milan,1.0,20.0,1730,31,ITA
83,Lorenzo Pellegrini,Roma,1.0,20.0,1866,29,ITA
83,Mario Gila,Lazio,1.0,20.0,1813,21,ESP
83,Rémi Oudin,Lecce,1.0,20.0,1826,31,FRA
87,Daichi Kamada,Lazio,1.0,18.0,1543,29,JPN
88,Andrea Carboni,Monza,1.0,17.0,1490,21,ITA
89,Matias Vecino,Lazio,1.0,12.0,1135,31,URU
90,Marco Davide Faraoni,Fiorentina,1.0,11.0,995,19,ITA
91,Luca Pellegrini,Lazio,1.0,9.0,781,19,ITA
92,Henrikh Mkhitaryan,Internazionale,0.9,29.0,2803,36,ARM
92,Memeh Caleb Okoli,Frosinone,0.9,29.0,2915,34,ITA
94,Andre-Frank Zambo Anguissa,Napoli,0.9,28.0,2792,34,CMR
95,Enzo Barrenechea,Frosinone,0.9,27.0,2816,36,ARG
95,Felipe Anderson,Lazio,0.9,27.0,2782,38,BRA
97,Antonino Gallo,Lecce,0.9,25.0,2500,35,ITA
97,Matheus Henrique,Sassuolo,0.9,25.0,2501,31,BRA
97,Youssef Maleh,Empoli,0.9,25.0,2610,34,MAR
100,Alessandro Bastoni,Internazionale,0.9,23.0,2283,28,ITA
101,Diego Llorente,Roma,0.9,22.0,2173,29,ESP
101,Mattia Bani,Genoa,0.9,22.0,2309,27,ITA
103,Sead Kolasinac,Atalanta,0.9,21.0,2182,30,BIH
104,Ivan Ilic,Torino,0.9,20.0,2099,31,SRB
105,Liberato Cacace,Empoli,0.9,19.0,1907,31,NZL
106,Leo Østigard,Napoli,0.9,16.0,1621,25,NOR
107,Mergim Vojvoda,Torino,0.9,13.0,1372,28,KVX
108,Ismael Bennacer,Milan,0.9,12.0,1151,20,ALG
108,Jacopo Fazzini,Empoli,0.9,12.0,1226,31,ITA
110,Maxime Lopez,Fiorentina,0.9,9.0,936,21,FRA
111,Sebastiano Luperto,Empoli,0.8,32.0,3407,38,ITA
112,Stanislav Lobotka,Napoli,0.8,30.0,3293,38,SVK
113,Adam Marusic,Lazio,0.8,29.0,3106,37,MNE
114,Matteo Pessina,Monza,0.8,27.0,3228,37,ITA
115,Adrien Rabiot,Juventus,0.8,25.0,2651,31,FRA
116,Hakan Calhanoglu,Internazionale,0.8,24.0,2576,32,TUR
116,Ricardo Rodriguez,Torino,0.8,24.0,2783,35,SUI
118,Matteo Ruggeri,Atalanta,0.8,23.0,2466,34,ITA
118,Stefano Sabelli,Genoa,0.8,23.0,2448,32,ITA
120,Koni De Winter,Genoa,0.8,21.0,2378,29,BEL
120,Kristian Thorstvedt,Sassuolo,0.8,21.0,2413,34,NOR
120,Matteo Guendouzi,Lazio,0.8,21.0,2370,33,FRA
123,Josh Doig,Sassuolo,0.8,20.0,2183,28,SCO
124,Luca Mazzitelli,Frosinone,0.8,19.0,2221,29,ITA
125,Arthur,Fiorentina,0.8,18.0,1993,33,BRA
125,Michael Kayode,Fiorentina,0.8,18.0,2063,26,ITA
125,Samuele Birindelli,Monza,0.8,18.0,2013,35,ITA
128,Carlos Augusto,Internazionale,0.8,16.0,1703,37,BRA
129,Danilo D'Ambrosio,Monza,0.8,14.0,1534,24,ITA
130,Mohamed Kaba,Lecce,0.8,12.0,1382,23,FRA
131,Hamza Rafia,Lecce,0.8,11.0,1211,28,TUN
132,Reinier,Frosinone,0.8,10.0,1064,22,BRA
133,Nicola Zalewski,Roma,0.8,9.0,966,22,POL
134,Kingsley Ehizibue,Udinese,0.8,8.0,955,23,NED
135,Nikola Moro,Bologna,0.8,7.0,835,23,CRO
135,Uros Racic,Sassuolo,0.8,7.0,813,22,SRB
137,Bryan Cristante,Roma,0.7,25.0,3292,37,ITA
137,Manuel Locatelli,Juventus,0.7,25.0,3011,36,ITA
139,Giovanni Di Lorenzo,Napoli,0.7,24.0,3235,36,ITA
140,Theo Hernández,Milan,0.7,23.0,2794,32,FRA
141,Amir Rrahmani,Napoli,0.7,20.0,2602,30,KVX
141,Gabriele Zappa,Cagliari,0.7,20.0,2559,38,ITA
141,Lautaro Martinez,Internazionale,0.7,20.0,2668,33,ARG
144,Nahitan Nández,Cagliari,0.7,19.0,2351,33,URU
145,Stefan Posch,Bologna,0.7,18.0,2418,31,AUT
146,Evan N'Dicka,Roma,0.7,16.0,2170,25,CIV
146,Jeremy Toljan,Sassuolo,0.7,16.0,2085,25,GER
146,Jhon Lucumi,Bologna,0.7,16.0,2214,29,COL
146,Lassana Coulibaly,Salernitana,0.7,16.0,2086,28,MLI
146,Mario Pasalic,Atalanta,0.7,16.0,2048,34,CRO
151,Martin Payero,Udinese,0.7,15.0,1801,29,ARG
151,Matteo Prati,Cagliari,0.7,15.0,1972,26,ITA
151,Sebastian Walukiewicz,Empoli,0.7,15.0,2054,27,POL
154,Giorgos Kyriakopoulos,Monza,0.7,13.0,1716,28,GRE
154,Malick Thiaw,Milan,0.7,13.0,1620,21,GER
154,Stephan El Shaarawy,Roma,0.7,13.0,1741,33,ITA
157,Denzel Dumfries,Internazionale,0.7,12.0,1640,31,NED
157,Nicolo Casale,Lazio,0.7,12.0,1557,20,ITA
159,Gaetano Oristanio,Cagliari,0.7,9.0,1102,25,ITA
160,Emil Holm,Atalanta,0.7,7.0,948,22,SWE
161,Samuel Iling-Junior,Juventus,0.7,6.0,800,24,ENG
162,Federico Baschirotto,Lecce,0.6,23.0,3295,37,ITA
163,Federico Gatti,Juventus,0.6,19.0,2640,32,ITA
164,Tijjani Reijnders,Milan,0.6,18.0,2830,36,NED
164,Weston McKennie,Juventus,0.6,18.0,2599,34,USA
166,Lewis Ferguson,Bologna,0.6,17.0,2718,31,SCO
166,Tommaso Augello,Cagliari,0.6,17.0,2429,32,ITA
168,Matteo Politano,Napoli,0.6,15.0,2384,37,ITA
169,Daniel Boloca,Sassuolo,0.6,14.0,2023,30,ROU
169,Giacomo Bonaventura,Fiorentina,0.6,14.0,2285,31,ITA
169,Pontus Almqvist,Lecce,0.6,14.0,2115,30,SWE
172,Alexis Saelemaekers,Bologna,0.6,13.0,1892,30,BEL
173,Manuel Lazzari,Lazio,0.6,12.0,1675,24,ITA
173,Nicolás González,Fiorentina,0.6,12.0,1913,29,ARG
175,Edoardo Bove,Roma,0.6,11.0,1777,31,ITA
175,Francesco Gelli,Frosinone,0.6,11.0,1558,27,ITA
177,Marcus Holmgren Pedersen,Sassuolo,0.6,10.0,1605,28,NOR
177,Yunus Musah,Milan,0.6,10.0,1468,30,USA
179,Aaron Caricol,Genoa,0.6,9.0,1380,22,ESP
180,Fabio Miretti,Juventus,0.6,7.0,1104,25,ITA
180,Gabriel Strefezza,Lecce,0.6,7.0,1118,19,BRA
180,Giovanni Fabbian,Bologna,0.6,7.0,1053,27,ITA
180,Mateusz Legowski,Salernitana,0.6,7.0,1132,29,POL
184,Marko Arnautovic,Internazionale,0.6,5.0,779,27,AUT
185,Matias Soulé,Frosinone,0.5,18.0,3136,36,ARG
186,Michael Folorunsho,Verona,0.5,17.0,2793,34,ITA
187,Antoine Makoumbou,Cagliari,0.5,16.0,2707,32,CGO
188,Armand Laurienté,Sassuolo,0.5,15.0,2926,37,FRA
188,Sam Beukema,Bologna,0.5,15.0,2549,30,NED
190,Andrea Colpani,Monza,0.5,14.0,2683,38,ITA
190,Cristiano Biraghi,Fiorentina,0.5,14.0,2358,29,ITA
190,Nicolo Cambiaghi,Empoli,0.5,14.0,2562,37,ITA
193,Matteo Darmian,Internazionale,0.5,13.0,2413,33,ITA
194,Michel Aebischer,Bologna,0.5,12.0,2234,36,SUI
194,Victor Kristiansen,Bologna,0.5,12.0,2312,32,DEN
196,Alfred Duncan,Fiorentina,0.5,11.0,1893,30,GHA
197,Dan Ndoye,Bologna,0.5,10.0,1775,32,SUI
197,Festy Ebosele,Udinese,0.5,10.0,1705,31,IRL
199,Alessandro Deiola,Cagliari,0.5,9.0,1608,27,ITA
199,Patrick Ciurria,Monza,0.5,9.0,1602,22,ITA
199,Patrick Dorgu,Lecce,0.5,9.0,1563,32,DEN
199,Rolando Mandragora,Fiorentina,0.5,9.0,1584,33,ITA
203,Grigoris Kastanos,Salernitana,0.5,8.0,1486,26,CYP
203,Ilario Monterisi,Frosinone,0.5,8.0,1467,24,ITA
205,Ibrahim Sulemana,Cagliari,0.5,7.0,1342,21,GHA
205,Kevin Strootman,Genoa,0.5,7.0,1209,27,NED
205,Valentin Carboni,Monza,0.5,7.0,1158,31,ARG
208,Samuel Chukwueze,Milan,0.5,6.0,1012,24,NGA
209,Arkadiusz Milik,Juventus,0.5,5.0,902,32,POL
209,Charalambos Lykogiannis,Bologna,0.5,5.0,899,22,GRE
209,Davide Frattesi,Internazionale,0.5,5.0,934,32,ITA
212,Nicola Sansone,Lecce,0.5,4.0,750,25,ITA
213,Sardar Azmoun,Roma,0.5,3.0,571,23,IRN
214,Raoul Bellanova,Torino,0.4,15.0,3063,37,ITA
215,Khvicha Kvaratskhelia,Napoli,0.4,13.0,2750,34,GEO
216,Andrea Cambiaso,Juventus,0.4,11.0,2387,34,ITA
216,Nikola Vlasic,Torino,0.4,11.0,2614,33,CRO
218,Lazar Samardzic,Udinese,0.4,10.0,2380,34,SRB
218,Marco Brescianini,Frosinone,0.4,10.0,2321,36,ITA
220,Ademola Lookman,Atalanta,0.4,9.0,1899,31,NGA
220,Federico Dimarco,Internazionale,0.4,9.0,2105,30,ITA
220,Filip Kostic,Juventus,0.4,9.0,1831,29,SRB
220,Piotr Zielinski,Napoli,0.4,9.0,1938,28,POL
220,Ruben Loftus-Cheek,Milan,0.4,9.0,2081,29,ENG
225,Rasmus Kristensen,Roma,0.4,8.0,1743,29,DEN
225,Riccardo Orsolini,Bologna,0.4,8.0,1792,33,ITA
225,Valentino Lazaro,Torino,0.4,8.0,1989,35,AUT
228,Nedim Bajrami,Sassuolo,0.4,6.0,1312,28,ALB
228,Warren Bondo,Monza,0.4,6.0,1471,25,FRA
230,Joan Gonzalez,Lecce,0.4,5.0,1283,29,ESP
230,Timothy Weah,Juventus,0.4,5.0,1247,30,USA
