Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
1,Victor Osimhen,Napoli,1.9,45.6,1990,25,NGA
2,Aleksey Miranchuk,Atalanta,1.7,59.5,1170,27,RUS
3,Lautaro Martinez,Internazionale,1.6,43.5,2668,33,ARG
4,Gianluca Scamacca,Atalanta,1.6,43.3,1459,29,ITA
5,Nicolás González,Fiorentina,1.6,40.2,1913,29,ARG
6,Kaio Jorge,Frosinone,1.5,48.1,805,20,BRA
7,Lameck Banda,Lecce,1.5,46.0,1358,21,ZAM
8,Dusan Vlahovic,Juventus,1.5,35.5,2317,33,SRB
9,Khvicha Kvaratskhelia,Napoli,1.5,35.2,2750,34,GEO
10,Noah Okafor,Milan,1.4,63.6,869,28,SUI
11,Olivier Giroud,Milan,1.4,46.8,2372,35,FRA
12,Giacomo Raspadori,Napoli,1.4,39.3,1572,37,ITA
13,Roberto Piccoli,Lecce,1.4,37.9,1397,37,ITA
14,Giovanni Simeone,Napoli,1.4,34.3,787,28,ARG
15,Luka Jovic,Milan,1.3,59.1,867,23,SRB
16,Ciro Immobile,Lazio,1.3,46.9,1656,31,ITA
17,Davide Frattesi,Internazionale,1.3,43.8,934,32,ITA
18,Riccardo Orsolini,Bologna,1.3,43.1,1792,33,ITA
19,Leonardo Pavoletti,Cagliari,1.3,36.0,620,19,ITA
20,Arkadiusz Milik,Juventus,1.3,35.1,902,32,POL
21,Federico Bonazzoli,Verona,1.2,48.1,1014,24,ITA
22,Walid Cheddira,Frosinone,1.2,46.7,2130,36,MAR
23,Duvan Zapata,Torino,1.2,39.4,3005,37,COL
24,Charles De Ketelaere,Atalanta,1.1,55.6,2042,35,BEL
25,Christian Pulisic,Milan,1.1,47.7,2620,36,USA
26,Sardar Azmoun,Roma,1.1,43.8,571,23,IRN
27,Riccardo Sottil,Fiorentina,1.1,38.2,1108,22,ITA
28,Valentin Castellanos,Lazio,1.1,37.0,1676,35,ARG
29,Federico Chiesa,Juventus,1.1,36.0,2207,33,ITA
30,Ademola Lookman,Atalanta,1.1,35.8,1899,31,NGA
31,Marko Arnautovic,Internazionale,1.0,52.9,779,27,AUT
32,Caleb Ekuban,Genoa,1.0,44.4,1123,29,GHA
33,Gianluca Gaetano,Cagliari,1.0,43.5,905,20,ITA
34,Romelu Lukaku,Roma,1.0,43.1,2644,32,BEL
35,Lorenzo Pellegrini,Roma,1.0,42.6,1866,29,ITA
36,Paulo Dybala,Roma,1.0,39.0,1973,28,ARG
37,Samuele Mulattieri,Sassuolo,1.0,38.5,441,27,ITA
38,Marcus Thuram,Internazionale,1.0,37.7,2707,35,FRA
39,Joshua Zirkzee,Bologna,1.0,36.0,2771,34,NED
40,Cyril Ngonge,Napoli,1.0,32.2,1743,32,BEL
41,Cristian Volpato,Sassuolo,0.9,50.0,632,22,ITA
42,Lorenzo Lucca,Udinese,0.9,42.6,2600,37,ITA
43,Jonathan Ikoné,Fiorentina,0.9,41.0,1685,28,FRA
44,Antonin Barak,Fiorentina,0.9,40.0,802,21,CZE
45,Mateo Retegui,Genoa,0.9,36.5,2225,29,ITA
46,Armand Laurienté,Sassuolo,0.9,35.7,2926,37,FRA
46,Giovanni Fabbian,Bologna,0.9,35.7,1053,27,ITA
46,Rafael Leao,Milan,0.9,35.7,2523,34,POR
49,Andrea Belotti,Fiorentina,0.9,35.4,1624,29,ITA
50,Matias Vecino,Lazio,0.9,33.3,1135,31,URU
51,Nicolas Viola,Cagliari,0.9,31.6,1202,26,ITA
52,Mario Pasalic,Atalanta,0.8,45.0,2048,34,CRO
53,Milan Djuric,Monza,0.8,41.2,2464,37,BIH
54,M'Bala Nzola,Fiorentina,0.8,40.6,1545,33,ANG
55,Gustav Isaksen,Lazio,0.8,39.1,1069,28,DEN
56,Dan Ndoye,Bologna,0.8,39.0,1775,32,SUI
57,Federico Dimarco,Internazionale,0.8,37.3,2105,30,ITA
58,Hakan Calhanoglu,Internazionale,0.8,37.1,2576,32,TUR
59,Ruslan Malinovsky,Genoa,0.8,33.3,1547,28,UKR
60,Gianluca Lapadula,Cagliari,0.8,31.4,1206,23,PER
61,Florian Thauvin,Udinese,0.8,31.3,1713,29,FRA
62,Emil Holm,Atalanta,0.8,30.8,948,22,SWE
63,Nikola Krstovic,Lecce,0.8,23.9,2390,35,MNE
64,Francesco Caputo,Empoli,0.7,43.5,1274,20,ITA
65,Albert Gudmundsson,Genoa,0.7,42.1,3022,35,ISL
66,Teun Koopmeiners,Atalanta,0.7,37.0,2633,34,NED
67,Kenan Yildiz,Juventus,0.7,36.8,945,27,TUR
68,Luca Mazzitelli,Frosinone,0.7,36.7,2221,29,ITA
69,Chukwubuikem Ikwuemesi,Salernitana,0.7,36.4,1058,25,NGA
70,Alexis Sánchez,Internazionale,0.7,33.3,751,23,CHI
70,Eldor Shomurodov,Cagliari,0.7,33.3,933,22,UZB
70,Lewis Ferguson,Bologna,0.7,33.3,2718,31,SCO
73,Matteo Cancellieri,Empoli,0.7,32.5,1784,36,ITA
74,Antonio Candreva,Salernitana,0.7,32.3,2757,34,ITA
75,Zito Luvumbo,Cagliari,0.7,31.4,1947,30,ANG
76,Tomas Suslov,Verona,0.7,30.8,2094,32,SVK
77,Antonio Sanabria,Torino,0.7,29.6,2133,35,PAR
78,Matias Soulé,Frosinone,0.7,28.9,3136,36,ARG
79,Samuel Chukwueze,Milan,0.7,28.6,1012,24,NGA
80,Lorenzo Colombo,Monza,0.7,27.0,1366,25,ITA
81,Matteo Politano,Napoli,0.7,25.3,2384,37,ITA
82,Morten Thorsby,Genoa,0.6,53.8,1143,24,NOR
83,Adrien Rabiot,Juventus,0.6,44.7,2651,31,FRA
84,Darko Lazovic,Verona,0.6,41.2,1942,32,SRB
85,Pontus Almqvist,Lecce,0.6,37.5,2115,30,SWE
86,Rolando Mandragora,Fiorentina,0.6,36.7,1584,33,ITA
87,Kristian Thorstvedt,Sassuolo,0.6,35.7,2413,34,NOR
88,Kacper Urbanski,Bologna,0.6,35.3,921,22,POL
89,Ruben Loftus-Cheek,Milan,0.6,35.0,2081,29,ENG
90,Loum Tchaouna,Salernitana,0.6,34.1,2099,33,FRA
