Rank,Player,Team,Blocks per 90,Total Blocks,Minutes,Matches,Country
1,Sebastian Walukiewicz,Empoli,1.4,31.0,2054,27,POL
2,Lorenzo Pirola,Salernitana,1.4,30.0,1991,27,ITA
3,Simone Romagnoli,Frosinone,1.2,36.0,2716,33,ITA
4,Mattia Bani,Genoa,1.2,31.0,2309,27,ITA
5,Norbert Gyömbér,Salernitana,1.2,23.0,1762,22,SVK
6,Simon Kjær,Milan,1.2,16.0,1171,20,DEN
7,Diego Llorente,Roma,1.1,27.0,2173,29,ESP
8,Ilario Monterisi,Frosinone,1.1,18.0,1467,24,ITA
9,Berat Djimsiti,Atalanta,1.0,33.0,2831,37,ALB
10,Memeh Caleb Okoli,Frosinone,1.0,32.0,2915,34,ITA
11,Giangiacomo Magnani,Verona,1.0,28.0,2441,33,ITA
12,Fikayo Tomori,Milan,1.0,23.0,2125,26,ENG
13,Sebastiano Luperto,Empoli,0.9,35.0,3407,38,ITA
14,Pablo Mari,Monza,0.9,25.0,2616,34,ESP
15,Jaka Bijol,Udinese,0.9,21.0,2083,24,SVN
16,Thomas Kristensen,Udinese,0.9,20.0,2097,26,DEN
17,Armando Izzo,Monza,0.9,16.0,1653,23,ITA
17,Nicolo Casale,Lazio,0.9,16.0,1557,20,ITA
19,Ruan Tressoldi,Sassuolo,0.9,15.0,1515,26,BRA
20,Alberto Dossena,Cagliari,0.8,27.0,2979,35,ITA
20,Gleison Bremer,Juventus,0.8,27.0,3234,36,BRA
22,Gianluca Mancini,Roma,0.8,26.0,2872,36,ITA
22,Johan Vásquez,Genoa,0.8,26.0,2851,37,MEX
24,Benjamin Pavard,Internazionale,0.8,15.0,1677,23,FRA
25,Andrea Carboni,Monza,0.8,13.0,1490,21,ITA
25,Danilo D'Ambrosio,Monza,0.8,13.0,1534,24,ITA
27,Alessandro Vogliacco,Genoa,0.8,10.0,1171,20,ITA
28,Uros Racic,Sassuolo,0.8,7.0,813,22,SRB
29,Federico Baschirotto,Lecce,0.7,26.0,3295,37,ITA
29,Marin Pongracic,Lecce,0.7,26.0,3220,36,CRO
29,Nehuén Pérez,Udinese,0.7,26.0,3238,36,ARG
32,Sam Beukema,Bologna,0.7,21.0,2549,30,NED
33,Ardian Ismajli,Empoli,0.7,17.0,2046,26,ALB
33,Gian Marco Ferrari,Sassuolo,0.7,17.0,2268,31,ITA
33,Jhon Lucumi,Bologna,0.7,17.0,2214,29,COL
33,Luca Caldirola,Monza,0.7,17.0,2139,29,ITA
37,Evan N'Dicka,Roma,0.7,16.0,2170,25,CIV
