Rank,Player,Team,Penalties Conceded,Total Matches,Minutes,Matches,Country
1,Fabiano Parisi,Fiorentina,3.0,21.0,1452,21,ITA
2,Matteo Lovato,Torino,3.0,26.0,1490,26,ITA
3,Festy Ebosele,Udinese,3.0,31.0,1705,31,IRL
3,Gian Marco Ferrari,Sassuolo,3.0,31.0,2268,31,ITA
5,Oliver Christensen,Fiorentina,2.0,4.0,360,4,DEN
6,Mehdi Bourabia,Frosinone,2.0,10.0,197,10,MAR
7,Christian Kabasele,Udinese,2.0,13.0,861,13,BEL
8,Alessandro Di Pardo,Cagliari,2.0,15.0,352,15,ITA
9,Lorenzo Pirola,Salernitana,2.0,27.0,1991,27,ITA
9,Sebastian Walukiewicz,Empoli,2.0,27.0,2054,27,POL
11,Josh Doig,Sassuolo,2.0,28.0,2183,28,SCO
12,Riccardo Calafiori,Bologna,2.0,30.0,2338,30,ITA
12,Sam Beukema,Bologna,2.0,30.0,2549,30,NED
14,Martin Erlic,Sassuolo,2.0,32.0,2624,32,CRO
15,Giorgio Scalvini,Atalanta,2.0,33.0,2553,33,ITA
15,Matteo Darmian,Internazionale,2.0,33.0,2413,33,ITA
15,Pietro Terracciano,Fiorentina,2.0,33.0,2970,33,ITA
18,Memeh Caleb Okoli,Frosinone,2.0,34.0,2915,34,ITA
18,Youssef Maleh,Empoli,2.0,34.0,2610,34,MAR
20,Federico Baschirotto,Lecce,2.0,37.0,3295,37,ITA
21,Joseph Boende,Juventus,1.0,2.0,22,2,BEL
22,Mateus Lusuardi,Frosinone,1.0,4.0,220,4,BRA
23,Marash Kumbulla,Sassuolo,1.0,7.0,358,7,ALB
23,Renato Sanches,Roma,1.0,7.0,142,7,POR
25,Michele Cerofolini,Frosinone,1.0,8.0,675,8,ITA
26,Perr Schuurs,Torino,1.0,9.0,771,9,NED
27,Juan Musso,Atalanta,1.0,11.0,990,11,ARG
27,Marco Pellegrino,Salernitana,1.0,11.0,611,11,ARG
29,Jovane Cabral,Salernitana,1.0,12.0,680,12,CPV
29,Saba Sazonov,Torino,1.0,12.0,348,12,GEO
31,Lorenzo Venuti,Lecce,1.0,14.0,357,14,ITA
32,Mattia Viti,Sassuolo,1.0,15.0,985,15,ITA
33,Federico Fazio,Salernitana,1.0,17.0,1354,17,ARG
34,Andrea Petagna,Cagliari,1.0,18.0,996,18,ITA
34,Junior Sambia,Salernitana,1.0,18.0,1031,18,FRA
34,Yerry Mina,Cagliari,1.0,18.0,1259,18,COL
37,Giuseppe Pezzella,Empoli,1.0,19.0,1088,19,ITA
37,Jean-Daniel Akpa-Akpro,Monza,1.0,19.0,700,19,CIV
37,Marco Davide Faraoni,Fiorentina,1.0,19.0,995,19,ITA
40,Adam Masina,Torino,1.0,20.0,1083,20,MAR
40,Nicolo Casale,Lazio,1.0,20.0,1557,20,ITA
42,Filippo Terracciano,Milan,1.0,21.0,1368,21,ITA
42,Maduka Okoye,Udinese,1.0,21.0,1890,21,NGA
42,Malick Thiaw,Milan,1.0,21.0,1620,21,GER
42,Mario Rui,Napoli,1.0,21.0,1205,21,POR
46,Norbert Gyömbér,Salernitana,1.0,22.0,1762,22,SVK
46,Patrick Ciurria,Monza,1.0,22.0,1602,22,ITA
48,Hans Hateboer,Atalanta,1.0,23.0,1104,23,NED
48,Rui Patricio,Roma,1.0,23.0,2070,23,POR
50,Danilo D'Ambrosio,Monza,1.0,24.0,1534,24,ITA
50,Ilario Monterisi,Frosinone,1.0,24.0,1467,24,ITA
50,Juan Jesus,Napoli,1.0,24.0,2117,24,BRA
50,Yacine Adli,Milan,1.0,24.0,1412,24,FRA
54,Jeremy Toljan,Sassuolo,1.0,25.0,2085,25,GER
54,Warren Bondo,Monza,1.0,25.0,1471,25,FRA
56,Ardian Ismajli,Empoli,1.0,26.0,2046,26,ALB
56,Fikayo Tomori,Milan,1.0,26.0,2125,26,ENG
56,Jackson Tchatchoua,Verona,1.0,26.0,1725,26,CMR
56,Jens-Lys Cajuste,Napoli,1.0,26.0,1007,26,SWE
56,Nicolas Viola,Cagliari,1.0,26.0,1202,26,ITA
56,Ruan Tressoldi,Sassuolo,1.0,26.0,1515,26,BRA
62,Giulio Maggiore,Salernitana,1.0,27.0,1807,27,ITA
62,Marco Carnesecchi,Atalanta,1.0,27.0,2426,27,ITA
64,Giorgos Kyriakopoulos,Monza,1.0,28.0,1716,28,GRE
65,Adrien Tamèze,Torino,1.0,29.0,2154,29,FRA
65,Alessandro Buongiorno,Torino,1.0,29.0,2530,29,ITA
65,Davide Calabria,Milan,1.0,29.0,2191,29,ITA
65,Diego Llorente,Roma,1.0,29.0,2173,29,ESP
65,Koni De Winter,Genoa,1.0,29.0,2378,29,BEL
65,Luca Caldirola,Monza,1.0,29.0,2139,29,ITA
71,Amir Rrahmani,Napoli,1.0,30.0,2602,30,KVX
71,Daniel Boloca,Sassuolo,1.0,30.0,2023,30,ROU
71,Marten de Roon,Atalanta,1.0,30.0,2599,30,NED
74,Alexis Blin,Lecce,1.0,31.0,1632,31,FRA
74,Ivan Ilic,Torino,1.0,31.0,2099,31,SRB
74,Jacopo Fazzini,Empoli,1.0,31.0,1226,31,ITA
74,Lewis Ferguson,Bologna,1.0,31.0,2718,31,SCO
78,Remo Freuler,Bologna,1.0,32.0,2632,32,SUI
78,Theo Hernández,Milan,1.0,32.0,2794,32,FRA
78,Victor Kristiansen,Bologna,1.0,32.0,2312,32,DEN
81,Lautaro Martinez,Internazionale,1.0,33.0,2668,33,ARG
81,Matteo Guendouzi,Lazio,1.0,33.0,2370,33,FRA
81,Roberto Gagliardini,Monza,1.0,33.0,2366,33,ITA
84,Lazar Samardzic,Udinese,1.0,34.0,2380,34,SRB
84,Leandro Paredes,Roma,1.0,34.0,2644,34,ARG
84,Matteo Ruggeri,Atalanta,1.0,34.0,2466,34,ITA
84,Nikola Milenkovic,Fiorentina,1.0,34.0,2506,34,SRB
84,Pablo Mari,Monza,1.0,34.0,2616,34,ESP
84,Rafael Leao,Milan,1.0,34.0,2523,34,POR
84,Teun Koopmeiners,Atalanta,1.0,34.0,2633,34,NED
84,Yann Sommer,Internazionale,1.0,34.0,3060,34,SUI
84,Ylber Ramadani,Lecce,1.0,34.0,2976,34,ALB
93,Joao Ferreira,Udinese,1.0,35.0,1812,35,POR
93,Olivier Giroud,Milan,1.0,35.0,2372,35,FRA
93,Wojciech Szczesny,Juventus,1.0,35.0,3150,35,POL
96,Gleison Bremer,Juventus,1.0,36.0,3234,36,BRA
96,Josep Martinez,Genoa,1.0,36.0,3239,36,ESP
96,Matias Soulé,Frosinone,1.0,36.0,3136,36,ARG
96,Matteo Cancellieri,Empoli,1.0,36.0,1784,36,ITA
96,Nehuén Pérez,Udinese,1.0,36.0,3238,36,ARG
101,Adam Marusic,Lazio,1.0,37.0,3106,37,MNE
101,Berat Djimsiti,Atalanta,1.0,37.0,2831,37,ALB
101,Bryan Cristante,Roma,1.0,37.0,3292,37,ITA
101,Johan Vásquez,Genoa,1.0,37.0,2851,37,MEX
101,Matteo Pessina,Monza,1.0,37.0,3228,37,ITA
101,Morten Frendrup,Genoa,1.0,37.0,3146,37,DEN
101,Valentin Gendrey,Lecce,1.0,37.0,3050,37,FRA
