Rank,Player,Team,Penalties Won,Fouls Won per 90,Minutes,Matches,Country
1,Marcus Thuram,Internazionale,5.0,1.5,2707,35,FRA
2,Victor Osimhen,Napoli,3.0,1.4,1990,25,NGA
3,Nicolo Cambiaghi,Empoli,2.0,2.7,2562,37,ITA
4,Andrea Belotti,Fiorentina,2.0,2.6,1624,29,ITA
4,Khvicha Kvaratskhelia,Napoli,2.0,2.6,2750,34,GEO
6,Marvin Cuni,Frosinone,2.0,2.1,522,22,ALB
7,Emil Holm,Atalanta,2.0,2.0,948,22,SWE
7,Lautaro Martinez,Internazionale,2.0,2.0,2668,33,ARG
9,Rafael Leao,Milan,2.0,1.9,2523,34,POR
10,Walid Cheddira,Frosinone,2.0,1.8,2130,36,MAR
11,Ciro Immobile,Lazio,2.0,1.7,1656,31,ITA
11,Sardar Azmoun,Roma,2.0,1.7,571,23,IRN
13,Pontus Almqvist,Lecce,2.0,1.5,2115,30,SWE
14,Dany Mota,Monza,2.0,1.2,2059,34,POR
15,Tijjani Noslin,Verona,2.0,0.7,1346,17,NED
16,Mattia Zaccagni,Lazio,1.0,3.6,1971,28,ITA
17,Giuseppe Caso,Frosinone,1.0,3.1,409,14,ITA
17,Zito Luvumbo,Cagliari,1.0,3.1,1947,30,ANG
19,Alexis Saelemaekers,Bologna,1.0,2.8,1892,30,BEL
20,Jaime Báez,Frosinone,1.0,2.7,502,11,URU
21,Matteo Cancellieri,Empoli,1.0,2.6,1784,36,ITA
22,Festy Ebosele,Udinese,1.0,2.4,1705,31,IRL
22,Lewis Ferguson,Bologna,1.0,2.4,2718,31,SCO
22,Michael Folorunsho,Verona,1.0,2.4,2793,34,ITA
25,Caleb Ekuban,Genoa,1.0,2.2,1123,29,GHA
26,Arthur,Fiorentina,1.0,2.1,1993,33,BRA
27,Jacopo Fazzini,Empoli,1.0,2.0,1226,31,ITA
27,Nikola Krstovic,Lecce,1.0,2.0,2390,35,MNE
29,El Bilal Touré,Atalanta,1.0,1.9,386,11,MLI
29,Ruben Loftus-Cheek,Milan,1.0,1.9,2081,29,ENG
29,Tammy Abraham,Roma,1.0,1.9,240,8,ENG
32,Domenico Berardi,Sassuolo,1.0,1.8,1438,17,ITA
33,Armand Laurienté,Sassuolo,1.0,1.7,2926,37,FRA
33,Lorenzo Pellegrini,Roma,1.0,1.7,1866,29,ITA
33,Samuele Ricci,Torino,1.0,1.7,2400,32,ITA
36,Ademola Lookman,Atalanta,1.0,1.6,1899,31,NGA
36,Federico Chiesa,Juventus,1.0,1.6,2207,33,ITA
36,Theo Hernández,Milan,1.0,1.6,2794,32,FRA
39,Andrea Pinamonti,Sassuolo,1.0,1.5,3100,38,ITA
39,Christian Pulisic,Milan,1.0,1.5,2620,36,USA
39,Davide Frattesi,Internazionale,1.0,1.5,934,32,ITA
39,Giovanni Simeone,Napoli,1.0,1.5,787,28,ARG
39,Lucas Beltran,Fiorentina,1.0,1.5,1694,32,ARG
39,Roberto Pereyra,Udinese,1.0,1.5,1862,27,ARG
45,Albert Gudmundsson,Genoa,1.0,1.4,3022,35,ISL
45,Alessandro Buongiorno,Torino,1.0,1.4,2530,29,ITA
45,Martin Payero,Udinese,1.0,1.4,1801,29,ARG
45,Matteo Politano,Napoli,1.0,1.4,2384,37,ITA
49,Gianluca Gaetano,Napoli,1.0,1.3,905,20,ITA
49,Gianluca Lapadula,Cagliari,1.0,1.3,1206,23,PER
51,Giangiacomo Magnani,Verona,1.0,1.1,2441,33,ITA
52,Ilario Monterisi,Frosinone,1.0,1.0,1467,24,ITA
52,Leonardo Pavoletti,Cagliari,1.0,1.0,620,19,ITA
52,Niccolo Pierozzi,Salernitana,1.0,1.0,873,12,ITA
52,Samuele Mulattieri,Sassuolo,1.0,1.0,441,27,ITA
56,Henrikh Mkhitaryan,Internazionale,1.0,0.9,2803,36,ARM
57,Andrea Cambiaso,Juventus,1.0,0.8,2387,34,ITA
57,Jonathan Ikoné,Fiorentina,1.0,0.8,1685,28,FRA
57,Nicolo Barella,Internazionale,1.0,0.8,2860,37,ITA
60,Rick Karsdorp,Roma,1.0,0.7,1214,18,NED
60,Ruan Tressoldi,Sassuolo,1.0,0.7,1515,26,BRA
62,Emanuele Valeri,Frosinone,1.0,0.6,1178,16,ITA
63,Federico Gatti,Juventus,1.0,0.5,2640,32,ITA
63,Joao Ferreira,Udinese,1.0,0.5,1812,35,POR
65,Matteo Darmian,Internazionale,1.0,0.4,2413,33,ITA
65,M'Bala Nzola,Fiorentina,1.0,0.4,1545,33,ANG
65,Rasmus Kristensen,Roma,1.0,0.4,1743,29,DEN
68,Alessandro Vogliacco,Genoa,1.0,0.3,1171,20,ITA
68,Dean Huijsen,Roma,1.0,0.3,515,14,ESP
68,Jeremy Toljan,Sassuolo,1.0,0.3,2085,25,GER
68,Victor Kristiansen,Bologna,1.0,0.3,2312,32,DEN
72,Simon Kjær,Milan,1.0,0.2,1171,20,DEN
73,Wladimiro Falcone,Lecce,1.0,0.1,3420,38,ITA
