Rank,Player,Team,FotMob Rating,Player of the Match Awards,Minutes,Matches,Country
1,Hakan Calhanoglu,Internazionale,7.88,11.0,2576,32,TUR
2,Lautaro Martinez,Internazionale,7.69,9.0,2668,33,ARG
3,Khvicha Kvaratskhelia,Napoli,7.58,6.0,2750,34,GEO
4,Paulo Dybala,Roma,7.51,6.0,1973,28,ARG
5,Riccardo Calafiori,Bologna,7.49,2.0,2338,30,ITA
6,Marcus Thuram,Internazionale,7.48,2.0,2707,35,FRA
7,Rafael Leao,Milan,7.45,4.0,2523,34,POR
8,Henrikh Mkhitaryan,Internazionale,7.43,1.0,2803,36,ARM
9,Christian Pulisic,Milan,7.42,1.0,2620,36,USA
10,Federico Dimarco,Internazionale,7.41,0.0,2105,30,ITA
11,Danilo,Juventus,7.4,3.0,2451,29,BRA
12,Alessandro Bastoni,Internazionale,7.38,0.0,2283,28,ITA
13,Adrien Rabiot,Juventus,7.38,4.0,2651,31,FRA
14,Albert Gudmundsson,Genoa,7.38,5.0,3022,35,ISL
15,Matias Soulé,Frosinone,7.36,2.0,3136,36,ARG
16,Lucas Martinez Quarta,Fiorentina,7.32,1.0,2292,29,ARG
17,Lewis Ferguson,Bologna,7.31,3.0,2718,31,SCO
18,Benjamin Pavard,Internazionale,7.3,1.0,1677,23,FRA
19,Theo Hernández,Milan,7.3,5.0,2794,32,FRA
20,Manuel Locatelli,Juventus,7.3,1.0,3011,36,ITA
21,Marten de Roon,Atalanta,7.29,2.0,2599,30,NED
22,Luis Alberto,Lazio,7.29,3.0,2323,33,ESP
23,Gleison Bremer,Juventus,7.28,3.0,3234,36,BRA
24,Leandro Paredes,Roma,7.27,0.0,2644,34,ARG
25,Teun Koopmeiners,Atalanta,7.27,1.0,2633,34,NED
26,Mattia Zaccagni,Lazio,7.26,2.0,1971,28,ITA
27,Alessandro Buongiorno,Torino,7.25,2.0,2530,29,ITA
28,Ademola Lookman,Atalanta,7.23,4.0,1899,31,NGA
29,Nicolás González,Fiorentina,7.23,2.0,1913,29,ARG
30,Nicolo Barella,Internazionale,7.22,2.0,2860,37,ITA
31,Éderson,Atalanta,7.22,1.0,2873,36,BRA
32,Bryan Cristante,Roma,7.21,3.0,3292,37,ITA
33,Morten Frendrup,Genoa,7.21,1.0,3146,37,DEN
34,Victor Osimhen,Napoli,7.2,3.0,1990,25,NGA
35,Francesco Acerbi,Internazionale,7.2,0.0,2386,29,ITA
36,Yacine Adli,Milan,7.19,2.0,1412,24,FRA
37,Giacomo Bonaventura,Fiorentina,7.19,3.0,2285,31,ITA
38,Joshua Zirkzee,Bologna,7.18,1.0,2771,34,NED
39,Stanislav Lobotka,Napoli,7.17,0.0,3293,38,SVK
40,Michael Kayode,Fiorentina,7.17,1.0,2063,26,ITA
41,Tijjani Reijnders,Milan,7.17,4.0,2830,36,NED
42,Ruben Loftus-Cheek,Milan,7.16,2.0,2081,29,ENG
43,Giorgio Scalvini,Atalanta,7.16,0.0,2553,33,ITA
43,Remo Freuler,Bologna,7.16,0.0,2632,32,SUI
45,Lorenzo Pellegrini,Roma,7.16,2.0,1866,29,ITA
45,Matteo Politano,Napoli,7.16,2.0,2384,37,ITA
47,Ivan Ilic,Torino,7.15,4.0,2099,31,SRB
48,Felipe Anderson,Lazio,7.14,4.0,2782,38,BRA
49,Matteo Pessina,Monza,7.14,2.0,3228,37,ITA
50,Alexis Saelemaekers,Bologna,7.14,3.0,1892,30,BEL
51,Arthur,Fiorentina,7.13,1.0,1993,33,BRA
52,Charles De Ketelaere,Atalanta,7.12,3.0,2042,35,BEL
53,Lazar Samardzic,Udinese,7.11,3.0,2380,34,SRB
54,Fabiano Parisi,Fiorentina,7.11,1.0,1452,21,ITA
55,Olivier Giroud,Milan,7.1,4.0,2372,35,FRA
56,Stefan Posch,Bologna,7.1,2.0,2418,31,AUT
57,Mario Pasalic,Atalanta,7.1,4.0,2048,34,CRO
58,Amir Rrahmani,Napoli,7.1,2.0,2602,30,KVX
58,Weston McKennie,Juventus,7.1,2.0,2599,34,USA
60,Andre-Frank Zambo Anguissa,Napoli,7.09,0.0,2792,34,CMR
61,Milan Badelj,Genoa,7.09,1.0,2555,33,CRO
62,Piotr Zielinski,Napoli,7.09,2.0,1938,28,POL
63,Aleksey Miranchuk,Atalanta,7.08,2.0,1170,27,RUS
64,Walace,Udinese,7.08,0.0,3243,37,BRA
65,Giovanni Di Lorenzo,Napoli,7.08,4.0,3235,36,ITA
66,Alfred Duncan,Fiorentina,7.07,0.0,1893,30,GHA
67,Jhon Lucumi,Bologna,7.07,1.0,2214,29,COL
68,Mathias Olivera,Napoli,7.06,1.0,1572,23,URU
69,Stefan de Vrij,Internazionale,7.06,0.0,1578,25,NED
70,Raoul Bellanova,Torino,7.06,1.0,3063,37,ITA
71,Federico Chiesa,Juventus,7.06,2.0,2207,33,ITA
72,Antonio Candreva,Salernitana,7.05,4.0,2757,34,ITA
73,Yann Sommer,Internazionale,7.04,0.0,3060,34,SUI
74,Cristiano Biraghi,Fiorentina,7.03,1.0,2358,29,ITA
74,Mario Gila,Lazio,7.03,1.0,1813,21,ESP
76,Riccardo Orsolini,Bologna,7.02,3.0,1792,33,ITA
77,Ismael Bennacer,Milan,7.02,1.0,1151,20,ALG
77,Ondrej Duda,Verona,7.02,1.0,2463,32,SVK
79,Matteo Ruggeri,Atalanta,7.02,0.0,2466,34,ITA
80,Alessandro Florenzi,Milan,7.02,2.0,1730,31,ITA
81,Dusan Vlahovic,Juventus,7.0,6.0,2317,33,SRB
82,Nicolo Rovella,Lazio,7.0,0.0,1322,23,ITA
83,Fikayo Tomori,Milan,7.0,1.0,2125,26,ENG
84,Alberto Dossena,Cagliari,7.0,3.0,2979,35,ITA
85,Andrea Cambiaso,Juventus,7.0,1.0,2387,34,ITA
86,Berat Djimsiti,Atalanta,6.99,0.0,2831,37,ALB
87,Vanja Milinkovic-Savic,Torino,6.99,6.0,3240,36,SRB
88,Roberto Gagliardini,Monza,6.98,2.0,2366,33,ITA
89,Duvan Zapata,Torino,6.98,3.0,3005,37,COL
90,Elia Caprile,Empoli,6.97,3.0,2070,23,ITA
90,Romelu Lukaku,Roma,6.97,3.0,2644,32,BEL
92,Nehuén Pérez,Udinese,6.96,0.0,3238,36,ARG
92,Sead Kolasinac,Atalanta,6.96,0.0,2182,30,BIH
94,Gianluca Scamacca,Atalanta,6.95,3.0,1459,29,ITA
95,Michele Di Gregorio,Monza,6.95,5.0,2874,33,ITA
96,Luca Mazzitelli,Frosinone,6.95,1.0,2221,29,ITA
97,Federico Gatti,Juventus,6.95,2.0,2640,32,ITA
98,Armand Laurienté,Sassuolo,6.95,3.0,2926,37,FRA
99,Marco Carnesecchi,Atalanta,6.94,2.0,2426,27,ITA
100,Wojciech Szczesny,Juventus,6.94,1.0,3150,35,POL
101,Giangiacomo Magnani,Verona,6.94,3.0,2441,33,ITA
102,Nikola Milenkovic,Fiorentina,6.93,1.0,2506,34,SRB
103,Evan N'Dicka,Roma,6.93,0.0,2170,25,CIV
104,Johan Vásquez,Genoa,6.92,0.0,2851,37,MEX
104,Alessio Romagnoli,Lazio,6.92,0.0,2409,29,ITA
106,Ylber Ramadani,Lecce,6.92,1.0,2976,34,ALB
107,Andrea Colpani,Monza,6.92,3.0,2683,38,ITA
108,Denzel Dumfries,Internazionale,6.91,0.0,1640,31,NED
109,Enzo Barrenechea,Frosinone,6.91,2.0,2816,36,ARG
110,Samuele Ricci,Torino,6.9,1.0,2400,32,ITA
110,Andrea Carboni,Monza,6.9,1.0,1490,21,ITA
112,Davide Calabria,Milan,6.9,0.0,2191,29,ITA
113,Matteo Darmian,Internazionale,6.9,1.0,2413,33,ITA
113,Sam Beukema,Bologna,6.9,1.0,2549,30,NED
113,Victor Kristiansen,Bologna,6.9,1.0,2312,32,DEN
113,Daichi Kamada,Lazio,6.9,1.0,1543,29,JPN
117,Hassane Kamara,Udinese,6.89,2.0,2238,35,CIV
118,Malick Thiaw,Milan,6.89,0.0,1620,21,GER
119,Lameck Banda,Lecce,6.89,2.0,1358,21,ZAM
120,Suat Serdar,Verona,6.89,1.0,1661,25,GER
121,Leo Østigard,Napoli,6.88,0.0,1621,25,NOR
121,Marin Pongracic,Lecce,6.88,0.0,3220,36,CRO
123,Milan Djuric,Monza,6.88,3.0,2464,37,BIH
124,Filip Kostic,Juventus,6.88,2.0,1831,29,SRB
125,Luca Ranieri,Fiorentina,6.88,1.0,2067,26,ITA
125,Patric,Lazio,6.88,1.0,1610,20,ESP
127,Antonino Gallo,Lecce,6.87,2.0,2500,35,ITA
127,Radu Dragusin,Genoa,6.87,2.0,1710,19,ROU
129,Jaka Bijol,Udinese,6.87,1.0,2083,24,SVN
130,Cyril Ngonge,Napoli,6.87,0.0,1743,32,BEL
130,Giulio Maggiore,Salernitana,6.87,0.0,1807,27,ITA
132,Ricardo Rodriguez,Torino,6.87,1.0,2783,35,SUI
133,Stephan El Shaarawy,Roma,6.86,1.0,1741,33,ITA
134,Patrick Ciurria,Monza,6.86,0.0,1602,22,ITA
135,Josep Martinez,Genoa,6.86,3.0,3239,36,ESP
136,Valentin Gendrey,Lecce,6.86,2.0,3050,37,FRA
137,Sandi Lovric,Udinese,6.86,1.0,1988,29,SVN
137,Diego Coppola,Verona,6.86,1.0,1636,24,ITA
139,Nikola Vlasic,Torino,6.85,2.0,2614,33,CRO
140,Mike Maignan,Milan,6.84,0.0,2609,29,FRA
141,Juan Cabal,Verona,6.84,1.0,1497,22,COL
142,Juan Jesus,Napoli,6.84,0.0,2117,24,BRA
143,Tommaso Augello,Cagliari,6.84,1.0,2429,32,ITA
144,Leonardo Spinazzola,Roma,6.84,0.0,1312,24,ITA
145,Grigoris Kastanos,Salernitana,6.83,0.0,1486,26,CYP
146,Gianluca Mancini,Roma,6.83,1.0,2872,36,ITA
146,Nahitan Nández,Cagliari,6.83,1.0,2351,33,URU
146,Valentino Lazaro,Torino,6.83,1.0,1989,35,AUT
146,Michel Aebischer,Bologna,6.83,1.0,2234,36,SUI
150,Nadir Zortea,Frosinone,6.83,0.0,1403,19,ITA
150,Tomas Suslov,Verona,6.83,0.0,2094,32,SVK
152,Lukasz Skorupski,Bologna,6.83,1.0,2880,32,POL
153,Roberto Pereyra,Udinese,6.82,1.0,1862,27,ARG
153,Pawel Dawidowicz,Verona,6.82,1.0,2143,28,POL
155,Rémi Oudin,Lecce,6.81,0.0,1826,31,FRA
155,Dan Ndoye,Bologna,6.81,0.0,1775,32,SUI
157,Lorenzo Montipo,Verona,6.8,1.0,3330,37,ITA
158,Riccardo Sottil,Fiorentina,6.79,1.0,1108,22,ITA
159,Youssef Maleh,Empoli,6.79,2.0,2610,34,MAR
160,Adam Marusic,Lazio,6.79,1.0,3106,37,MNE
161,Matias Vecino,Lazio,6.79,0.0,1135,31,URU
162,Danilo D'Ambrosio,Monza,6.78,0.0,1534,24,ITA
163,Carlos Augusto,Internazionale,6.78,1.0,1703,37,BRA
164,Florian Thauvin,Udinese,6.78,2.0,1713,29,FRA
165,Mergim Vojvoda,Torino,6.78,0.0,1372,28,KVX
165,Alberto Grassi,Empoli,6.78,0.0,1823,27,ITA
167,Adrien Tamèze,Torino,6.78,1.0,2154,29,FRA
168,Isak Hien,Atalanta,6.78,0.0,1794,26,SWE
169,Nikola Krstovic,Lecce,6.77,1.0,2390,35,MNE
169,Giovanni Fabbian,Bologna,6.77,1.0,1053,27,ITA
171,Matteo Guendouzi,Lazio,6.76,0.0,2370,33,FRA
171,Samuel Chukwueze,Milan,6.76,0.0,1012,24,NGA
173,Pietro Terracciano,Fiorentina,6.76,1.0,2970,33,ITA
174,Giacomo Raspadori,Napoli,6.76,0.0,1572,37,ITA
174,Diego Llorente,Roma,6.76,0.0,2173,29,ESP
176,Andrea Belotti,Fiorentina,6.76,1.0,1624,29,ITA
177,Domagoj Bradaric,Salernitana,6.75,0.0,2753,34,CRO
177,Koni De Winter,Genoa,6.75,0.0,2378,29,BEL
177,Armando Izzo,Monza,6.75,0.0,1653,23,ITA
180,Thomas Kristensen,Udinese,6.75,1.0,2097,26,DEN
181,Matteo Prati,Cagliari,6.74,0.0,1972,26,ITA
181,Fabio Miretti,Juventus,6.74,0.0,1104,25,ITA
183,Michael Folorunsho,Verona,6.74,1.0,2793,34,ITA
184,Ruslan Malinovsky,Genoa,6.74,0.0,1547,28,UKR
184,Edoardo Bove,Roma,6.74,0.0,1777,31,ITA
186,Kristian Thorstvedt,Sassuolo,6.74,2.0,2413,34,NOR
187,Martin Payero,Udinese,6.74,1.0,1801,29,ARG
188,Manuel Lazzari,Lazio,6.74,0.0,1675,24,ITA
188,Mario Rui,Napoli,6.74,0.0,1205,21,POR
190,Daniel Boloca,Sassuolo,6.74,1.0,2023,30,ROU
191,Razvan Marin,Empoli,6.73,1.0,1818,30,ROU
192,Matheus Henrique,Sassuolo,6.73,0.0,2501,31,BRA
192,Davide Zappacosta,Atalanta,6.73,0.0,1875,31,ITA
192,Danilo Cataldi,Lazio,6.73,0.0,1360,28,ITA
195,Gabriel Strefezza,Lecce,6.72,1.0,1118,19,BRA
196,Ardian Ismajli,Empoli,6.72,0.0,2046,26,ALB
197,Ciro Immobile,Lazio,6.71,0.0,1656,31,ITA
198,Valentin Carboni,Monza,6.71,1.0,1158,31,ARG
199,Joao Ferreira,Udinese,6.71,0.0,1812,35,POR
200,Sebastiano Luperto,Empoli,6.71,1.0,3407,38,ITA
201,Jonathan Ikoné,Fiorentina,6.71,2.0,1685,28,FRA
202,Pontus Almqvist,Lecce,6.71,1.0,2115,30,SWE
203,Nicolo Cambiaghi,Empoli,6.71,2.0,2562,37,ITA
204,Nicolas Viola,Cagliari,6.71,0.0,1202,26,ITA
205,Ivan Provedel,Lazio,6.7,2.0,2699,30,ITA
206,Bartosz Bereszynski,Empoli,6.7,0.0,1766,24,POL
207,Maduka Okoye,Udinese,6.69,2.0,1890,21,NGA
208,Francesco Gelli,Frosinone,6.69,1.0,1558,27,ITA
209,Giorgos Kyriakopoulos,Monza,6.69,0.0,1716,28,GRE
209,Patrick Dorgu,Lecce,6.69,0.0,1563,32,DEN
209,Dany Mota,Monza,6.69,0.0,2059,34,POR
209,Rasmus Kristensen,Roma,6.69,0.0,1743,29,DEN
209,Kenan Yildiz,Juventus,6.69,0.0,945,27,TUR
214,Yunus Musah,Milan,6.68,0.0,1468,30,USA
215,Lorenzo Lucca,Udinese,6.68,1.0,2600,37,ITA
216,Samuele Birindelli,Monza,6.68,0.0,2013,35,ITA
216,Pablo Mari,Monza,6.68,0.0,2616,34,ESP
216,Liberato Cacace,Empoli,6.68,0.0,1907,31,NZL
219,Mattia Bani,Genoa,6.67,1.0,2309,27,ITA
220,Kacper Urbanski,Bologna,6.67,0.0,921,22,POL
220,Jeremy Toljan,Sassuolo,6.67,0.0,2085,25,GER
220,Martin Erlic,Sassuolo,6.67,0.0,2624,32,CRO
223,Jackson Tchatchoua,Verona,6.66,1.0,1725,26,CMR
224,Lassana Coulibaly,Salernitana,6.66,0.0,2086,28,MLI
224,Karol Linetty,Torino,6.66,0.0,1860,28,POL
226,Jens-Lys Cajuste,Napoli,6.65,0.0,1007,26,SWE
226,Stefano Sabelli,Genoa,6.65,0.0,2448,32,ITA
228,Ilario Monterisi,Frosinone,6.65,1.0,1467,24,ITA
228,Mateo Retegui,Genoa,6.65,1.0,2225,29,ITA
228,Aaron Caricol,Genoa,6.65,1.0,1380,22,ESP
231,Memeh Caleb Okoli,Frosinone,6.65,0.0,2915,34,ITA
232,Samuel Iling-Junior,Juventus,6.64,0.0,800,24,ENG
232,Sebastian Walukiewicz,Empoli,6.64,0.0,2054,27,POL
234,Marko Arnautovic,Internazionale,6.64,1.0,779,27,AUT
235,Wladimiro Falcone,Lecce,6.63,2.0,3420,38,ITA
236,Lucas Beltran,Fiorentina,6.63,0.0,1694,32,ARG
237,Antoine Makoumbou,Cagliari,6.62,0.0,2707,32,CGO
237,Nicolo Casale,Lazio,6.62,0.0,1557,20,ITA
237,Pasquale Mazzocchi,Napoli,6.62,0.0,1704,28,ITA
237,Joan Gonzalez,Lecce,6.62,0.0,1283,29,ESP
237,Pol Lirola,Frosinone,6.62,0.0,1538,25,ESP
237,Andrea Pinamonti,Sassuolo,6.62,0.0,3100,38,ITA
243,Mohamed Kaba,Lecce,6.61,0.0,1382,23,FRA
243,Elseid Hysaj,Lazio,6.61,0.0,1194,22,ALB
243,Hans Hateboer,Atalanta,6.61,0.0,1104,23,NED
246,Luka Jovic,Milan,6.61,1.0,867,23,SRB
246,Rolando Mandragora,Fiorentina,6.61,1.0,1584,33,ITA
248,Caleb Ekuban,Genoa,6.6,1.0,1123,29,GHA
249,Christian Kouamé,Fiorentina,6.6,0.0,1084,23,CIV
249,Timothy Weah,Juventus,6.6,0.0,1247,30,USA
251,Davide Frattesi,Internazionale,6.6,1.0,934,32,ITA
252,Walid Cheddira,Frosinone,6.6,2.0,2130,36,MAR
253,Simone Romagnoli,Frosinone,6.6,0.0,2716,33,ITA
253,Jacopo Fazzini,Empoli,6.6,0.0,1226,31,ITA
255,Kevin Strootman,Genoa,6.59,0.0,1209,27,NED
255,Antonio Sanabria,Torino,6.59,0.0,2133,35,PAR
255,Nicola Zalewski,Roma,6.59,0.0,966,22,POL
255,Zito Luvumbo,Cagliari,6.59,0.0,1947,30,ANG
259,Valentin Castellanos,Lazio,6.58,3.0,1676,35,ARG
260,Noah Okafor,Milan,6.58,0.0,869,28,SUI
260,Gabriele Zappa,Cagliari,6.58,0.0,2559,38,ITA
260,Ibrahim Sulemana,Cagliari,6.58,0.0,1342,21,GHA
263,Morten Thorsby,Genoa,6.57,0.0,1143,24,NOR
264,Darko Lazovic,Verona,6.56,0.0,1942,32,SRB
