Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
1,Antonin Barak,Fiorentina,1.6,1.5,802,21,CZE
2,Cristian Volpato,Sassuolo,1.4,2.6,632,22,ITA
3,Gianluca Gaetano,Cagliari,1.2,3.3,905,20,ITA
4,Samuele Mulattieri,Sassuolo,1.2,2.4,441,27,ITA
5,Reinier,Frosinone,1.1,2.4,1064,22,BRA
6,Charles De Ketelaere,Atalanta,1.1,2.2,2042,35,BEL
6,Lameck Banda,Lecce,1.1,2.2,1358,21,ZAM
8,M'Bala Nzola,Fiorentina,1.1,1.5,1545,33,ANG
9,Christian Kouamé,Fiorentina,1.0,3.5,1084,23,CIV
10,Kaio Jorge,Frosinone,1.0,1.8,805,20,BRA
11,Alexis Sánchez,Internazionale,1.0,1.6,751,23,CHI
11,Joshua Zirkzee,Bologna,1.0,1.6,2771,34,NED
11,Nicolo Cambiaghi,Empoli,1.0,1.6,2562,37,ITA
14,Lucas Beltran,Fiorentina,1.0,1.1,1694,32,ARG
15,Gaetano Oristanio,Cagliari,0.9,3.1,1102,25,ITA
15,Nikola Vlasic,Torino,0.9,3.1,2614,33,CRO
17,Aleksey Miranchuk,Atalanta,0.9,2.9,1170,27,RUS
18,Matias Soulé,Frosinone,0.9,2.6,3136,36,ARG
19,Ademola Lookman,Atalanta,0.9,2.4,1899,31,NGA
20,Gustav Isaksen,Lazio,0.9,1.5,1069,28,DEN
21,Lautaro Martinez,Internazionale,0.9,1.4,2668,33,ARG
21,Marvin Cuni,Frosinone,0.9,1.4,522,22,ALB
23,Victor Osimhen,Napoli,0.9,0.8,1990,25,NGA
24,Alfred Duncan,Fiorentina,0.8,3.2,1893,30,GHA
24,Teun Koopmeiners,Atalanta,0.8,3.2,2633,34,NED
26,Hamza Rafia,Lecce,0.8,2.8,1211,28,TUN
27,Pedro Rodriguez,Lazio,0.8,2.7,798,33,ESP
28,Giacomo Bonaventura,Fiorentina,0.8,2.6,2285,31,ITA
29,Nicola Sansone,Lecce,0.8,2.3,750,25,ITA
29,Samuel Chukwueze,Milan,0.8,2.3,1012,24,NGA
31,Nicolás González,Fiorentina,0.8,2.2,1913,29,ARG
32,Valentino Lazaro,Torino,0.8,2.0,1989,35,AUT
33,Cyril Ngonge,Napoli,0.8,1.7,1743,32,BEL
34,Nedim Bajrami,Sassuolo,0.8,1.6,1312,28,ALB
35,Ondrej Duda,Verona,0.7,3.8,2463,32,SVK
36,Marten de Roon,Atalanta,0.7,3.1,2599,30,NED
37,Luca Mazzitelli,Frosinone,0.7,2.9,2221,29,ITA
37,Luis Alberto,Lazio,0.7,2.9,2323,33,ESP
39,Francesco Gelli,Frosinone,0.7,2.4,1558,27,ITA
39,Tomas Suslov,Verona,0.7,2.4,2094,32,SVK
41,Eldor Shomurodov,Cagliari,0.7,2.3,933,22,UZB
42,Alexis Saelemaekers,Bologna,0.7,2.2,1892,30,BEL
43,Nicolas Viola,Cagliari,0.7,2.0,1202,26,ITA
44,Khvicha Kvaratskhelia,Napoli,0.7,1.7,2750,34,GEO
45,Duvan Zapata,Torino,0.7,1.6,3005,37,COL
45,Matteo Politano,Napoli,0.7,1.6,2384,37,ITA
45,Mergim Vojvoda,Torino,0.7,1.6,1372,28,KVX
