Rank,Player,Team,Red Cards,Yellow Cards,Minutes,Matches,Country
1,Ondrej Duda,Verona,2.0,10.0,2463,32,SVK
2,Antoine Makoumbou,Cagliari,2.0,3.0,2707,32,CGO
2,Davide Calabria,Milan,2.0,3.0,2191,29,ITA
4,Thomas Henry,Verona,2.0,2.0,320,18,FRA
5,Leandro Paredes,Roma,1.0,15.0,2644,34,ARG
6,Theo Hernández,Milan,1.0,11.0,2794,32,FRA
7,Marin Pongracic,Lecce,1.0,8.0,3220,36,CRO
8,Giulio Maggiore,Salernitana,1.0,7.0,1807,27,ITA
8,Nehuén Pérez,Udinese,1.0,7.0,3238,36,ARG
10,Adrien Tamèze,Torino,1.0,6.0,2154,29,FRA
10,Daniel Boloca,Sassuolo,1.0,6.0,2023,30,ROU
10,Dusan Vlahovic,Juventus,1.0,6.0,2317,33,SRB
10,Fikayo Tomori,Milan,1.0,6.0,2125,26,ENG
10,Koni De Winter,Genoa,1.0,6.0,2378,29,BEL
10,Martin Payero,Udinese,1.0,6.0,1801,29,ARG
10,Matheus Henrique,Sassuolo,1.0,6.0,2501,31,BRA
10,Samuele Ricci,Torino,1.0,6.0,2400,32,ITA
18,Alexis Saelemaekers,Bologna,1.0,5.0,1892,30,BEL
18,Lameck Banda,Lecce,1.0,5.0,1358,21,ZAM
18,Luca Caldirola,Monza,1.0,5.0,2139,29,ITA
18,Luca Pellegrini,Lazio,1.0,5.0,781,19,ITA
18,Malick Thiaw,Milan,1.0,5.0,1620,21,GER
18,Mario Rui,Napoli,1.0,5.0,1205,21,POR
18,Romelu Lukaku,Roma,1.0,5.0,2644,32,BEL
18,Ruan Tressoldi,Sassuolo,1.0,5.0,1515,26,BRA
26,Alberto Grassi,Empoli,1.0,4.0,1823,27,ITA
26,Festy Ebosele,Udinese,1.0,4.0,1705,31,IRL
26,Isak Hien,Verona,1.0,4.0,1794,26,SWE
26,Luca Mazzitelli,Frosinone,1.0,4.0,2221,29,ITA
26,Manuel Lazzari,Lazio,1.0,4.0,1675,24,ITA
26,Nikola Krstovic,Lecce,1.0,4.0,2390,35,MNE
26,Pasquale Mazzocchi,Napoli,1.0,4.0,1704,28,ITA
26,Rafael Toloi,Atalanta,1.0,4.0,962,18,ITA
26,Sam Beukema,Bologna,1.0,4.0,2549,30,NED
26,Victor Osimhen,Napoli,1.0,4.0,1990,25,NGA
36,Adam Marusic,Lazio,1.0,3.0,3106,37,MNE
36,Danilo D'Ambrosio,Monza,1.0,3.0,1534,24,ITA
36,Federico Baschirotto,Lecce,1.0,3.0,3295,37,ITA
36,Federico Fazio,Salernitana,1.0,3.0,1354,17,ARG
36,Matteo Guendouzi,Lazio,1.0,3.0,2370,33,FRA
36,Matteo Pessina,Monza,1.0,3.0,3228,37,ITA
42,Aaron Caricol,Genoa,1.0,2.0,1380,22,ESP
42,Arkadiusz Milik,Juventus,1.0,2.0,902,32,POL
42,Denzel Dumfries,Internazionale,1.0,2.0,1640,31,NED
42,Gianluca Gaetano,Cagliari,1.0,2.0,905,20,ITA
42,Josep Martinez,Genoa,1.0,2.0,3239,36,ESP
42,Luka Jovic,Milan,1.0,2.0,867,23,SRB
42,Mario Gila,Lazio,1.0,2.0,1813,21,ESP
42,Mateusz Wieteska,Cagliari,1.0,2.0,958,19,POL
42,Matteo Politano,Napoli,1.0,2.0,2384,37,ITA
42,Mohamed Kaba,Lecce,1.0,2.0,1382,23,FRA
42,Thomas Kristensen,Udinese,1.0,2.0,2097,26,DEN
53,Maxime Lopez,Sassuolo,1.0,1.0,936,21,FRA
53,Mike Maignan,Milan,1.0,1.0,2609,29,FRA
53,Natan,Napoli,1.0,1.0,955,14,BRA
53,Nicola Zalewski,Roma,1.0,1.0,966,22,POL
53,Olivier Giroud,Milan,1.0,1.0,2372,35,FRA
53,Sandi Lovric,Udinese,1.0,1.0,1988,29,SVN
53,Vincenzo Fiorillo,Salernitana,1.0,1.0,360,4,ITA
60,Alessio Zerbin,Monza,1.0,0.0,829,20,ITA
60,Darko Lazovic,Verona,1.0,0.0,1942,32,SRB
60,Mirko Maric,Monza,1.0,0.0,279,10,CRO
60,Pierluigi Frattali,Frosinone,1.0,0.0,0,1,ITA
60,Simone Aresti,Cagliari,1.0,0.0,1,1,ITA
