Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
1,Hamza Rafia,Lecce,2.3,70.5,1211,28,TUN
2,Suat Serdar,Verona,2.1,76.5,1661,25,GER
3,Joao Ferreira,Udinese,2.1,72.4,1812,35,POR
4,Daichi Kamada,Lazio,2.1,67.9,1543,29,JPN
5,Jens-Lys Cajuste,Napoli,2.1,66.7,1007,26,SWE
6,Morten Frendrup,Genoa,2.1,54.1,3146,37,DEN
7,Danilo D'Ambrosio,Monza,2.0,59.6,1534,24,ITA
8,Nicolo Rovella,Lazio,1.9,60.9,1322,23,ITA
9,Emil Holm,Atalanta,1.8,67.9,948,22,SWE
10,Lucas Martinez Quarta,Fiorentina,1.8,62.7,2292,29,ARG
11,Jacopo Fazzini,Empoli,1.8,51.0,1226,31,ITA
12,Nikola Moro,Bologna,1.7,76.2,835,23,CRO
13,Youssef Maleh,Empoli,1.7,64.9,2610,34,MAR
14,Remo Freuler,Bologna,1.7,64.1,2632,32,SUI
15,Stefan Posch,Bologna,1.7,59.7,2418,31,AUT
16,Mathias Olivera,Napoli,1.7,58.0,1572,23,URU
17,Juan Cabal,Verona,1.6,75.0,1497,22,COL
18,Martin Payero,Udinese,1.6,59.3,1801,29,ARG
19,Davide Calabria,Milan,1.6,54.3,2191,29,ITA
20,Edoardo Bove,Roma,1.6,51.7,1777,31,ITA
21,Lameck Banda,Lecce,1.5,85.2,1358,21,ZAM
22,Luca Pellegrini,Lazio,1.5,72.2,781,19,ITA
23,Daniel Boloca,Sassuolo,1.5,68.8,2023,30,ROU
24,Nahitan Nández,Cagliari,1.5,67.8,2351,33,URU
25,Ismael Bennacer,Milan,1.5,65.5,1151,20,ALG
26,Éderson,Atalanta,1.5,59.0,2873,36,BRA
26,Mohamed Kaba,Lecce,1.5,59.0,1382,23,FRA
28,Felipe Anderson,Lazio,1.5,57.7,2782,38,BRA
29,Samuel Iling-Junior,Juventus,1.5,56.5,800,24,ENG
30,Marten de Roon,Atalanta,1.5,53.8,2599,30,NED
31,Nicolo Cambiaghi,Empoli,1.4,76.5,2562,37,ITA
32,Pedro Rodriguez,Lazio,1.4,75.0,798,33,ESP
33,Timothy Weah,Juventus,1.4,74.1,1247,30,USA
34,Gabriel Strefezza,Lecce,1.4,70.8,1118,19,BRA
35,Pedro Pereira,Monza,1.4,68.4,833,23,POR
36,Lassana Coulibaly,Salernitana,1.4,68.1,2086,28,MLI
37,Arthur,Fiorentina,1.4,66.7,1993,33,BRA
37,Jackson Tchatchoua,Verona,1.4,66.7,1725,26,CMR
37,Jordan Zemura,Udinese,1.4,66.7,1033,27,ZIM
40,Ondrej Duda,Verona,1.4,66.1,2463,32,SVK
41,Filippo Terracciano,Milan,1.4,65.6,1368,21,ITA
42,Giulio Maggiore,Salernitana,1.4,59.2,1807,27,ITA
43,Kevin Strootman,Genoa,1.4,55.9,1209,27,NED
44,Alessandro Buongiorno,Torino,1.4,55.7,2530,29,ITA
45,Jean-Daniel Akpa-Akpro,Monza,1.4,55.0,700,19,CIV
46,Alessandro Zanoli,Salernitana,1.3,82.4,969,21,ITA
47,Warren Bondo,Monza,1.3,75.9,1471,25,FRA
48,Sead Kolasinac,Atalanta,1.3,72.7,2182,30,BIH
49,Alessandro Bastoni,Internazionale,1.3,71.7,2283,28,ITA
50,Tomas Suslov,Verona,1.3,71.4,2094,32,SVK
51,Hassane Kamara,Udinese,1.3,71.1,2238,35,CIV
52,Nicola Zalewski,Roma,1.3,70.0,966,22,POL
53,Adrien Rabiot,Juventus,1.3,67.2,2651,31,FRA
54,Marcus Holmgren Pedersen,Sassuolo,1.3,66.7,1605,28,NOR
54,Nehuén Pérez,Udinese,1.3,66.7,3238,36,ARG
56,Victor Kristiansen,Bologna,1.3,65.4,2312,32,DEN
57,Enzo Barrenechea,Frosinone,1.3,64.6,2816,36,ARG
58,Kingsley Ehizibue,Udinese,1.3,63.6,955,23,NED
58,Marco Davide Faraoni,Fiorentina,1.3,63.6,995,19,ITA
60,Manuel Locatelli,Juventus,1.3,62.3,3011,36,ITA
61,Bartosz Bereszynski,Empoli,1.3,61.0,1766,24,POL
62,Danilo,Juventus,1.3,60.0,2451,29,BRA
63,Joan Gonzalez,Lecce,1.3,58.1,1283,29,ESP
64,Andrea Carboni,Monza,1.3,57.9,1490,21,ITA
65,Matteo Lovato,Torino,1.3,56.8,1490,26,ITA
66,Michael Kayode,Fiorentina,1.3,56.6,2063,26,ITA
