Rank,Player,Team,Assists,Secondary Assists,Minutes,Matches,Country
1,Rafael Leao,Milan,9.0,8.1,2523,34,POR
2,Paulo Dybala,Roma,9.0,4.0,1973,28,ARG
3,Christian Pulisic,Milan,8.0,4.5,2620,36,USA
4,Henrikh Mkhitaryan,Internazionale,8.0,4.3,2803,36,ARM
5,Charles De Ketelaere,Atalanta,8.0,4.1,2042,35,BEL
6,Olivier Giroud,Milan,8.0,2.4,2372,35,FRA
7,Matteo Politano,Napoli,7.0,6.0,2384,37,ITA
8,Ademola Lookman,Atalanta,7.0,4.8,1899,31,NGA
8,Luis Alberto,Lazio,7.0,4.8,2323,33,ESP
10,Raoul Bellanova,Torino,7.0,4.5,3063,37,ITA
11,Marcus Thuram,Internazionale,7.0,3.6,2707,35,FRA
12,Weston McKennie,Juventus,7.0,3.2,2599,34,USA
13,Federico Dimarco,Internazionale,6.0,7.5,2105,30,ITA
14,Giovanni Di Lorenzo,Napoli,6.0,5.4,3235,36,ITA
14,Khvicha Kvaratskhelia,Napoli,6.0,5.4,2750,34,GEO
16,Felipe Anderson,Lazio,6.0,4.7,2782,38,BRA
17,Antonio Candreva,Salernitana,6.0,4.1,2757,34,ITA
18,Mario Pasalic,Atalanta,6.0,3.3,2048,34,CRO
19,Gianluca Scamacca,Atalanta,6.0,1.5,1459,29,ITA
20,Teun Koopmeiners,Atalanta,5.0,5.4,2633,34,NED
21,Aleksey Miranchuk,Atalanta,5.0,4.5,1170,27,RUS
22,Cristiano Biraghi,Fiorentina,5.0,4.3,2358,29,ITA
23,Alexis Sánchez,Internazionale,5.0,2.8,751,23,CHI
23,Alfred Duncan,Fiorentina,5.0,2.8,1893,30,GHA
25,Zito Luvumbo,Cagliari,5.0,2.7,1947,30,ANG
26,Leandro Paredes,Roma,5.0,2.5,2644,34,ARG
26,Tomas Suslov,Verona,5.0,2.5,2094,32,SVK
28,Nadir Zortea,Frosinone,5.0,2.4,1403,19,ITA
29,Jeremy Toljan,Sassuolo,5.0,2.0,2085,25,GER
30,Morten Frendrup,Genoa,5.0,1.4,3146,37,DEN
31,Marten de Roon,Atalanta,5.0,1.2,2599,30,NED
32,Riccardo Calafiori,Bologna,5.0,0.9,2338,30,ITA
33,Albert Gudmundsson,Genoa,4.0,6.5,3022,35,ISL
34,Andrea Colpani,Monza,4.0,4.6,2683,38,ITA
34,Theo Hernández,Milan,4.0,4.6,2794,32,FRA
36,Filip Kostic,Juventus,4.0,4.1,1831,29,SRB
37,Armand Laurienté,Sassuolo,4.0,3.9,2926,37,FRA
38,Alessandro Florenzi,Milan,4.0,3.5,1730,31,ITA
39,Denzel Dumfries,Internazionale,4.0,3.2,1640,31,NED
40,Bryan Cristante,Roma,4.0,3.1,3292,37,ITA
41,Ondrej Duda,Verona,4.0,3.0,2463,32,SVK
42,Valentino Lazaro,Torino,4.0,2.9,1989,35,AUT
43,Joshua Zirkzee,Bologna,4.0,2.5,2771,34,NED
44,Manuel Locatelli,Juventus,4.0,2.4,3011,36,ITA
45,Matteo Ruggeri,Atalanta,4.0,2.1,2466,34,ITA
46,Stephan El Shaarawy,Roma,4.0,1.8,1741,33,ITA
47,Dusan Vlahovic,Juventus,4.0,1.6,2317,33,SRB
47,Duvan Zapata,Torino,4.0,1.6,3005,37,COL
49,Alberto Dossena,Cagliari,4.0,1.3,2979,35,ITA
50,Lameck Banda,Lecce,4.0,1.2,1358,21,ZAM
51,Tijjani Noslin,Verona,4.0,1.0,1346,17,NED
52,Riccardo Marchizza,Frosinone,4.0,0.8,1149,13,ITA
53,Lorenzo Lucca,Udinese,4.0,0.6,2600,37,ITA
54,Hakan Calhanoglu,Internazionale,3.0,5.8,2576,32,TUR
55,Giacomo Bonaventura,Fiorentina,3.0,5.4,2285,31,ITA
56,Matias Soulé,Frosinone,3.0,5.3,3136,36,ARG
57,Nicolo Barella,Internazionale,3.0,4.5,2860,37,ITA
58,Florian Thauvin,Udinese,3.0,4.1,1713,29,FRA
58,Tijjani Reijnders,Milan,3.0,4.1,2830,36,NED
60,Adrien Rabiot,Juventus,3.0,4.0,2651,31,FRA
61,Andrea Cambiaso,Juventus,3.0,3.8,2387,34,ITA
62,Lorenzo Pellegrini,Roma,3.0,3.2,1866,29,ITA
63,Alessandro Bastoni,Internazionale,3.0,3.1,2283,28,ITA
63,Antonino Gallo,Lecce,3.0,3.1,2500,35,ITA
63,Dany Mota,Monza,3.0,3.1,2059,34,POR
66,Giacomo Raspadori,Napoli,3.0,3.0,1572,37,ITA
66,Sandi Lovric,Udinese,3.0,3.0,1988,29,SVN
68,Razvan Marin,Empoli,3.0,2.9,1818,30,ROU
69,Lewis Ferguson,Bologna,3.0,2.7,2718,31,SCO
69,Samuel Chukwueze,Milan,3.0,2.7,1012,24,NGA
71,Domenico Berardi,Sassuolo,3.0,2.5,1438,17,ITA
71,Nahitan Nández,Cagliari,3.0,2.5,2351,33,URU
