Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
1,Lautaro Martinez,Internazionale,24.0,2.0,2668,33,ARG
2,Dusan Vlahovic,Juventus,16.0,2.0,2317,33,SRB
3,Victor Osimhen,Napoli,15.0,3.0,1990,25,NGA
4,Olivier Giroud,Milan,15.0,4.0,2372,35,FRA
5,Albert Gudmundsson,Genoa,14.0,4.0,3022,35,ISL
6,Duvan Zapata,Torino,13.0,0.0,3005,37,COL
6,Marcus Thuram,Internazionale,13.0,0.0,2707,35,FRA
6,Romelu Lukaku,Roma,13.0,0.0,2644,32,BEL
9,Paulo Dybala,Roma,13.0,7.0,1973,28,ARG
10,Hakan Calhanoglu,Internazionale,13.0,10.0,2576,32,TUR
11,Christian Pulisic,Milan,12.0,0.0,2620,36,USA
11,Gianluca Scamacca,Atalanta,12.0,0.0,1459,29,ITA
13,Nicolás González,Fiorentina,12.0,1.0,1913,29,ARG
14,Teun Koopmeiners,Atalanta,12.0,2.0,2633,34,NED
15,Ademola Lookman,Atalanta,11.0,0.0,1899,31,NGA
15,Khvicha Kvaratskhelia,Napoli,11.0,0.0,2750,34,GEO
17,Andrea Pinamonti,Sassuolo,11.0,2.0,3100,38,ITA
17,Joshua Zirkzee,Bologna,11.0,2.0,2771,34,NED
19,Matias Soulé,Frosinone,11.0,5.0,3136,36,ARG
20,Charles De Ketelaere,Atalanta,10.0,1.0,2042,35,BEL
21,Riccardo Orsolini,Bologna,10.0,2.0,1792,33,ITA
22,Rafael Leao,Milan,9.0,0.0,2523,34,POR
23,Federico Chiesa,Juventus,9.0,1.0,2207,33,ITA
23,Milan Djuric,Monza,9.0,1.0,2464,37,BIH
25,Domenico Berardi,Sassuolo,9.0,5.0,1438,17,ITA
26,Andrea Colpani,Monza,8.0,0.0,2683,38,ITA
26,Giacomo Bonaventura,Fiorentina,8.0,0.0,2285,31,ITA
26,Lorenzo Lucca,Udinese,8.0,0.0,2600,37,ITA
29,Lorenzo Pellegrini,Roma,8.0,1.0,1866,29,ITA
30,Matteo Politano,Napoli,8.0,2.0,2384,37,ITA
31,Cyril Ngonge,Napoli,7.0,0.0,1743,32,BEL
32,Mateo Retegui,Genoa,7.0,1.0,2225,29,ITA
32,Nikola Krstovic,Lecce,7.0,1.0,2390,35,MNE
32,Walid Cheddira,Frosinone,7.0,1.0,2130,36,MAR
35,Ciro Immobile,Lazio,7.0,4.0,1656,31,ITA
36,Andrea Belotti,Fiorentina,6.0,0.0,1624,29,ITA
36,Davide Frattesi,Internazionale,6.0,0.0,934,32,ITA
36,Éderson,Atalanta,6.0,0.0,2873,36,BRA
36,Kristian Thorstvedt,Sassuolo,6.0,0.0,2413,34,NOR
36,Lewis Ferguson,Bologna,6.0,0.0,2718,31,SCO
36,Luka Jovic,Milan,6.0,0.0,867,23,SRB
36,Matias Vecino,Lazio,6.0,0.0,1135,31,URU
36,Mattia Zaccagni,Lazio,6.0,0.0,1971,28,ITA
36,Noah Okafor,Milan,6.0,0.0,869,28,SUI
36,Ruben Loftus-Cheek,Milan,6.0,0.0,2081,29,ENG
46,Antonio Candreva,Salernitana,6.0,1.0,2757,34,ITA
46,Lazar Samardzic,Udinese,6.0,1.0,2380,34,SRB
46,Lucas Beltran,Fiorentina,6.0,1.0,1694,32,ARG
49,Mario Pasalic,Atalanta,6.0,2.0,2048,34,CRO
50,Matteo Pessina,Monza,6.0,4.0,3228,37,ITA
50,M'Baye Niang,Empoli,6.0,4.0,706,14,SEN
52,Adrien Rabiot,Juventus,5.0,0.0,2651,31,FRA
52,Armand Laurienté,Sassuolo,5.0,0.0,2926,37,FRA
52,Federico Dimarco,Internazionale,5.0,0.0,2105,30,ITA
52,Felipe Anderson,Lazio,5.0,0.0,2782,38,BRA
52,Giacomo Raspadori,Napoli,5.0,0.0,1572,37,ITA
52,Giovanni Fabbian,Bologna,5.0,0.0,1053,27,ITA
52,Luca Mazzitelli,Frosinone,5.0,0.0,2221,29,ITA
52,Lucas Martinez Quarta,Fiorentina,5.0,0.0,2292,29,ARG
52,Luis Alberto,Lazio,5.0,0.0,2323,33,ESP
52,Marko Arnautovic,Internazionale,5.0,0.0,779,27,AUT
52,Michael Folorunsho,Verona,5.0,0.0,2793,34,ITA
52,Nicolas Viola,Cagliari,5.0,0.0,1202,26,ITA
52,Tijjani Noslin,Verona,5.0,0.0,1346,17,NED
65,Florian Thauvin,Udinese,5.0,1.0,1713,29,FRA
65,Gianluca Gaetano,Cagliari,5.0,1.0,905,20,ITA
65,Roberto Piccoli,Lecce,5.0,1.0,1397,37,ITA
65,Theo Hernández,Milan,5.0,1.0,2794,32,FRA
69,Antonio Sanabria,Torino,5.0,2.0,2133,35,PAR
70,Alexis Saelemaekers,Bologna,4.0,0.0,1892,30,BEL
70,Arkadiusz Milik,Juventus,4.0,0.0,902,32,POL
70,Caleb Ekuban,Genoa,4.0,0.0,1123,29,GHA
70,Daniel Maldini,Monza,4.0,0.0,588,18,ITA
70,Dany Mota,Monza,4.0,0.0,2059,34,POR
70,Denzel Dumfries,Internazionale,4.0,0.0,1640,31,NED
70,Federico Gatti,Juventus,4.0,0.0,2640,32,ITA
70,Fikayo Tomori,Milan,4.0,0.0,2125,26,ENG
70,Gianluca Mancini,Roma,4.0,0.0,2872,36,ITA
70,Giulio Maggiore,Salernitana,4.0,0.0,1807,27,ITA
70,Houssem Aouar,Roma,4.0,0.0,756,16,ALG
70,Leonardo Pavoletti,Cagliari,4.0,0.0,620,19,ITA
70,Lorenzo Colombo,Monza,4.0,0.0,1366,25,ITA
70,Loum Tchaouna,Salernitana,4.0,0.0,2099,33,FRA
70,Marco Brescianini,Frosinone,4.0,0.0,2321,36,ITA
70,Matteo Cancellieri,Empoli,4.0,0.0,1784,36,ITA
70,Ruslan Malinovsky,Genoa,4.0,0.0,1547,28,UKR
70,Szymon Zurkowski,Empoli,4.0,0.0,871,13,POL
