Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
1,Matias Soulé,Frosinone,82.0,2.4,3136,36,ARG
2,Albert Gudmundsson,Genoa,81.0,2.4,3022,35,ISL
3,Matteo Politano,Napoli,71.0,2.7,2384,37,ITA
4,Luis Alberto,Lazio,64.0,2.5,2323,33,ESP
5,Khvicha Kvaratskhelia,Napoli,63.0,2.1,2750,34,GEO
6,Lazar Samardzic,Udinese,62.0,2.3,2380,34,SRB
7,Federico Dimarco,Internazionale,61.0,2.6,2105,30,ITA
8,Teun Koopmeiners,Atalanta,60.0,2.1,2633,34,NED
9,Antonio Candreva,Salernitana,60.0,2.0,2757,34,ITA
10,Rafael Leao,Milan,59.0,2.1,2523,34,POR
11,Rémi Oudin,Lecce,58.0,2.9,1826,31,FRA
12,Andrea Colpani,Monza,56.0,1.9,2683,38,ITA
13,Federico Chiesa,Juventus,54.0,2.2,2207,33,ITA
14,Ondrej Duda,Verona,53.0,1.9,2463,32,SVK
15,Hakan Calhanoglu,Internazionale,52.0,1.8,2576,32,TUR
16,Raoul Bellanova,Torino,52.0,1.5,3063,37,ITA
17,Giovanni Di Lorenzo,Napoli,51.0,1.4,3235,36,ITA
18,Ademola Lookman,Atalanta,50.0,2.4,1899,31,NGA
19,Paulo Dybala,Roma,50.0,2.3,1973,28,ARG
20,Tijjani Reijnders,Milan,50.0,1.6,2830,36,NED
21,Charles De Ketelaere,Atalanta,49.0,2.2,2042,35,BEL
22,Piotr Zielinski,Napoli,48.0,2.2,1938,28,POL
23,Ivan Ilic,Torino,47.0,2.0,2099,31,SRB
24,Antonino Gallo,Lecce,47.0,1.7,2500,35,ITA
25,Armand Laurienté,Sassuolo,47.0,1.4,2926,37,FRA
26,Cristiano Biraghi,Fiorentina,46.0,1.8,2358,29,ITA
27,Aleksey Miranchuk,Atalanta,45.0,3.5,1170,27,RUS
28,Alessandro Florenzi,Milan,45.0,2.3,1730,31,ITA
29,Alexis Saelemaekers,Bologna,44.0,2.1,1892,30,BEL
30,Christian Pulisic,Milan,44.0,1.5,2620,36,USA
31,Theo Hernández,Milan,44.0,1.4,2794,32,FRA
32,Sandi Lovric,Udinese,43.0,1.9,1988,29,SVN
33,Nahitan Nández,Cagliari,43.0,1.6,2351,33,URU
34,Joshua Zirkzee,Bologna,43.0,1.4,2771,34,NED
35,Felipe Anderson,Lazio,42.0,1.4,2782,38,BRA
36,Nicolo Barella,Internazionale,42.0,1.3,2860,37,ITA
37,Giacomo Bonaventura,Fiorentina,41.0,1.6,2285,31,ITA
38,Nikola Krstovic,Lecce,41.0,1.5,2390,35,MNE
39,Weston McKennie,Juventus,41.0,1.4,2599,34,USA
40,Filip Kostic,Juventus,40.0,2.0,1831,29,SRB
41,Henrikh Mkhitaryan,Internazionale,40.0,1.3,2803,36,ARM
42,Florian Thauvin,Udinese,38.0,2.0,1713,29,FRA
43,Andrea Cambiaso,Juventus,38.0,1.4,2387,34,ITA
44,Andre-Frank Zambo Anguissa,Napoli,38.0,1.2,2792,34,CMR
45,Giacomo Raspadori,Napoli,36.0,2.1,1572,37,ITA
46,Riccardo Orsolini,Bologna,36.0,1.8,1792,33,ITA
47,Alfred Duncan,Fiorentina,36.0,1.7,1893,30,GHA
47,Lorenzo Pellegrini,Roma,36.0,1.7,1866,29,ITA
49,Kristian Thorstvedt,Sassuolo,36.0,1.3,2413,34,NOR
49,Matheus Henrique,Sassuolo,36.0,1.3,2501,31,BRA
51,Domagoj Bradaric,Salernitana,36.0,1.2,2753,34,CRO
51,Lautaro Martinez,Internazionale,36.0,1.2,2668,33,ARG
53,Nikola Vlasic,Torino,35.0,1.2,2614,33,CRO
