Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
1,Dusan Vlahovic,Juventus,4.3,14.6,2317,33,SRB
2,Khvicha Kvaratskhelia,Napoli,4.2,8.6,2750,34,GEO
3,Victor Osimhen,Napoli,4.1,16.7,1990,25,NGA
4,Nicolás González,Fiorentina,4.1,13.8,1913,29,ARG
5,Giovanni Simeone,Napoli,4.0,2.9,787,28,ARG
6,Gianluca Scamacca,Atalanta,3.7,20.0,1459,29,ITA
7,Arkadiusz Milik,Juventus,3.7,10.8,902,32,POL
8,Roberto Piccoli,Lecce,3.7,8.6,1397,37,ITA
9,Lautaro Martinez,Internazionale,3.6,22.2,2668,33,ARG
10,Leonardo Pavoletti,Cagliari,3.6,16.0,620,19,ITA
11,Giacomo Raspadori,Napoli,3.5,8.2,1572,37,ITA
12,Nikola Krstovic,Lecce,3.5,7.6,2390,35,MNE
13,Lameck Banda,Lecce,3.3,4.0,1358,21,ZAM
14,Ademola Lookman,Atalanta,3.2,16.4,1899,31,NGA
15,Davide Frattesi,Internazionale,3.1,18.8,934,32,ITA
16,Duvan Zapata,Torino,3.1,12.5,3005,37,COL
17,Federico Chiesa,Juventus,3.1,12.0,2207,33,ITA
18,Cyril Ngonge,Napoli,3.0,11.9,1743,32,BEL
19,Kaio Jorge,Frosinone,3.0,11.1,805,20,BRA
20,Jesper Lindstrøm,Napoli,3.0,0.0,417,22,DEN
21,Olivier Giroud,Milan,2.9,19.5,2372,35,FRA
22,Riccardo Orsolini,Bologna,2.9,17.2,1792,33,ITA
23,Valentin Castellanos,Lazio,2.9,7.4,1676,35,ARG
24,Nicolas Viola,Cagliari,2.8,13.2,1202,26,ITA
25,Joshua Zirkzee,Bologna,2.8,12.8,2771,34,NED
26,Matteo Politano,Napoli,2.8,10.7,2384,37,ITA
27,Nicola Sansone,Lecce,2.8,8.7,750,25,ITA
28,Aleksey Miranchuk,Atalanta,2.8,8.1,1170,27,RUS
29,Riccardo Sottil,Fiorentina,2.8,5.9,1108,22,ITA
30,Paulo Dybala,Roma,2.7,22.0,1973,28,ARG
31,Ciro Immobile,Lazio,2.7,14.3,1656,31,ITA
32,Andrea Belotti,Fiorentina,2.7,12.5,1624,29,ITA
33,Samuele Mulattieri,Sassuolo,2.7,0.0,441,27,ITA
34,Matias Vecino,Lazio,2.6,18.2,1135,31,URU
35,Marcus Thuram,Internazionale,2.6,16.9,2707,35,FRA
36,Gianluca Lapadula,Cagliari,2.6,8.6,1206,23,PER
37,Armand Laurienté,Sassuolo,2.6,6.0,2926,37,FRA
38,Sardar Azmoun,Roma,2.5,18.8,571,23,IRN
39,Rafael Leao,Milan,2.5,12.9,2523,34,POR
40,Walid Cheddira,Frosinone,2.5,11.7,2130,36,MAR
41,Mateo Retegui,Genoa,2.5,11.1,2225,29,ITA
42,Florian Thauvin,Udinese,2.5,10.4,1713,29,FRA
43,Emil Holm,Atalanta,2.5,3.9,948,22,SWE
44,Samuel Chukwueze,Milan,2.5,3.6,1012,24,NGA
45,Nicolo Cambiaghi,Empoli,2.5,1.4,2562,37,ITA
46,Giovanni Fabbian,Bologna,2.4,17.9,1053,27,ITA
47,Andrea Pinamonti,Sassuolo,2.4,13.3,3100,38,ITA
47,Matias Soulé,Frosinone,2.4,13.3,3136,36,ARG
49,Federico Bonazzoli,Verona,2.4,11.1,1014,24,ITA
50,Lorenzo Colombo,Monza,2.4,10.8,1366,25,ITA
51,Zito Luvumbo,Cagliari,2.4,7.8,1947,30,ANG
52,Luka Jovic,Milan,2.3,27.3,867,23,SRB
52,Noah Okafor,Milan,2.3,27.3,869,28,SUI
54,Gianluca Gaetano,Cagliari,2.3,21.7,905,20,ITA
55,Lorenzo Pellegrini,Roma,2.3,17.0,1866,29,ITA
56,Ruslan Malinovsky,Genoa,2.3,10.3,1547,28,UKR
57,Antonio Sanabria,Torino,2.3,9.3,2133,35,PAR
58,Gabriel Strefezza,Lecce,2.3,3.6,1118,19,BRA
59,Hakan Calhanoglu,Internazionale,2.2,21.0,2576,32,TUR
60,Romelu Lukaku,Roma,2.2,20.0,2644,32,BEL
61,Christian Pulisic,Milan,2.2,18.5,2620,36,USA
62,Caleb Ekuban,Genoa,2.2,14.8,1123,29,GHA
63,Andrea Colpani,Monza,2.2,12.3,2683,38,ITA
64,Alexis Sánchez,Internazionale,2.2,11.1,751,23,CHI
65,Lazar Samardzic,Udinese,2.2,10.5,2380,34,SRB
66,Antonin Barak,Fiorentina,2.2,10.0,802,21,CZE
67,Federico Dimarco,Internazionale,2.2,9.8,2105,30,ITA
68,Luis Alberto,Lazio,2.2,8.9,2323,33,ESP
69,Nedim Bajrami,Sassuolo,2.2,6.3,1312,28,ALB
70,Tomas Suslov,Verona,2.2,5.8,2094,32,SVK
71,Moise Kean,Juventus,2.2,0.0,650,19,ITA
72,Lorenzo Lucca,Udinese,2.1,13.1,2600,37,ITA
73,Antonio Candreva,Salernitana,2.1,9.2,2757,34,ITA
74,Jonathan Ikoné,Fiorentina,2.1,7.7,1685,28,FRA
75,Stephan El Shaarawy,Roma,2.1,7.5,1741,33,ITA
76,Tommaso Baldanzi,Roma,2.1,6.9,1259,27,ITA
77,Dan Ndoye,Bologna,2.1,2.4,1775,32,SUI
78,Marko Arnautovic,Internazionale,2.0,29.4,779,27,AUT
79,Charles De Ketelaere,Atalanta,2.0,22.2,2042,35,BEL
80,Giacomo Bonaventura,Fiorentina,2.0,15.4,2285,31,ITA
81,Eldor Shomurodov,Cagliari,2.0,14.3,933,22,UZB
82,Luca Mazzitelli,Frosinone,2.0,10.2,2221,29,ITA
83,Lewis Ferguson,Bologna,2.0,10.0,2718,31,SCO
83,Matteo Cancellieri,Empoli,2.0,10.0,1784,36,ITA
85,Christian Kouamé,Fiorentina,2.0,8.3,1084,23,CIV
86,Isaac Success,Udinese,2.0,5.3,872,27,NGA
87,Demba Seck,Frosinone,2.0,0.0,718,20,SEN
87,Paulo Azzi,Cagliari,2.0,0.0,936,25,BRA
89,Milan Djuric,Monza,1.9,17.7,2464,37,BIH
90,Mattia Zaccagni,Lazio,1.9,14.3,1971,28,ITA
91,Gustav Isaksen,Lazio,1.9,13.0,1069,28,DEN
92,M'Bala Nzola,Fiorentina,1.9,9.4,1545,33,ANG
93,Loum Tchaouna,Salernitana,1.9,9.1,2099,33,FRA
94,Gaetano Oristanio,Cagliari,1.9,8.7,1102,25,ITA
95,Uros Racic,Sassuolo,1.9,5.9,813,22,SRB
96,Martin Payero,Udinese,1.9,5.3,1801,29,ARG
97,Chukwubuikem Ikwuemesi,Salernitana,1.9,4.6,1058,25,NGA
98,Sandi Lovric,Udinese,1.9,2.3,1988,29,SVN
99,Teun Koopmeiners,Atalanta,1.8,22.2,2633,34,NED
100,Mario Pasalic,Atalanta,1.8,15.0,2048,34,CRO
101,Kenan Yildiz,Juventus,1.8,10.5,945,27,TUR
102,Grigoris Kastanos,Salernitana,1.8,10.0,1486,26,CYP
103,Theo Hernández,Milan,1.8,8.8,2794,32,FRA
104,Valentin Carboni,Monza,1.8,8.7,1158,31,ARG
105,Kristjan Asllani,Internazionale,1.8,6.7,771,23,ALB
106,Davide Zappacosta,Atalanta,1.8,5.4,1875,31,ITA
107,Albert Gudmundsson,Genoa,1.7,24.6,3022,35,ISL
108,Ruben Loftus-Cheek,Milan,1.7,15.0,2081,29,ENG
109,Dany Mota,Monza,1.7,10.5,2059,34,POR
110,Marvin Cuni,Frosinone,1.7,10.0,522,22,ALB
110,Rolando Mandragora,Fiorentina,1.7,10.0,1584,33,ITA
112,Rémi Oudin,Lecce,1.7,8.8,1826,31,FRA
113,Cristian Volpato,Sassuolo,1.7,8.3,632,22,ITA
114,Daichi Kamada,Lazio,1.7,6.9,1543,29,JPN
115,Pontus Almqvist,Lecce,1.7,5.0,2115,30,SWE
116,Jacopo Fazzini,Empoli,1.7,4.4,1226,31,ITA
117,Alessandro Florenzi,Milan,1.7,3.1,1730,31,ITA
118,Kacper Urbanski,Bologna,1.7,0.0,921,22,POL
118,Kingsley Ehizibue,Udinese,1.7,0.0,955,23,NED
118,Razvan Marin,Empoli,1.7,0.0,1818,30,ROU
121,Lucas Beltran,Fiorentina,1.6,19.4,1694,32,ARG
122,Kristian Thorstvedt,Sassuolo,1.6,14.3,2413,34,NOR
123,Francesco Caputo,Empoli,1.6,13.0,1274,20,ITA
124,Darko Lazovic,Verona,1.6,8.8,1942,32,SRB
125,Pietro Pellegri,Torino,1.6,7.7,745,24,ITA
126,Nikola Vlasic,Torino,1.6,6.5,2614,33,CRO
127,Fabio Miretti,Juventus,1.6,5.0,1104,25,ITA
128,Matteo Prati,Cagliari,1.6,2.8,1972,26,ITA
129,Patrick Ciurria,Monza,1.6,0.0,1602,22,ITA
130,Charalambos Lykogiannis,Bologna,1.5,13.3,899,22,GRE
131,Michael Folorunsho,Verona,1.5,10.6,2793,34,ITA
132,Bryan Cristante,Roma,1.5,5.6,3292,37,ITA
133,Nicola Zalewski,Roma,1.5,0.0,966,22,POL
134,Alexis Saelemaekers,Bologna,1.4,13.8,1892,30,BEL
135,Felipe Anderson,Lazio,1.4,11.6,2782,38,BRA
136,Piotr Zielinski,Napoli,1.4,10.0,1938,28,POL
137,Gregoire Defrel,Sassuolo,1.4,8.3,751,20,MTQ
138,Tijjani Reijnders,Milan,1.4,6.8,2830,36,NED
139,Alessandro Deiola,Cagliari,1.4,4.0,1608,27,ITA
140,Roberto Gagliardini,Monza,1.4,2.8,2366,33,ITA
141,Jens-Lys Cajuste,Napoli,1.4,0.0,1007,26,SWE
142,Denzel Dumfries,Internazionale,1.3,16.7,1640,31,NED
