Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
1,Leandro Paredes,Roma,15.0,1.0,2644,34,ARG
2,Luca Ranieri,Fiorentina,14.0,0.0,2067,26,ITA
3,Ylber Ramadani,Lecce,13.0,0.0,2976,34,ALB
4,Karol Linetty,Torino,12.0,0.0,1860,28,POL
5,Theo Hernández,Milan,11.0,1.0,2794,32,FRA
6,Youssef Maleh,Empoli,11.0,0.0,2610,34,MAR
7,Ondrej Duda,Verona,10.0,2.0,2463,32,SVK
8,Andrea Cambiaso,Juventus,10.0,0.0,2387,34,ITA
8,Enzo Barrenechea,Frosinone,10.0,0.0,2816,36,ARG
8,Marten de Roon,Atalanta,10.0,0.0,2599,30,NED
11,Alessio Romagnoli,Lazio,9.0,0.0,2409,29,ITA
11,Armando Izzo,Monza,9.0,0.0,1653,23,ITA
11,Diego Coppola,Verona,9.0,0.0,1636,24,ITA
11,Emmanuel Quartsin Gyasi,Empoli,9.0,0.0,1873,33,GHA
11,Gianluca Mancini,Roma,9.0,0.0,2872,36,ITA
11,Gleison Bremer,Juventus,9.0,0.0,3234,36,BRA
11,Joao Ferreira,Udinese,9.0,0.0,1812,35,POR
11,Lucas Martinez Quarta,Fiorentina,9.0,0.0,2292,29,ARG
11,Mattia Bani,Genoa,9.0,0.0,2309,27,ITA
11,Memeh Caleb Okoli,Frosinone,9.0,0.0,2915,34,ITA
11,Norbert Gyömbér,Salernitana,9.0,0.0,1762,22,SVK
11,Remo Freuler,Bologna,9.0,0.0,2632,32,SUI
11,Warren Bondo,Monza,9.0,0.0,1471,25,FRA
24,Marin Pongracic,Lecce,8.0,1.0,3220,36,CRO
25,Adrien Rabiot,Juventus,8.0,0.0,2651,31,FRA
25,Bryan Cristante,Roma,8.0,0.0,3292,37,ITA
25,Ciro Immobile,Lazio,8.0,0.0,1656,31,ITA
25,Cristiano Biraghi,Fiorentina,8.0,0.0,2358,29,ITA
25,Danilo Cataldi,Lazio,8.0,0.0,1360,28,ITA
25,Éderson,Atalanta,8.0,0.0,2873,36,BRA
25,Joshua Zirkzee,Bologna,8.0,0.0,2771,34,NED
25,Khvicha Kvaratskhelia,Napoli,8.0,0.0,2750,34,GEO
25,Lewis Ferguson,Bologna,8.0,0.0,2718,31,SCO
25,Matias Vecino,Lazio,8.0,0.0,1135,31,URU
25,Mattia Zaccagni,Lazio,8.0,0.0,1971,28,ITA
25,Michel Aebischer,Bologna,8.0,0.0,2234,36,SUI
25,Tijjani Reijnders,Milan,8.0,0.0,2830,36,NED
38,Giulio Maggiore,Salernitana,7.0,1.0,1807,27,ITA
38,Nehuén Pérez,Udinese,7.0,1.0,3238,36,ARG
40,Alessandro Buongiorno,Torino,7.0,0.0,2530,29,ITA
40,Alessandro Deiola,Cagliari,7.0,0.0,1608,27,ITA
40,Danilo,Juventus,7.0,0.0,2451,29,BRA
40,Federico Gatti,Juventus,7.0,0.0,2640,32,ITA
40,Jens-Lys Cajuste,Napoli,7.0,0.0,1007,26,SWE
40,Josh Doig,Sassuolo,7.0,0.0,2183,28,SCO
40,Juan Jesus,Napoli,7.0,0.0,2117,24,BRA
40,Kristian Thorstvedt,Sassuolo,7.0,0.0,2413,34,NOR
40,Lorenzo Pellegrini,Roma,7.0,0.0,1866,29,ITA
40,Luis Alberto,Lazio,7.0,0.0,2323,33,ESP
40,Matteo Cancellieri,Empoli,7.0,0.0,1784,36,ITA
40,Nahitan Nández,Cagliari,7.0,0.0,2351,33,URU
40,Nicolo Barella,Internazionale,7.0,0.0,2860,37,ITA
40,Pablo Mari,Monza,7.0,0.0,2616,34,ESP
40,Ruslan Malinovsky,Genoa,7.0,0.0,1547,28,UKR
40,Samuele Birindelli,Monza,7.0,0.0,2013,35,ITA
40,Stefan Posch,Bologna,7.0,0.0,2418,31,AUT
40,Suat Serdar,Verona,7.0,0.0,1661,25,GER
40,Tomas Suslov,Verona,7.0,0.0,2094,32,SVK
40,Walace,Udinese,7.0,0.0,3243,37,BRA
60,Adrien Tamèze,Torino,6.0,1.0,2154,29,FRA
60,Daniel Boloca,Sassuolo,6.0,1.0,2023,30,ROU
60,Dusan Vlahovic,Juventus,6.0,1.0,2317,33,SRB
60,Fikayo Tomori,Milan,6.0,1.0,2125,26,ENG
60,Koni De Winter,Genoa,6.0,1.0,2378,29,BEL
60,Martin Payero,Udinese,6.0,1.0,1801,29,ARG
60,Matheus Henrique,Sassuolo,6.0,1.0,2501,31,BRA
60,Samuele Ricci,Torino,6.0,1.0,2400,32,ITA
68,Benjamin Pavard,Internazionale,6.0,0.0,1677,23,FRA
68,Cyril Ngonge,Napoli,6.0,0.0,1743,32,BEL
