Rank,Team,Possession (%),Matches,Country
1,SSC Napoli,61.1,38,ITA
2,Bologna,58.4,38,ITA
3,Fiorentina,57.7,38,ITA
4,Inter,57.2,38,ITA
5,AC Milan,57.1,38,ITA
6,Roma,54.9,38,ITA
7,Monza,53.6,38,ITA
8,Lazio,53.4,38,ITA
9,Torino,51.7,38,ITA
10,Atalanta,51.2,38,ITA
11,Frosinone,49.8,38,ITA
12,Juventus,48.4,38,ITA
13,Lecce,44.7,38,ITA
14,Hellas Verona,44.4,38,ITA
15,Salernitana,44.3,38,ITA
16,Genoa,44.1,38,ITA
17,Empoli,43.7,38,ITA
18,Sassuolo,43.6,38,ITA
19,Cagliari,41.7,38,ITA
20,Udinese,39.1,38,ITA
