Rank,Team,Possession Won Final 3rd per Match,Total Possessions Won,Matches,Country
1,Fiorentina,5.2,817.0,38,ITA
2,Atalanta,5.1,944.0,38,ITA
3,Frosinone,4.6,858.0,38,ITA
4,SSC Napoli,4.3,856.0,38,ITA
5,Empoli,4.1,665.0,38,ITA
6,Torino,4.0,845.0,38,ITA
7,Cagliari,4.0,740.0,38,ITA
8,Inter,4.0,733.0,38,ITA
9,Lecce,3.9,836.0,38,ITA
10,Sassuolo,3.9,697.0,38,ITA
11,Lazio,3.8,854.0,38,ITA
12,Bologna,3.6,773.0,38,ITA
13,Genoa,3.6,715.0,38,ITA
14,Hellas Verona,3.5,917.0,38,ITA
15,Juventus,3.5,710.0,38,ITA
16,AC Milan,3.2,770.0,38,ITA
17,Udinese,3.1,743.0,38,ITA
18,Roma,3.0,729.0,38,ITA
19,Monza,2.5,580.0,38,ITA
20,Salernitana,2.3,698.0,38,ITA
