Rank,Team,Saves per Match,Total Saves,Matches,Country
1,Monza,3.8,143.0,38,ITA
2,Empoli,3.5,133.0,38,ITA
3,Salernitana,3.5,132.0,38,ITA
4,Lecce,3.3,125.0,38,ITA
5,AC Milan,3.1,116.0,38,ITA
5,Frosinone,3.1,116.0,38,ITA
7,Hellas Verona,3.0,114.0,38,ITA
8,Roma,2.9,110.0,38,ITA
9,Lazio,2.9,109.0,38,ITA
10,Torino,2.8,107.0,38,ITA
11,Udinese,2.8,105.0,38,ITA
12,Atalanta,2.7,103.0,38,ITA
12,Fiorentina,2.7,103.0,38,ITA
12,Sassuolo,2.7,103.0,38,ITA
15,Bologna,2.5,96.0,38,ITA
16,Cagliari,2.5,95.0,38,ITA
16,Genoa,2.5,95.0,38,ITA
18,Inter,2.4,92.0,38,ITA
19,Juventus,2.3,88.0,38,ITA
20,SSC Napoli,2.1,80.0,38,ITA
