Rank,Team,Goals per Match,Total Goals Scored,Matches,Country
1,Inter,2.3,89.0,38,ITA
2,AC Milan,2.0,76.0,38,ITA
3,Atalanta,1.9,72.0,38,ITA
4,Roma,1.7,65.0,38,ITA
5,Fiorentina,1.6,61.0,38,ITA
6,SSC Napoli,1.4,55.0,38,ITA
7,Bologna,1.4,54.0,38,ITA
7,Juventus,1.4,54.0,38,ITA
9,Lazio,1.3,49.0,38,ITA
10,Genoa,1.2,45.0,38,ITA
11,Frosinone,1.2,44.0,38,ITA
12,Sassuolo,1.1,43.0,38,ITA
13,Cagliari,1.1,42.0,38,ITA
14,Monza,1.0,39.0,38,ITA
15,Hellas Verona,1.0,38.0,38,ITA
16,Udinese,1.0,37.0,38,ITA
17,Torino,0.9,36.0,38,ITA
18,Lecce,0.8,32.0,38,ITA
18,Salernitana,0.8,32.0,38,ITA
20,Empoli,0.8,29.0,38,ITA
