Rank,Team,FotMob Team Rating,Matches,Country
1,Inter,7.13,38,ITA
2,Atalanta,6.99,38,ITA
3,AC Milan,6.98,38,ITA
4,Juventus,6.96,38,ITA
5,Bologna,6.94,38,ITA
6,SSC Napoli,6.92,38,ITA
7,Fiorentina,6.88,38,ITA
7,Roma,6.88,38,ITA
9,Lazio,6.83,38,ITA
10,Torino,6.81,38,ITA
11,Genoa,6.79,38,ITA
12,Udinese,6.76,38,ITA
13,Hellas Verona,6.73,38,ITA
14,Monza,6.72,38,ITA
15,Lecce,6.68,38,ITA
16,Frosinone,6.67,38,ITA
17,Empoli,6.6,38,ITA
17,Cagliari,6.6,38,ITA
17,Sassuolo,6.6,38,ITA
20,Salernitana,6.52,38,ITA
