Rank,Team,Touches in Opposition Box,Matches,Country
1,SSC Napoli,1115.0,38,ITA
2,Inter,1072.0,38,ITA
3,AC Milan,1011.0,38,ITA
4,Fiorentina,969.0,38,ITA
5,Atalanta,968.0,38,ITA
6,Juventus,920.0,38,ITA
7,Roma,848.0,38,ITA
8,Lazio,813.0,38,ITA
9,Sassuolo,765.0,38,ITA
10,Bologna,761.0,38,ITA
11,Frosinone,756.0,38,ITA
12,Monza,742.0,38,ITA
13,Cagliari,715.0,38,ITA
14,Torino,708.0,38,ITA
15,Lecce,701.0,38,ITA
16,Empoli,685.0,38,ITA
17,Udinese,632.0,38,ITA
18,Hellas Verona,613.0,38,ITA
19,Genoa,604.0,38,ITA
20,Salernitana,595.0,38,ITA
