Rank,Team,Successful Tackles per Match,Tackle Success (%),Matches,Country
1,Hellas Verona,10.2,62.3,38,ITA
2,Bologna,10.1,60.8,38,ITA
3,Udinese,10.0,62.9,38,ITA
4,Empoli,9.9,61.2,38,ITA
5,Lecce,9.8,61.8,38,ITA
6,Juventus,9.7,64.0,38,ITA
7,Atalanta,9.7,60.2,38,ITA
8,Genoa,9.3,56.3,38,ITA
9,Lazio,9.2,59.9,38,ITA
10,Monza,8.8,59.1,38,ITA
10,Roma,8.8,59.1,38,ITA
12,AC Milan,8.8,57.8,38,ITA
13,Salernitana,8.6,61.0,38,ITA
14,SSC Napoli,8.6,57.1,38,ITA
15,Frosinone,8.5,59.1,38,ITA
16,Inter,8.4,59.4,38,ITA
17,Fiorentina,8.4,56.7,38,ITA
18,Cagliari,8.3,58.3,38,ITA
19,Sassuolo,8.2,61.1,38,ITA
20,Torino,7.2,58.4,38,ITA
