         x               Exact         N       Approximation           Abs Error           Rel Error
       0.5             1.64872         3             1.64583          0.00288794          0.00175162
       0.5             1.64872        10             1.64872         1.27627e-11         7.74096e-12
       0.5             1.64872        50             1.64872         4.44089e-16         2.69354e-16
       0.5             1.64872       100             1.64872         4.44089e-16         2.69354e-16
       0.5             1.64872       150             1.64872         4.44089e-16         2.69354e-16
        30         1.06865e+13         3                4981         1.06865e+13                   1
        30         1.06865e+13        10          2.3883e+08         1.06862e+13            0.999978
        30         1.06865e+13        50         1.06833e+13         3.18471e+09         0.000298013
        30         1.06865e+13       100         1.06865e+13          0.00195312         1.82766e-16
        30         1.06865e+13       150         1.06865e+13          0.00195312         1.82766e-16
      -0.5            0.606531         3            0.604167          0.00236399          0.00389757
      -0.5            0.606531        10            0.606531         1.17416e-11         1.93586e-11
      -0.5            0.606531        50            0.606531         1.11022e-16         1.83045e-16
      -0.5            0.606531       100            0.606531         1.11022e-16         1.83045e-16
      -0.5            0.606531       150            0.606531         1.11022e-16         1.83045e-16
       -30         9.35762e-14         3               -4079                4079         4.35901e+16
       -30         9.35762e-14        10         1.21255e+08         1.21255e+08         1.29579e+21
       -30         9.35762e-14        50         8.78229e+08         8.78229e+08         9.38517e+21
       -30         9.35762e-14       100         6.10306e-06         6.10306e-06         6.52201e+07
       -30         9.35762e-14       150         6.10304e-06         6.10304e-06           6.522e+07
